Time_s,WheatstoneBasicGod_volt_Value
0,135.8799785376
0.08261706,135.60564816
0.16524316,135.8602046967
0.2478821,135.6087774038
0.33052344,135.6906741858
0.41316596,135.9597295523
0.49580628,135.6838792562
0.57845164,135.3662610054
0.66108492,135.1404339075
0.7437185,135.1989358664
0.8263332,135.1978182793
0.90896212,135.175421834
0.9916023,135.3628486395
1.07421468,135.3418081999
1.15684184,135.5915516615
1.23946526,135.5523169041
1.32208368,135.6399059296
1.40470576,135.6531530619
1.4873395,135.2880597115
1.56996198,135.4170441628
1.65260314,135.6690526009
1.73521202,135.9715610743
1.81784254,136.3753974438
1.9004649,136.287227273
1.98307014,136.3849341869
2.06568616,136.3733410835
2.1483066,136.0077410936
2.23091508,136.0007822514
2.31354172,136.2443715334
2.3961581,136.1599564552
2.4787901,136.1638754606
2.56141478,136.11574471
2.64403524,136.0969692469
2.72667966,136.1624151468
2.80930024,136.3370269537
2.89192942,136.273637414
2.97454354,135.9952539206
3.05715242,136.003151536
3.13979368,121.805742383
3.22239828,52.89570987225
3.30502202,-107.0601865649
3.38765736,-139.4615918398
3.470295,-139.8234069347
3.5529148,-138.9448940754
3.63554756,-139.042660594
3.71816868,-138.6284083128
3.80081168,-137.2680962086
3.8834161,-136.8626058102
3.9660422,-136.218726635
4.04866328,-136.2467259169
4.13128536,-136.5611702204
4.21391938,-136.0760778189
4.29653282,-135.4866027832
4.37915776,-135.4987621307
4.4617793,-135.0316852331
4.54439154,-134.8588615656
4.62702028,-134.7999721766
4.70964038,-134.3966573477
4.79225322,-134.3377381563
4.87487592,-134.3231499195
4.95748782,-133.9809000492
5.04009978,-133.8035017252
5.12274662,-133.6332261562
5.2053555,-133.6487978697
5.2879805,-133.4592849016
5.37062698,-133.5498392582
5.4532336,-133.6170434952
5.53583804,-133.8535100222
5.61844824,-133.4497779608
5.7010828,-133.3867907524
5.78370664,-133.259087801
5.86631668,-133.1800669432
5.94894924,-132.9792290926
6.03155894,-132.6712220907
6.11416504,-132.7947825193
6.19678604,-132.3973536491
6.27940808,-132.2647184134
6.36203528,-131.7673623562
6.44463692,-109.2934459448
6.52726722,-48.47221821547
6.60989896,49.59034174681
6.69252436,116.9937252998
6.77514072,123.8409131765
6.85776712,125.6325393915
6.9403969,127.835214138
7.02301454,129.8824995756
