Time_s,ADC
6019.769,0.0254
6032.414,0.0242
6057.715,0.0248
6070.364,0.0242
6083.012,0.0236
6095.658,0.0242
6133.597,0.0236
6146.243,0.0242
6158.89,0.0231
6171.54,0.0248
6196.832,0.0236
6209.479,0.0248
6234.781,0.0248
6247.431,0.0231
6260.079,0.0248
6272.723,0.026
6285.371,0.0236
6298.021,0.0242
6323.324,0.0236
6335.973,0.0231
6348.621,0.0236
6373.923,0.0242
6386.575,0.026
6411.873,0.0254
6424.52,0.0236
6437.169,0.0248
6475.117,0.0236
6487.767,0.0254
6500.42,0.0236
6525.721,0.0236
6538.373,0.0248
6551.029,0.0231
6563.702,0.0254
6576.325,0.0242
6588.949,0.0254
6626.816,0.0254
6639.439,0.0236
6652.058,0.0242
6664.68,0.0236
6677.317,0.0248
6689.941,0.0242
6715.188,0.0231
6727.808,0.0248
6740.432,0.0242
6765.675,0.0231
6778.297,0.0242
6790.918,0.0231
6816.168,0.0231
6828.79,0.0219
6841.415,0.0231
6854.04,0.0236
6866.665,0.0254
6879.291,0.0248
6929.789,0.0248
6967.664,0.0236
6980.289,0.0248
6992.915,0.0242
7005.536,0.0236
7018.164,0.0242
7043.412,0.0248
7068.649,0.0254
7081.268,0.0248
7106.512,0.0254
7119.133,0.0242
7144.373,0.0248
7194.863,0.0242
7207.482,0.026
7232.719,0.0254
7257.957,0.0248
7270.575,0.0242
7295.816,0.0248
7308.436,0.0266
7321.054,0.0254
7333.677,0.026
7346.297,0.0254
7358.919,0.0266
7396.793,0.0266
7422.04,0.0254
7434.664,0.0272
7447.288,0.0284
7459.911,0.0272
7472.538,0.0266
7497.79,0.0278
7510.418,0.0284
7523.047,0.0278
7548.298,0.029
7560.923,0.0278
7573.549,0.0266
7598.807,0.0278
7624.068,0.0284
7636.697,0.029
7649.322,0.0272
7661.954,0.029
7674.578,0.0278
7712.472,0.029
7725.102,0.0296
7737.732,0.029
7750.367,0.0301
7813.532,0.0307
7838.793,0.0296
7864.055,0.0301
7876.686,0.029
7901.955,0.0296
7914.589,0.0301
7927.223,0.029
7952.488,0.0307
7977.762,0.0313
7990.394,0.0319
8003.033,0.0313
8015.665,0.0325
8028.295,0.0307
8040.926,0.0313
8066.197,0.0307
8078.833,0.0337
8091.469,0.0325
8104.104,0.0319
8129.373,0.0337
8142.009,0.0331
8167.275,0.0331
8179.911,0.0325
8192.549,0.0337
8205.188,0.0325
8230.471,0.0331
8255.741,0.0331
8268.38,0.0355
8281.02,0.0349
8293.657,0.0372
8306.29,0.0355
8331.562,0.0372
8356.84,0.0384
8369.476,0.0349
8394.751,0.0366
8407.387,0.0361
8420.026,0.0366
8432.667,0.0378
8457.946,0.039
8470.584,0.0361
8483.221,0.0366
8495.858,0.0361
8508.496,0.0366
8521.136,0.039
8559.047,0.0366
8571.686,0.0384
8584.327,0.039
8609.602,0.0396
8622.238,0.0402
8634.875,0.0414
8672.788,0.042
8685.427,0.0432
8710.697,0.0426
8723.34,0.042
8761.254,0.0426
8773.896,0.042
8799.177,0.0432
8811.816,0.0443
8824.459,0.0455
8837.1,0.0449
8849.757,0.0461
8862.401,0.0449
8887.688,0.0467
8900.329,0.0485
8912.971,0.0467
8925.614,0.0497
8938.255,0.0485
8963.543,0.0502
8988.829,0.0485
9001.474,0.0508
9014.122,0.0502
9026.764,0.052
9039.409,0.0514
9064.696,0.0526
9077.341,0.055
9089.986,0.052
9102.627,0.0532
9115.274,0.0544
9127.926,0.0532
9153.226,0.0538
9165.869,0.0556
9178.516,0.055
9191.163,0.0562
9203.807,0.0556
9216.456,0.055
9241.748,0.055
9254.393,0.0579
9267.037,0.0562
9279.682,0.0591
9292.324,0.0573
9317.614,0.0562
9342.91,0.0573
9355.554,0.0567
9368.201,0.0585
9393.493,0.0573
9406.139,0.0597
9418.782,0.0591
9456.721,0.0621
9469.366,0.0597
9482.011,0.0603
9494.653,0.0627
9507.299,0.0638
9519.946,0.0644
9545.237,0.0644
9557.886,0.0627
9570.535,0.065
9583.181,0.0668
9608.479,0.0674
9621.128,0.0668
9646.429,0.0674
9659.075,0.068
9671.727,0.0686
9684.377,0.0709
9697.028,0.0698
9709.679,0.0703
9747.633,0.0703
9760.285,0.0715
9798.231,0.0727
9810.88,0.0733
9823.532,0.0739
9848.833,0.0739
9886.787,0.0745
9899.436,0.0763
9912.085,0.0745
9937.386,0.0757
9950.048,0.0768
9975.354,0.0768
10000.659,0.0792
10013.314,0.078
10025.964,0.0774
10038.621,0.0804
10051.274,0.0792
10076.58,0.0822
10089.234,0.078
10101.888,0.081
10114.541,0.0792
10127.195,0.0839
10139.852,0.0816
10165.164,0.0845
10177.818,0.0839
10190.476,0.0851
10203.132,0.0857
10215.789,0.0851
10228.447,0.0869
10266.414,0.0869
10279.078,0.0875
10291.736,0.0893
10304.397,0.0904
10317.056,0.0898
10329.715,0.0881
10367.689,0.0922
10380.343,0.091
10405.664,0.0904
10418.324,0.0928
10430.979,0.0946
10443.636,0.094
10468.95,0.0946
10481.607,0.0969
10494.267,0.0964
10506.924,0.0999
10519.58,0.0981
10532.238,0.1005
10557.557,0.1017
10582.878,0.104
10595.539,0.1034
10608.204,0.1046
10620.865,0.1034
10633.528,0.1046
10658.85,0.1099
10684.172,0.1111
10696.838,0.1141
10709.501,0.1159
10722.165,0.1188
10747.488,0.1259
10760.148,0.1342
10772.806,0.1383
10785.466,0.1419
10798.127,0.1413
10810.787,0.1448
10836.114,0.1454
10848.777,0.1466
10861.44,0.1478
10874.101,0.146
10886.762,0.1466
10899.424,0.1454
10924.752,0.146
10937.416,0.1454
10950.083,0.1448
10962.746,0.1454
10975.41,0.1442
10988.074,0.1448
11013.404,0.1448
11026.083,0.1454
11038.75,0.1448
11051.416,0.1425
11064.085,0.1413
11076.752,0.143
11102.088,0.1401
11114.751,0.1419
11127.418,0.1395
11140.08,0.1383
11152.745,0.1401
11165.413,0.1407
11190.751,0.1365
11203.42,0.1371
11216.09,0.1354
11228.754,0.1342
11241.424,0.1318
11254.092,0.1312
11279.42,0.1271
