Time_s,RSSI
23510.099,-46
23662.109,-45
23700.112,-47
23738.114,-48
23776.116,-47
23814.117,-46
23890.125,-47
23966.131,-46
24004.134,-47
24118.144,-48
24156.147,-46
24194.149,-47
24232.153,-46
24270.156,-47
24308.159,-49
24346.161,-48
24384.164,-46
24422.167,-49
24460.17,-47
24536.177,-48
24650.186,-46
24688.189,-48
24726.192,-47
24840.2,-48
24878.203,-47
24954.209,-48
25030.215,-46
25068.217,-49
25144.222,-48
25182.225,-46
25220.228,-48
25258.23,-47
25296.232,-48
25372.239,-49
25410.242,-48
25448.243,-49
25524.247,-48
25562.25,-49
25600.252,-47
25638.255,-48
25676.256,-52
25714.258,-47
25752.258,-49
25790.259,-52
25828.262,-48
25866.264,-47
25904.267,-51
25942.269,-47
26018.273,-49
26056.276,-52
26094.279,-50
26132.282,-49
26208.285,-48
26246.287,-47
26284.29,-49
26322.293,-48
26360.297,-52
26436.303,-49
26474.307,-51
26512.31,-48
26550.314,-49
26626.318,-47
26664.322,-51
26702.325,-49
26778.335,-51
26854.343,-48
26892.346,-50
26930.353,-51
26968.357,-48
27082.366,-50
27120.372,-47
27158.373,-48
27196.375,-50
27272.38,-48
27310.384,-49
27424.393,-47
27462.398,-48
27500.398,-47
27538.402,-50
27576.405,-46
27614.411,-49
27652.414,-51
27690.418,-47
27728.421,-48
27804.428,-49
27842.431,-50
27880.434,-48
27918.436,-46
27994.44,-48
28032.441,-50
28070.443,-48
28108.445,-46
28146.446,-49
28184.448,-46
28260.452,-45
28298.455,-48
28336.457,-46
28374.461,-47
28450.465,-48
28488.467,-47
28526.469,-46
28564.471,-47
28602.474,-48
28678.478,-46
28754.486,-47
28792.488,-46
28830.491,-49
28944.502,-48
28982.506,-49
29020.508,-50
29058.512,-47
29096.514,-49
29134.517,-47
29286.528,-49
29324.533,-46
29362.534,-47
29400.537,-46
29438.537,-50
29476.538,-47
29514.541,-50
29552.542,-49
29590.543,-46
29628.545,-47
29666.548,-48
29704.55,-46
29742.553,-49
29780.555,-50
29818.558,-47
29856.561,-46
29894.563,-49
29932.566,-50
29970.568,-47
30008.569,-45
30046.572,-46
30084.574,-47
30198.582,-46
30236.584,-48
30274.589,-49
30312.591,-47
30350.594,-49
30388.597,-45
30426.6,-49
30464.603,-48
30502.605,-49
30540.606,-48
30616.61,-46
30692.616,-47
30730.617,-46
30768.619,-47
30882.627,-48
30920.628,-49
30958.63,-46
31034.635,-45
31072.639,-46
31110.64,-47
31148.643,-48
31186.646,-47
31224.649,-48
31262.654,-46
31300.656,-47
31338.657,-45
31376.659,-46
31414.663,-45
31452.666,-46
31566.675,-48
31680.684,-45
31794.689,-48
31832.69,-46
31870.692,-45
31946.699,-46
32022.705,-47
32136.713,-46
32212.719,-47
32250.72,-46
32288.723,-48
32326.726,-44
32364.731,-48
32402.736,-45
32440.737,-46
32478.74,-44
32516.742,-46
32554.745,-48
32592.748,-45
32630.75,-47
32668.751,-46
32706.755,-45
32782.763,-46
32820.764,-45
32858.766,-46
32934.769,-47
33010.774,-45
33048.777,-48
33086.779,-46
33162.784,-45
33200.786,-46
33314.792,-45
33352.795,-46
33466.8,-48
33504.804,-46
33542.808,-45
33580.811,-46
33618.816,-47
33694.822,-46
33732.824,-47
33770.827,-46
33808.831,-45
33922.841,-48
33960.842,-45
33998.845,-47
34036.846,-48
34074.848,-45
34112.852,-48
34150.855,-45
34188.86,-48
34226.863,-45
34302.869,-46
34340.871,-45
34378.874,-46
34416.877,-48
34454.878,-46
34492.883,-45
34606.892,-46
34682.899,-44
34720.902,-45
34758.906,-46
34834.914,-48
34872.916,-46
34948.92,-45
34986.922,-48
35024.926,-46
35138.935,-45
35176.937,-48
35214.943,-45
35252.946,-48
35328.95,-46
35442.959,-45
35518.962,-48
35594.964,-47
35632.967,-45
35708.971,-46
35746.974,-45
35822.981,-46
35898.986,-47
35974.993,-45
36012.996,-46
36089,-48
36127.002,-45
36165.003,-48
36203.008,-46
36241.009,-47
36279.012,-46
36317.014,-45
36355.018,-47
36393.022,-46
36431.025,-45
36469.029,-46
36507.031,-45
36545.037,-46
36583.039,-47
36621.041,-48
36697.044,-45
36735.047,-44
36773.048,-48
36849.05,-45
36887.053,-48
36925.056,-45
36963.058,-46
37001.059,-45
37039.062,-46
37077.065,-45
37115.068,-48
37153.07,-46
37191.073,-47
37305.083,-46
37343.086,-47
37381.09,-46
37419.092,-45
37457.095,-46
37495.097,-45
37533.101,-48
37571.104,-45
37609.107,-48
37647.111,-46
37685.114,-47
37723.116,-45
37761.117,-46
37875.127,-45
37951.134,-48
37989.137,-46
38027.138,-48
38103.146,-45
38141.149,-46
38217.156,-45
38369.168,-48
38483.178,-44
38521.181,-47
38559.184,-48
38597.186,-46
38635.191,-48
38673.195,-46
38863.209,-44
38901.211,-48
38939.212,-45
38977.215,-46
39015.217,-48
39053.218,-45
39091.221,-46
39167.227,-45
39205.23,-48
39243.232,-47
39281.234,-46
39357.24,-45
39395.242,-48
39433.244,-45
39509.249,-48
39547.251,-45
39623.255,-46
39661.257,-44
39699.26,-45
39775.266,-48
39851.27,-45
40003.282,-48
40041.283,-47
40079.286,-45
40155.293,-47
40193.295,-46
40231.298,-45
40269.301,-44
40307.305,-45
40459.317,-48
40497.32,-46
40535.325,-45
40649.332,-46
40687.337,-45
40725.34,-44
40763.343,-46
40801.347,-45
40839.35,-48
40877.352,-45
41029.358,-47
41067.36,-45
41143.365,-44
41181.37,-48
41257.374,-49
41295.378,-45
41371.382,-48
41409.384,-45
41447.387,-44
41485.391,-46
41523.396,-44
41561.399,-45
41675.407,-44
41713.412,-46
41751.415,-44
41789.418,-46
41865.424,-44
41903.429,-45
41941.432,-44
42017.438,-45
42055.441,-44
42093.445,-46
42131.448,-44
42245.457,-47
42283.461,-44
42359.466,-45
42397.469,-44
42435.472,-45
42549.482,-44
42587.486,-45
42701.497,-46
42739.498,-44
42777.502,-45
42815.504,-46
42891.509,-44
42929.512,-46
43005.514,-44
43043.517,-45
43081.519,-47
43119.521,-45
43195.525,-44
43347.536,-47
43385.538,-44
43461.543,-45
43537.548,-44
43575.55,-45
43651.555,-46
43689.558,-45
43803.567,-46
43841.57,-45
43993.584,-47
44031.587,-46
44069.59,-44
44107.593,-47
44145.595,-45
44259.606,-44
44297.61,-46
44335.612,-45
44563.632,-46
44601.636,-45
44791.643,-46
44829.644,-45
44867.645,-46
44905.648,-45
44943.65,-46
44981.651,-45
45057.657,-46
45095.659,-44
45133.662,-45
45285.671,-44
45323.675,-45
45399.679,-44
45437.683,-45
45513.688,-44
45551.689,-45
45703.705,-44
45741.707,-45
45855.714,-44
45931.721,-45
46083.736,-44
46273.75,-45
46311.752,-44
46463.765,-45
46501.767,-43
46577.773,-44
46729.784,-43
46767.787,-44
46919.796,-43
46957.798,-44
46995.8,-45
47033.802,-43
47109.806,-44
47185.812,-45
47223.813,-44
47261.816,-43
47337.823,-44
47451.831,-43
47489.832,-44
47527.835,-43
47641.843,-44
47679.844,-43
47717.847,-45
47755.849,-44
47793.853,-43
47983.868,-44
48173.88,-43
48211.882,-44
48249.884,-45
48287.887,-44
48325.889,-43
48363.892,-44
48515.9,-43
48553.904,-45
48629.91,-44
48667.912,-45
48743.915,-44
48819.92,-43
48857.923,-44
49047.93,-43
49085.932,-45
49161.937,-44
49313.946,-45
49351.949,-44
49389.952,-45
49503.96,-44
49617.966,-45
49693.971,-44
49731.974,-45
49807.979,-46
49845.982,-45
49921.987,-46
49959.989,-44
49997.991,-45
50035.993,-44
50073.996,-45
50150.001,-46
50188.002,-45
50226.004,-44
50264.007,-45
50302.008,-46
50416.016,-44
50454.02,-46
50492.023,-45
50530.025,-44
50568.029,-45
50758.042,-46
50872.05,-45
50910.052,-46
50948.058,-47
50986.06,-46
51062.068,-45
51100.07,-47
51176.077,-46
51214.08,-45
51252.084,-46
51328.091,-45
51366.094,-46
51404.096,-45
51442.101,-46
51518.107,-47
51556.11,-46
51670.115,-47
51822.126,-46
51860.129,-47
51898.131,-48
52012.141,-47
52088.146,-46
52126.147,-48
52164.151,-47
52240.156,-46
52278.159,-47
52354.168,-48
52392.172,-46
52544.188,-47
52582.191,-46
52620.192,-47
52772.208,-46
52810.209,-47
52848.21,-45
52924.214,-47
53114.222,-46
53152.224,-47
53266.229,-48
53380.235,-47
53494.24,-48
53532.243,-47
53570.246,-48
53646.252,-47
53760.259,-48
53798.261,-45
53836.264,-48
53950.272,-46
53988.275,-47
54102.282,-48
54140.286,-47
54254.294,-49
54292.298,-48
54368.302,-47
54406.305,-48
54444.31,-49
54482.313,-48
54520.315,-46
54558.317,-47
54596.319,-48
54634.323,-47
54672.326,-48
54748.332,-47
54786.333,-46
54824.336,-48
54862.34,-47
54900.344,-46
54938.348,-48
55014.353,-47
55090.358,-46
55128.362,-48
55166.365,-47
55204.369,-48
55280.375,-46
55318.378,-47
55356.381,-48
55394.385,-47
55432.388,-48
55508.395,-47
55546.398,-48
55622.406,-47
55660.408,-48
55698.413,-46
55774.417,-47
55850.423,-48
55888.428,-47
55926.43,-46
55964.436,-47
56002.44,-49
56040.442,-47
56116.449,-48
56192.454,-47
56268.458,-48
56420.465,-46
56458.468,-48
56572.474,-49
56610.476,-48
56762.487,-49
56800.489,-47
56914.499,-48
56952.502,-49
57028.507,-47
57066.509,-48
57104.512,-46
57142.514,-48
57218.519,-47
57256.522,-48
57332.527,-46
57370.528,-47
57598.546,-48
57712.556,-47
57750.558,-48
57788.562,-47
57864.568,-46
57940.571,-47
58092.582,-48
58130.584,-49
58168.588,-48
58282.597,-47
58320.6,-49
58358.602,-48
58396.605,-46
58434.607,-48
58472.608,-46
58510.61,-48
58586.617,-49
58624.619,-47
58662.62,-48
58738.624,-49
58776.625,-48
58814.63,-46
58852.631,-49
58890.633,-48
58966.636,-49
59004.641,-48
59080.644,-47
59118.647,-46
59156.65,-48
59194.653,-49
59232.655,-47
59384.668,-48
59422.671,-46
59460.674,-48
59536.677,-47
59574.68,-48
59612.683,-47
59688.686,-48
59840.698,-46
59878.701,-47
60030.712,-48
60068.714,-46
60106.717,-47
60182.721,-48
60220.722,-46
60258.725,-48
60372.729,-46
60410.731,-45
60448.732,-48
60486.735,-47
60524.739,-48
60600.744,-47
60676.748,-46
60714.75,-47
60790.755,-46
60828.759,-47
60904.764,-46
60980.769,-47
61018.773,-48
61132.78,-47
61170.781,-48
61208.787,-47
61436.802,-46
61550.812,-47
61588.814,-46
61626.815,-47
62006.836,-48
62044.838,-49
62082.841,-47
62120.843,-48
62158.845,-47
62310.855,-48
62348.857,-46
62462.863,-48
62500.865,-46
62652.876,-48
62690.878,-46
62728.882,-45
62766.886,-46
62804.887,-47
62880.891,-46
63032.905,-47
63070.907,-46
63108.91,-45
63146.913,-46
63184.917,-47
63222.92,-46
63260.923,-45
63298.926,-46
63374.934,-45
63412.936,-46
63526.948,-47
63602.95,-45
63640.95,-46
63678.955,-45
63716.958,-46
63754.961,-45
63830.964,-46
63868.97,-45
63906.973,-47
63944.977,-46
64020.981,-47
64058.987,-45
64134.992,-46
64172.995,-45
64210.998,-46
64249.002,-45
64287.006,-46
64363.013,-47
64439.017,-46
64477.02,-45
64553.025,-46
64591.026,-45
64705.035,-46
64857.044,-45
65009.054,-44
65047.055,-46
65085.059,-45
65161.065,-44
65199.07,-46
65237.073,-45
65275.077,-46
65313.079,-45
65351.083,-46
65389.085,-44
65465.088,-46
65503.09,-45
65807.112,-44
65845.115,-45
65883.117,-44
65921.12,-46
65959.124,-45
65997.126,-46
66035.131,-45
66073.134,-44
66111.137,-46
66187.142,-44
66339.154,-45
66377.156,-44
66415.16,-45
66529.168,-44
66567.172,-45
66643.178,-46
66681.179,-45
66719.184,-44
66795.189,-45
66871.193,-44
66909.195,-45
66947.197,-44
67023.2,-45
67061.203,-44
67099.205,-45
67327.217,-44
67365.219,-46
67403.222,-45
67479.229,-46
67517.232,-45
67631.239,-44
67707.246,-45
67745.249,-44
67783.252,-45
67821.255,-44
67859.258,-45
67897.262,-46
67935.265,-45
67973.268,-44
68011.271,-46
68049.275,-45
68087.279,-44
68125.283,-45
68201.287,-44
68239.291,-46
68277.293,-45
68315.296,-44
68353.298,-45
68429.304,-44
68467.307,-45
68505.311,-44
68543.313,-46
68581.316,-45
68619.319,-44
68695.324,-45
68771.328,-44
68847.335,-45
68961.344,-44
69037.352,-45
69075.355,-44
69113.358,-45
69151.362,-46
69189.365,-44
69531.393,-45
69645.402,-44
69683.407,-45
69721.411,-44
69949.43,-43
70063.439,-44
70101.441,-45
70177.447,-44
70253.453,-45
70329.455,-46
70367.458,-48
