Time_s,preStretchTest_2x24compress_Raw,preStretchTest_2x24compress_DeltaPct,preStretchTest_1x24compress_Raw,preStretchTest_1x24compress_DeltaPct,preStretchTest_2x24stretch_Raw,preStretchTest_2x24stretch_DeltaPct,preStretchTest_1x24stretch_Raw,preStretchTest_1x24stretch_DeltaPct,preStretchTest_rest_Raw,preStretchTest_rest_DeltaPct
0.99125728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4946015625,-0.028955709928409
0.99129114,NaN,NaN,NaN,NaN,NaN,NaN,128.024421875,-0.00923810639564488,NaN,NaN
0.99132862,NaN,NaN,NaN,NaN,145.3004375,-0.00807528705172564,NaN,NaN,NaN,NaN
0.9913349,NaN,NaN,110.4142734375,0.00601464303766054,NaN,NaN,NaN,NaN,NaN,NaN
0.99133864,93.1443984375,0.0133630962117825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.07385734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5501484375,0.0183067091696006
1.07389244,NaN,NaN,NaN,NaN,NaN,NaN,128.0102109375,-0.0203372580030968,NaN,NaN
1.07394196,NaN,NaN,NaN,NaN,145.304375,-0.00536560351372617,NaN,NaN,NaN,NaN
1.07394302,93.131953125,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.07394598,NaN,NaN,110.4436953125,0.0326630497197989,NaN,NaN,NaN,NaN,NaN,NaN
1.15646744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5700625,0.0352507184918029
1.15651908,NaN,NaN,NaN,NaN,NaN,NaN,128.017015625,-0.0150226010211923,NaN,NaN
1.15654106,NaN,NaN,110.4171328125,0.00860447756916963,NaN,NaN,NaN,NaN,NaN,NaN
1.15655156,NaN,NaN,NaN,NaN,145.3540625,0.0288280220847864,NaN,NaN,NaN,NaN
1.15656388,93.1735390625,0.0446527062996162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.2391046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5091328125,-0.0165917015567749
1.2391467,NaN,NaN,NaN,NaN,NaN,NaN,128.00975,-0.0206972634703052,NaN,NaN
1.23915814,NaN,NaN,NaN,NaN,145.331859375,0.0135484176899778,NaN,NaN,NaN,NaN
1.2391583,NaN,NaN,110.39071875,-0.0153196496194398,NaN,NaN,NaN,NaN,NaN,NaN
1.2391758,93.1200234375,-0.0128094462745654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.32170884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5126796875,-0.0135738199434864
1.32174152,NaN,NaN,NaN,NaN,NaN,NaN,128.045796875,0.00745638442238997,NaN,NaN
1.32176626,NaN,NaN,NaN,NaN,145.367109375,0.0378065369825184,NaN,NaN,NaN,NaN
1.32177896,93.12978125,-0.00233204064461837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.32178928,NaN,NaN,110.4114296875,0.00343896060741941,NaN,NaN,NaN,NaN,NaN,NaN
1.40431332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4737734375,-0.046677455261074
1.40433282,NaN,NaN,NaN,NaN,NaN,NaN,128.0498828125,0.0106476193265517,NaN,NaN
1.40436724,93.1047734375,-0.0291840625993475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.40437046,NaN,NaN,NaN,NaN,145.312171875,0,NaN,NaN,NaN,NaN
1.40439312,NaN,NaN,110.3987734375,-0.00802424141729908,NaN,NaN,NaN,NaN,NaN,NaN
1.4869137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4946171875,-0.0289424152957486
1.48695126,NaN,NaN,NaN,NaN,NaN,NaN,128.0455859375,0.00729163615772699,NaN,NaN
1.48698608,93.15775,0.0276992741313751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.48700108,NaN,NaN,NaN,NaN,145.302390625,-0.00673119799518046,NaN,NaN,NaN,NaN
1.48700594,NaN,NaN,110.3759921875,-0.0286580050617769,NaN,NaN,NaN,NaN,NaN,NaN
1.5695345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5200078125,-0.00733863722703994
1.56955178,NaN,NaN,NaN,NaN,NaN,NaN,128.01475,-0.0167921194193076,NaN,NaN
1.56959984,NaN,NaN,NaN,NaN,145.295578125,-0.0114193806244068,NaN,NaN,NaN,NaN
1.56960534,93.0675546875,-0.069147521703485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.56963436,NaN,NaN,110.3907109375,-0.0153267256700737,NaN,NaN,NaN,NaN,NaN,NaN
1.6521294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4876640625,-0.0348585268284065
1.65214508,NaN,NaN,NaN,NaN,NaN,NaN,127.9941171875,-0.0329069404172648,NaN,NaN
1.65222504,93.079578125,-0.0562374118039821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6522276,NaN,NaN,NaN,NaN,145.26821875,-0.0302473801284939,NaN,NaN,NaN,NaN
1.6522281,NaN,NaN,110.396703125,-0.00989939483491774,NaN,NaN,NaN,NaN,NaN,NaN
