t_s,v_mV
8820.0,-402.05
23100.0,-941.37
36870.0,-1210.6
51750.0,-906.01
66300.0,-394.23
80700.0,-467.88
95070.0,-963.09
108330.0,-1210.6
123690.0,-945.03
138030.0,-416.78
152550.0,-493.42
167190.0,-981.98
180210.0,-1210.6
195630.0,-953.78
210180.0,-427.91
