Time_s,Peak_uA,Dip_uA
4068.745,5884.135,0.36
4086.245,5879.304,0.36
4103.745,5868.344,0.357
4121.245,5883.253,0.366
4138.745,5875.943,0.353
4156.245,5866.542,0.355
4173.745,5876.376,0.369
4191.245,5890.846,0.359
4208.745,5886.153,0.377
4226.245,5895.429,0.374
4243.745,5883.554,0.37
4261.245,5890.304,0.389
4278.745,5892.328,0.372
4296.245,5887.362,0.371
4313.745,5881.109,0.361
4331.245,5872.245,0.354
4348.745,5876.912,0.358
4366.245,5875.557,0.36
4383.745,5882.017,0.365
4401.245,5876.348,0.363
4418.745,5877.501,0.352
4436.245,5872.167,0.36
4453.745,5872.789,0.354
4471.245,5875.714,0.357
4488.745,5856.016,0.36
4506.245,5875.779,0.348
4523.745,5868.884,0.352
4541.245,5867.224,0.351
4558.745,5867.885,0.355
4576.245,5884.265,0.359
4593.745,5866.38,0.354
4611.245,5867.698,0.343
4628.745,5858.229,0.364
4646.245,5858.756,0.35
4663.745,5871.832,0.363
4681.245,5871.161,0.353
4698.745,5860.11,0.35
4716.245,5874.689,0.356
4733.745,5862.51,0.368
4751.245,5868.772,0.364
4768.745,5872.343,0.339
4786.245,5874.679,0.354
4803.745,5872.682,0.365
4821.245,5882.402,0.351
4838.745,5862.084,0.361
4856.245,5862.984,0.36
4873.745,5856.494,0.365
4891.245,5866.53,0.363
4908.745,5854.683,0.364
4926.245,5868.45,0.348
4943.745,5855.215,0.355
4961.245,5853.777,0.363
4978.745,5862.493,0.35
4996.245,5863.168,0.369
5013.745,5868.443,0.356
5031.245,5874.238,0.347
5048.745,5868.088,0.347
5066.245,5869.668,0.355
5083.745,5858.377,0.351
5101.245,5856.817,0.34
5118.745,5871.035,0.352
5136.245,5856.118,0.347
5153.745,5859.117,0.347
5171.245,5858.422,0.345
5188.745,5855.929,0.346
5206.245,5866.149,0.353
5223.745,5862.996,0.355
5241.245,5856.808,0.347
5258.745,5868.288,0.365
5276.245,5860.949,0.35
5293.745,5860.013,0.348
5311.245,5846.902,0.348
5328.745,5856.149,0.359
5346.245,5859.149,0.363
5363.745,5871.753,0.352
5381.245,5872.247,0.366
5398.745,5855.461,0.36
5416.245,5873.25,0.367
5433.745,5873.713,0.369
5451.245,5876.037,0.371
5468.745,5869.941,0.359
5486.245,5857.068,0.357
5503.745,5860.839,0.344
5521.245,5862.48,0.356
5538.745,5866.468,0.364
5556.245,5867.471,0.347
5573.745,5863.776,0.359
5591.245,5852.872,0.353
5608.745,5866.739,0.356
5626.245,5873.755,0.38
5643.745,5875.808,0.373
5661.245,5879.86,0.373
5678.745,5870.015,0.374
5696.245,5882.965,0.374
5713.745,5872.535,0.363
5731.245,5876.234,0.379
5748.745,5888.394,0.368
5766.245,5871.754,0.367
5783.745,5875.531,0.373
5801.245,5873.766,0.374
5818.745,5877.476,0.371
5836.245,5873.463,0.372
5853.745,5880.863,0.377
5871.245,5876.109,0.377
5888.745,5875.773,0.37
5906.245,5883.609,0.374
5923.745,5873.788,0.365
5941.245,5864.57,0.368
5958.745,5869.064,0.363
5976.245,5883.886,0.373
5993.745,5881.205,0.395
6011.245,5887.084,0.384
6028.745,5891.703,0.385
6046.245,5868.15,0.367
6063.745,5861.693,0.363
6081.245,5868.875,0.367
6098.745,5850.3,0.359
6116.245,5862.998,0.359
6133.745,5856.973,0.354
6151.245,5859.23,0.359
6168.745,5861.303,0.358
6186.245,5864.104,0.364
6203.745,5867.369,0.369
6221.245,5857.056,0.358
6238.745,5846.847,0.359
6256.245,5873.866,0.354
6273.745,5872.757,0.37
6291.245,5877.001,0.38
6308.745,5875.895,0.369
6326.245,5868.442,0.365
6343.745,5880.512,0.371
6361.245,5878.323,0.374
6378.745,5876.09,0.372
6396.245,5881.885,0.367
6413.745,5866.254,0.369
6431.245,5868.991,0.378
6448.745,5876.511,0.372
6466.245,5867.358,0.372
6483.745,5865.757,0.379
6501.245,5866.912,0.354
6518.745,5861.735,0.351
6536.245,5856.972,0.364
6553.745,5843.069,0.355
6571.245,5867.43,0.36
6588.745,5866.937,0.358
6606.245,5863.993,0.36
6623.745,5856.981,0.362
6641.245,5859.452,0.364
6658.745,5872.031,0.36
6676.245,5860.848,0.361
6693.745,5857.865,0.359
6711.245,5860.036,0.358
6728.745,5861.12,0.37
6746.245,5855.97,0.351
6763.745,5864.319,0.354
6781.245,5861.225,0.365
6798.745,5867.706,0.369
6816.245,5862.173,0.358
6833.745,5859.052,0.355
6851.245,5859.804,0.37
6868.745,5850.928,0.357
6886.245,5850.012,0.354
6903.745,5853.019,0.359
6921.245,5860.046,0.351
6938.745,5851.716,0.348
6956.245,5852.632,0.368
6973.745,5862.814,0.367
6991.245,5875.476,0.362
7008.745,5853.974,0.375
7026.245,5857.746,0.368
7043.745,5853.015,0.345
7061.245,5842.9,0.351
7078.745,5856.93,0.357
7096.245,5863.007,0.352
7113.745,5847.174,0.344
7131.245,5848.058,0.346
7148.745,5853.157,0.368
7166.245,5850.312,0.365
7183.745,5857.097,0.354
7201.245,5849.805,0.348
7218.745,5848.988,0.361
7236.245,5852.56,0.345
7253.745,5849.937,0.352
7271.245,5847.635,0.354
7288.745,5854.212,0.351
7306.245,5854.574,0.368
7323.745,5867.111,0.364
7341.245,5857.059,0.359
7358.745,5856.857,0.368
7376.245,5855.112,0.353
7393.745,5855.535,0.357
7411.245,5857.628,0.358
7428.745,5859.296,0.362
7446.245,5854.71,0.371
7463.745,5865.941,0.358
7481.245,5858.511,0.362
7498.745,5856.474,0.355
