Time_s,Peak_uA,Dip_uA
17508.745,5672.855,0.796
17526.245,5675.94,0.78
17543.745,5679.109,0.791
17561.245,5676.346,0.789
17578.745,5673.593,0.787
17596.245,5713.998,0.795
17613.745,5671.102,0.795
17631.245,5677.095,0.79
17648.745,5677.839,0.793
17666.245,5672.647,0.783
17683.745,5674.303,0.782
17701.245,5664.821,0.777
17718.745,5671.016,0.774
17736.245,5688.11,0.789
17753.745,5687.861,0.785
17771.245,5676.777,0.781
17788.745,5686.316,0.797
17806.245,5667.782,0.78
17823.745,5672.997,0.787
17841.245,5666.972,0.778
17858.745,5670.113,0.775
17876.245,5674.033,0.776
17893.745,5677.721,0.792
17911.245,5656.043,0.773
17928.745,5656.568,0.789
17946.245,5669.912,0.782
17963.745,5669.112,0.781
17981.245,5666.087,0.782
17998.745,5663.575,0.782
18016.245,5667.68,0.788
18033.745,5664.921,0.777
18051.245,5657.724,0.773
18068.745,5651.498,0.772
18086.245,5664.343,0.78
18103.745,5670.245,0.58
18121.245,5674.177,0.78
18138.745,5675.057,0.792
18156.245,5669.991,0.791
18173.745,5678.9,0.793
18191.245,5680.951,0.784
18208.745,5655.878,0.775
18226.245,5661.014,0.787
18243.745,5656.07,0.78
18261.245,5668.528,0.786
18278.745,5682.27,0.794
18296.245,5668.17,0.782
18313.745,5676.717,0.787
18331.245,5665.767,0.786
18348.745,5678.366,0.787
18366.245,5671.958,0.791
18383.745,5672.301,0.793
18401.245,5660.883,0.792
18418.745,5678.253,0.799
18436.245,5675.859,0.783
18453.745,5684.959,0.796
18471.245,5667.003,0.784
18488.745,5672.376,0.791
18506.245,5718.875,0.797
18523.745,5674.632,0.797
18541.245,5672.787,0.796
18558.745,5683.901,0.797
18576.245,5684.866,0.799
18593.745,5671.447,0.799
18611.245,5665.118,0.786
18628.745,5659.13,0.78
18646.245,5664.352,0.766
18663.745,5645.845,0.766
18681.245,5657.742,0.763
18698.745,5654.075,0.777
18716.245,5655.206,0.773
18733.745,5659.984,0.78
18751.245,5661.488,0.779
18768.745,5662.27,0.78
18786.245,5669.005,0.785
18803.745,5656.368,0.776
18821.245,5656.568,0.779
18838.745,5656.835,0.782
18856.245,5656.787,0.794
18873.745,5669.465,0.794
18891.245,5672.526,0.785
18926.245,5669.344,0.785
18943.745,5662.97,0.78
18961.245,5662.108,0.779
18978.745,5668.898,0.78
18996.245,5675.571,0.79
19013.745,5666.292,0.791
19031.245,5670.42,0.778
19048.745,5671.436,0.784
19066.245,5666.888,0.782
19083.745,5666.084,0.771
19101.245,5669.857,0.774
19118.745,5650.836,0.771
19136.245,5669.721,0.773
19153.745,5668.679,0.77
19171.245,5674.478,0.769
19188.745,5664.496,0.77
19206.245,5669.196,0.757
19223.745,5661.997,0.765
19241.245,5667.013,0.759
19258.745,5660.521,0.747
19276.245,5670.485,0.758
19293.745,5664.545,0.743
19311.245,5661.969,0.748
19328.745,5658.417,0.746
19346.245,5663.131,0.74
19363.745,5665.746,0.74
19381.245,5657.916,0.727
19398.745,5647.924,0.724
19416.245,5653.4,0.734
19433.745,5652.514,0.726
19451.245,5647.387,0.721
19468.745,5658.932,0.732
19486.245,5685.459,0.719
19503.745,5656.793,0.725
19521.245,5648.135,0.702
19538.745,5682.448,0.711
19556.245,5660.794,0.714
19573.745,5657.459,0.723
19591.245,5652.878,0.729
19608.745,5659.555,0.722
19626.245,5661.561,0.71
19643.745,5653.874,0.714
19661.245,5665.788,0.715
19678.745,5661.623,0.715
19696.245,5659.228,0.709
19713.745,5658.461,0.698
19731.245,5672.396,0.702
19748.745,5653.71,0.695
19766.245,5651.828,0.694
19783.745,5646.69,0.693
19801.245,5651.583,0.683
19818.745,5662.919,0.688
19836.245,5642.877,0.678
19853.745,5647.419,0.675
19871.245,5653.099,0.683
19888.745,5666.016,0.67
19906.245,5658.848,0.668
19923.745,5667.935,0.687
19941.245,5663.289,0.684
19958.745,5674.922,0.687
19976.245,5671.819,0.689
19993.745,5693.596,0.679
20011.245,5674.7,0.679
20028.745,5657.267,0.664
20046.245,5660.772,0.67
20063.745,5659.909,0.664
20081.245,5660.261,0.666
20098.745,5668.609,0.675
20116.245,5663.865,0.653
20133.745,5662.758,0.661
20151.245,5663.879,0.664
20168.745,5650.357,0.645
20186.245,5653.701,0.641
20203.745,5651.88,0.636
20221.245,5639.787,0.634
20238.745,5638.813,0.627
20256.245,5652.029,0.629
20273.745,5647.552,0.63
20291.245,5647.333,0.641
20308.745,5646.37,0.627
20326.245,5649.719,0.621
20343.745,5635.818,0.623
20361.245,5678.731,0.624
20378.745,5668.333,0.621
20396.245,5657.733,0.625
20413.745,5666.047,0.636
20431.245,5654.626,0.606
20448.745,5655.885,0.618
20466.245,5661.91,0.632
20483.745,5665.689,0.615
20501.245,5650.082,0.596
20518.745,5641.142,0.596
20536.245,5643.421,0.589
20553.745,5648.992,0.605
20571.245,5638.9,0.602
20588.745,5648.488,0.591
20606.245,5655.264,0.607
20623.745,5654.15,0.599
20641.245,5651.622,0.587
20658.745,5658.42,0.596
20676.245,5650.526,0.594
20693.745,5675.732,0.609
20711.245,5662.538,0.592
20728.745,5662.734,0.595
20746.245,5668.088,0.594
20763.745,5654.033,0.588
20781.245,5661.814,0.579
20798.745,5667.483,0.592
20816.245,5666.304,0.578
20833.745,5662.402,0.588
20851.245,5657.749,0.579
20868.745,5653.254,0.569
20886.245,5647.086,0.559
20903.745,5645.708,0.552
20921.245,5644.095,0.554
20938.745,5637.887,0.548
20956.245,5647.946,0.547
20973.745,5653.354,0.551
20991.245,5651.078,0.547
21008.745,5653.424,0.556
21026.245,5648.82,0.554
21043.745,5652.62,0.554
21061.245,5647.169,0.544
21078.745,5657.602,0.539
21096.245,5670.983,0.561
21113.745,5653.792,0.56
21131.245,5660.713,0.552
21148.745,5653.596,0.551
21166.245,5660.124,0.553
21183.745,5667.236,0.545
21201.245,5683.623,0.551
21218.745,5666.306,0.543
21236.245,5661.269,0.542
21253.745,5660.734,0.54
21271.245,5654.703,0.537
21288.745,5676.232,0.533
21306.245,5655.736,0.53
21323.745,5678.604,0.546
21341.245,5653.379,0.546
21358.745,5663.064,0.534
21376.245,5671.589,0.541
21393.745,5661.413,0.531
21411.245,5677.383,0.54
21428.745,5668.954,0.524
21446.245,5648.294,0.507
21463.745,5651.893,0.511
21481.245,5651.254,0.506
21498.745,5643.778,0.505
21516.245,5650.833,0.511
21533.745,5648.936,0.511
21551.245,5654.252,0.498
21568.745,5666.323,0.504
21586.245,5656.136,0.505
21603.745,5676.532,0.512
21621.245,5671.926,0.505
21638.745,5669.754,0.504
21656.245,5660.009,0.507
21673.745,5657.954,0.494
21691.245,5665.691,0.496
21708.745,5661.98,0.499
21726.245,5662.44,0.499
21743.745,5673.762,0.495
21761.245,5663.031,0.505
21778.745,5665.101,0.493
21796.245,5667.973,0.495
21813.745,5665.559,0.491
21831.245,5687.236,0.501
21848.745,5676.524,0.487
21866.245,5666.785,0.484
21883.745,5655.234,0.478
21901.245,5670.664,0.475
21918.745,5660.343,0.486
21936.245,5675.759,0.499
21953.745,5673.955,0.495
21971.245,5687.773,0.482
21988.745,5658.125,0.469
22006.245,5659.71,0.477
22023.745,5673.133,0.475
22041.245,5678.48,0.475
22058.745,5679.58,0.486
22076.245,5661.029,0.46
22093.745,5666.968,0.468
22111.245,5667.291,0.448
22128.745,5672.465,0.465
22146.245,5670.699,0.459
22163.745,5659.713,0.464
22181.245,5669.402,0.467
22198.745,5672.339,0.475
22216.245,5666.356,0.459
22233.745,5673.233,0.459
22251.245,5671.213,0.453
22268.745,5670.475,0.445
22286.245,5679.365,0.453
22303.745,5662.008,0.439
22321.245,5659.055,0.441
22338.745,5667.839,0.448
22356.245,5663.041,0.455
22373.745,5674.426,0.459
22391.245,5666.937,0.446
22408.745,5680.285,0.451
22426.245,5683.612,0.446
22443.745,5674.322,0.434
22461.245,5677.409,0.44
22478.745,5668.014,0.446
22496.245,5673.061,0.437
22513.745,5677.323,0.445
22531.245,5679.534,0.445
22548.745,5667.436,0.442
22566.245,5669.818,0.431
22583.745,5667.375,0.437
22601.245,5673.348,0.427
22618.745,5674.643,0.438
22636.245,5686.522,0.429
22653.745,5692.599,0.428
22671.245,5678.883,0.425
22688.745,5682.402,0.435
22706.245,5688.297,0.435
22723.745,5670.297,0.436
22741.245,5680.735,0.432
22758.745,5709.375,0.432
22776.245,5687.932,0.427
22793.745,5700.75,0.439
22811.245,5689.508,0.418
22828.745,5695.214,0.438
22846.245,5661.37,0.416
22863.745,5692.734,0.421
22881.245,5704.429,0.441
22898.745,5697.587,0.433
22916.245,5697.176,0.428
22933.745,5702.833,0.44
22951.245,5693.452,0.429
22968.745,5689.369,0.421
22986.245,5707.112,0.419
23003.745,5709.682,0.417
23021.245,5693.08,0.436
23038.745,5704.182,0.434
23056.245,5701.411,0.424
23073.745,5707.671,0.431
23091.245,5716.757,0.425
23108.745,5715.734,0.431
23126.245,5705.518,0.413
23143.745,5706.987,0.412
23161.245,5717.453,0.425
23178.745,5699.642,0.4
23196.245,5706.258,0.394
23213.745,5707.813,0.407
23231.245,5716.089,0.415
23248.745,5716.954,0.408
23266.245,5713.877,0.407
23283.745,5718.509,0.413
23301.245,5702.391,0.406
23318.745,5712.513,0.41
23336.245,5715.108,0.414
23353.745,5709.284,0.405
23371.245,5718.443,0.405
23388.745,5713.966,0.4
23406.245,5718.137,0.399
23423.745,5719.58,0.391
23441.245,5709.573,0.404
23458.745,5713.746,0.393
23476.245,5708.654,0.391
23493.745,5699.918,0.392
23511.245,5716.795,0.389
23528.745,5715.897,0.402
23546.245,5723.244,0.396
23563.745,5716.959,0.395
23581.245,5733.067,0.398
23598.745,5731.265,0.394
23616.245,5715.569,0.368
23633.745,5702.117,0.367
23651.245,5708.085,0.371
23668.745,5690.334,0.374
23686.245,5713.916,0.374
23703.745,5706.643,0.373
23721.245,5727.354,0.364
23738.745,5718.607,0.372
23756.245,5707.391,0.364
23773.745,5720.199,0.364
23791.245,5705.216,0.37
23808.745,5710.926,0.355
23826.245,5714.252,0.367
23843.745,5712.099,0.355
23861.245,5721.92,0.359
23878.745,5728.42,0.37
23896.245,5732.447,0.376
23913.745,5738.829,0.367
23931.245,5730.748,0.38
23948.745,5735.318,0.378
23966.245,5742.353,0.38
23983.745,5733.599,0.368
24001.245,5725.685,0.359
24018.745,5737.561,0.37
24036.245,5735.845,0.363
24053.745,5739.917,0.365
24071.245,5740.936,0.367
24088.745,5717.274,0.369
24106.245,5741.26,0.359
24123.745,5734.406,0.341
24141.245,5748.981,0.358
24158.745,5733.982,0.351
24176.245,5727.573,0.357
24193.745,5740.303,0.347
24211.245,5732.015,0.335
24228.745,5740.485,0.339
24246.245,5743.137,0.346
24263.745,5744.463,0.348
24281.245,5744.535,0.343
24298.745,5748.267,0.346
24333.745,5754.286,0.353
24351.245,5749.888,0.352
24368.745,5762.094,0.333
24386.245,5752.264,0.348
24403.745,5746.487,0.352
24421.245,5761.944,0.356
24438.745,5737.475,0.346
24456.245,5754.762,0.335
24473.745,5755.823,0.348
24491.245,5746.859,0.339
24508.745,5749.895,0.336
24526.245,5752.651,0.329
24543.745,5763.803,0.337
24561.245,5770.957,0.342
24578.745,5762.177,0.344
24596.245,5771.714,0.328
24613.745,5764.817,0.351
24631.245,5746.732,0.315
24648.745,5768.176,0.326
24666.245,5753.097,0.344
24683.745,5763.726,0.326
24701.245,5776.327,0.34
24718.745,5777.139,0.338
24736.245,5774.69,0.349
24753.745,5796.627,0.356
24771.245,5785.7,0.346
24788.745,5781.642,0.34
24806.245,5793.344,0.346
24823.745,5789.52,0.354
24841.245,5759.267,0.329
24858.745,5780.418,0.321
24876.245,5772.267,0.319
24893.745,5775.255,0.322
24911.245,5779.81,0.326
24928.745,5781.67,0.318
24946.245,5773.708,0.334
24963.745,5782.338,0.307
24981.245,5743.328,0.325
24998.745,5754.903,0.317
25016.245,5778.05,0.314
25033.745,5796.124,0.318
25051.245,5795.497,0.326
25068.745,5777.921,0.324
25086.245,5789.609,0.325
25103.745,5780.08,0.318
25121.245,5782.477,0.331
25138.745,5793.078,0.316
25156.245,5799.267,0.315
25173.745,5771.535,0.31
25191.245,5786.455,0.3
25208.745,5791.042,0.33
25226.245,5800.661,0.313
25243.745,5787.054,0.317
25261.245,5801.844,0.324
25278.745,5793.465,0.309
25296.245,5794.72,0.33
25313.745,5808.969,0.318
25331.245,5803.89,0.324
25348.745,5803.449,0.307
25366.245,5790.275,0.322
25383.745,5817.435,0.319
25401.245,5796.85,0.182
25418.745,5819.273,0.307
25436.245,5821.684,0.324
25453.745,5818.747,0.321
25471.245,5817.675,0.307
25488.745,5800.289,0.309
25506.245,5811.054,0.292
25523.745,5790.89,0.299
25541.245,5800.039,0.274
25558.745,5777.628,0.287
25576.245,5797.097,0.296
25593.745,5802.854,0.279
25611.245,5807.002,0.281
25628.745,5781.455,0.281
25646.245,5804.557,0.287
25663.745,5801.068,0.298
25681.245,5819.95,0.293
25698.745,5813.218,0.293
25716.245,5817.318,0.288
25733.745,5806.023,0.294
25751.245,5828.558,0.286
25768.745,5827.399,0.284
25786.245,5823.484,0.272
25803.745,5794.813,0.291
25821.245,5815.868,0.273
25838.745,5817.299,0.284
25856.245,5827.703,0.289
25873.745,5822.772,0.27
25891.245,5811.378,0.272
25908.745,5828.801,0.271
25926.245,5823.692,0.282
25943.745,5805.307,0.285
25961.245,5820.554,0.289
25978.745,5824.454,0.298
25996.245,5830.847,0.279
26013.745,5823.621,0.265
26031.245,5828.777,0.268
26048.745,5798.802,0.267
26066.245,5835.219,0.29
26083.745,5812.061,0.277
26101.245,5840.363,0.262
26118.745,5826.185,0.258
26136.245,5833.762,0.277
26153.745,5847.865,0.284
26171.245,5850.577,0.271
26188.745,5850.028,0.269
26206.245,5833.251,0.283
26223.745,5836.642,0.275
26241.245,5843.779,0.269
26258.745,5836.985,0.284
26276.245,5840.998,0.25
26293.745,5843.708,0.264
26311.245,5843.963,0.273
26328.745,5853.066,0.264
26346.245,5872.96,0.268
26363.745,5860.78,0.27
26381.245,5858.748,0.262
26398.745,5825.044,0.263
26416.245,5854.798,0.258
26433.745,5847.457,0.303
26451.245,5872.964,0.267
26468.745,5859.688,0.285
26486.245,5869.388,0.278
26503.745,5867.115,0.266
26521.245,5881.583,0.273
26538.745,5873.511,0.249
26556.245,5879.067,0.268
26573.745,5857.151,0.254
26591.245,5863.79,0.255
26608.745,5873.978,0.269
26626.245,5860.964,0.261
26643.745,5855.097,0.253
26661.245,5866.524,0.275
26678.745,5880.122,0.258
26696.245,5881.308,0.261
26713.745,5884.541,0.268
26731.245,5864.957,0.254
26748.745,5878.064,0.268
26766.245,5862.019,0.253
26783.745,5882.165,0.246
26801.245,5891.417,0.257
26818.745,5876.478,0.243
26836.245,5885.762,0.273
26853.745,5892.19,0.254
26871.245,5900.023,0.253
26888.745,5874.442,0.251
26906.245,5896.512,0.257
26923.745,5893.136,0.258
26941.245,5869.484,0.245
26958.745,5904.322,0.237
26976.245,5878.617,0.255
26993.745,5909.263,0.251
27011.245,5914.89,0.253
27028.745,5912.179,0.238
27046.245,5911.047,0.259
27063.745,5916.78,0.251
27081.245,5904.98,0.266
27098.745,5913.197,0.267
27116.245,5922.795,0.261
27133.745,5912.509,0.257
27151.245,5919.219,0.259
27168.745,5920.734,0.265
27186.245,5939.883,0.265
27203.745,5936.044,0.264
27221.245,5937.636,0.256
27238.745,5943.072,0.247
27256.245,5905.13,0.242
27273.745,5932.966,0.237
27291.245,5931.257,0.261
27308.745,5910.43,0.237
27326.245,5911.647,0.234
27343.745,5899.086,0.238
27361.245,5927.786,0.236
27378.745,5942.274,0.243
27396.245,5924.378,0.227
27413.745,5946.547,0.243
27431.245,5947.057,0.247
27448.745,5920.12,0.242
27466.245,5950.093,0.236
27483.745,5952.925,0.228
27501.245,5944.515,0.227
27518.745,5945.589,0.232
27536.245,5942.576,0.237
27553.745,5937.656,0.239
27571.245,5955.852,0.247
27588.745,5952.59,0.243
27606.245,5952.214,0.246
27623.745,5963.363,0.244
27641.245,5973.122,0.24
27658.745,5975.355,0.244
27676.245,5986.133,0.255
27693.745,5983.313,0.264
27711.245,5982.084,0.25
27728.745,5972.33,0.23
27746.245,5979.882,0.244
27763.745,5976.409,0.239
27781.245,5969.939,0.247
27798.745,5985.005,0.248
27816.245,5976.126,0.246
27833.745,5968.668,0.251
27851.245,5955.639,0.255
27868.745,5965.694,0.259
27886.245,5984.22,0.258
27903.745,5972.631,0.246
27921.245,5970.418,0.257
27938.745,5963.81,0.248
27956.245,5972.991,0.233
27973.745,5957.652,0.263
27991.245,5982.534,0.252
28008.745,5966.194,0.242
28026.245,5955.294,0.222
28043.745,5944.087,0.231
28061.245,5962.198,0.232
28078.745,5968.465,0.215
28096.245,5989.234,0.223
28113.745,5978.192,0.233
28131.245,5972.657,0.237
28148.745,5983.721,0.232
28166.245,5960.475,0.231
28183.745,5978.552,0.228
28201.245,5960.723,0.241
28218.745,5972.407,0.208
28236.245,5988.695,0.235
28253.745,5975.578,0.229
28271.245,5981.106,0.217
28288.745,5984.035,0.233
28306.245,5993.971,0.215
28323.745,5990.772,0.224
28341.245,5975.812,0.23
28358.745,5970.641,0.212
28376.245,5987.501,0.228
28393.745,6000.442,0.236
28411.245,6011.799,0.221
28428.745,6008.448,0.242
28446.245,6006.532,0.197
28463.745,6016.652,0.237
28481.245,6012.676,0.221
28498.745,6016.369,0.206
28516.245,6020.354,0.222
28533.745,5972.196,0.215
28551.245,6009.076,0.217
28568.745,6020.281,0.235
28586.245,6018.829,0.218
28603.745,6020.051,0.214
28621.245,5997.213,0.219
28638.745,6030.865,0.208
28656.245,6032.67,0.204
28673.745,6025.236,0.209
28691.245,6043.43,0.221
28708.745,6051.649,0.213
28726.245,6039.078,0.194
28743.745,6007.014,0.199
28761.245,6051.401,0.186
28778.745,6050.564,0.204
28796.245,6051.144,0.207
28813.745,6036.649,0.207
28831.245,6052.859,0.19
28848.745,6046.515,0.205
28866.245,6070.42,0.209
28883.745,6065.154,0.214
28901.245,6059.941,0.209
28918.745,6053.978,0.218
28936.245,6064.589,0.225
28953.745,6085.169,0.197
28971.245,6074.546,0.199
28988.745,6074.719,0.206
29006.245,6088.618,0.229
29023.745,6044.46,0.211
29041.245,6080.129,0.193
29058.745,6078.174,0.197
29076.245,6087.883,0.208
29093.745,6095.124,0.191
29111.245,6085.581,0.199
29128.745,6103.216,0.199
29146.245,6089.352,0.2
29163.745,6110.993,0.196
29181.245,6107.851,0.209
29198.745,6094.172,0.193
29216.245,6084.75,0.197
29233.745,6103.58,0.202
29251.245,6110.646,0.181
29268.745,6127.384,0.203
29286.245,6126.349,0.207
29303.745,6129.02,0.205
29321.245,6110.719,0.217
29338.745,6139.049,0.217
29356.245,6131.773,0.198
29373.745,6160.677,0.23
29391.245,6127.347,0.228
29408.745,6137.721,0.192
29426.245,6134.302,0.206
29443.745,6131.323,0.218
29461.245,6153.643,0.214
29478.745,6129.828,0.214
29496.245,6155.02,0.213
29513.745,6147.957,0.223
29531.245,6134.533,0.2
29548.745,6136.784,0.195
29566.245,6152.224,0.197
29583.745,6148.669,0.195
29601.245,6148.613,0.204
29618.745,6135.619,0.193
29636.245,6162.412,0.19
29653.745,6162.782,0.193
29671.245,6142.944,0.184
29688.745,6162.303,0.182
29723.745,6174.474,0.186
29741.245,6159.5,0.198
29758.745,6164.253,0.204
29776.245,6200.571,0.2
29793.745,6186.106,0.199
29811.245,6182.368,0.203
29828.745,6179.277,0.182
29846.245,6194.568,0.179
29863.745,6188.716,0.195
29881.245,6172.989,0.203
29898.745,6204.619,0.194
29916.245,6196.059,0.198
29933.745,6187.094,0.187
29951.245,6199.622,0.195
29968.745,6214.624,0.178
29986.245,6210.941,0.194
30003.745,6216.048,0.203
30021.245,6221.899,0.21
30038.745,6225.02,0.2
30056.245,6222.621,0.216
30073.745,6213.992,0.191
30091.245,6228.94,0.181
30108.745,6226.803,0.201
30126.245,6225.097,0.19
30143.745,6230,0.181
30161.245,6229.936,0.192
30178.745,6238.844,0.208
30196.245,6224.371,0.207
30213.745,6233.271,0.191
30231.245,6246.872,0.206
30248.745,6234.869,0.19
30266.245,6246.206,0.176
30283.745,6232.879,0.21
30301.245,6259.435,0.211
30318.745,6256.959,0.183
30336.245,6257.62,0.181
30353.745,6271.727,0.193
30371.245,6271.269,0.203
30388.745,6272.024,0.174
30406.245,6284.6,0.192
30423.745,6285.871,0.189
30441.245,6273.254,0.189
30458.745,6284.8,0.179
30476.245,6284.248,0.195
30493.745,6287.392,0.181
30511.245,6287.697,0.196
30528.745,6289.549,0.195
30546.245,6303.729,0.197
30563.745,6296.877,0.204
30581.245,6293.772,0.186
30598.745,6283.764,0.186
30616.245,6294.779,0.181
30633.745,6311.826,0.181
30651.245,6311.005,0.205
30668.745,6290.135,0.177
30686.245,6312.743,0.18
30703.745,6297.151,0.181
30721.245,6298.996,0.163
30738.745,6309.018,0.18
30756.245,6308.46,0.186
30773.745,6311.759,0.17
30791.245,6312.225,0.188
30808.745,6336.012,0.187
30826.245,6350.038,0.2
30843.745,6345.443,0.178
30861.245,6343.659,0.203
30878.745,6351.44,0.172
30896.245,6329.998,0.179
30913.745,6351.518,0.187
30931.245,6341.566,0.192
30948.745,6346.967,0.192
30966.245,6365.762,0.195
30983.745,6366.413,0.184
31001.245,6371.293,0.197
31018.745,6364.351,0.191
31036.245,6362.092,0.178
31053.745,6372.629,0.182
31071.245,6374.393,0.183
31088.745,6388.343,0.17
31106.245,6377.964,0.179
31123.745,6377.78,0.183
31141.245,6387.106,0.194
31158.745,6358.66,0.178
31176.245,6394.103,0.178
31193.745,6400.646,0.182
31211.245,6412.333,0.18
31228.745,6410.07,0.17
31246.245,6402.469,0.165
31263.745,6405.39,0.173
31281.245,6397.291,0.184
31298.745,6421.392,0.191
31316.245,6440.841,0.199
31333.745,6449.432,0.213
31351.245,6447.337,0.203
31368.745,6446.341,0.192
31386.245,6429.218,0.21
31403.745,6430.432,0.172
31421.245,6420.958,0.178
31438.745,6432.899,0.191
31456.245,6440.144,0.17
31473.745,6447.856,0.174
31491.245,6435.537,0.17
31508.745,6447.892,0.165
31526.245,6432.321,0.164
31543.745,6463.546,0.191
31561.245,6432.196,0.182
31578.745,6471.289,0.176
31596.245,6477.577,0.18
31613.745,6479.237,0.183
31631.245,6469.468,0.185
31648.745,6453.695,0.186
31666.245,6476.415,0.176
31683.745,6476.667,0.187
31701.245,6474.506,0.165
31718.745,6492.959,0.192
31736.245,6496.69,0.19
31753.745,6461.702,0.172
31771.245,6525.881,0.181
31788.745,6498.793,0.187
31806.245,6524.289,0.177
31823.745,6486.532,0.177
31841.245,6507.679,0.177
31858.745,6493.814,0.185
31876.245,6489.215,0.176
31893.745,6494.983,0.178
31911.245,6502.473,0.192
31928.745,6490.859,0.193
31946.245,6515.921,0.184
31963.745,6490.74,0.175
31981.245,6506.587,0.165
31998.745,6522.938,0.184
32016.245,6495.267,0.165
32033.745,6527.291,0.18
32051.245,6517.142,0.189
32068.745,6522.277,0.173
32086.245,6511.346,0.167
32103.745,6505.313,0.174
32121.245,6528.709,0.171
32138.745,6527.516,0.168
32156.245,6533.898,0.167
32173.745,6515.956,0.177
32191.245,6540.167,0.174
32208.745,6535.559,0.188
32226.245,6543.486,0.198
32243.745,6531.81,0.207
32261.245,6548.37,0.212
32278.745,6552.988,0.21
32296.245,6538.766,0.189
32313.745,6555.209,0.203
32331.245,6542.422,0.171
32348.745,6555.538,0.184
32366.245,6535.179,0.181
32383.745,6552.017,0.173
32401.245,6560.79,0.167
32418.745,6552.986,0.196
32436.245,6540.5,0.184
32453.745,6562.661,0.175
32471.245,6570.25,0.169
32488.745,6560.549,0.176
32506.245,6561.692,0.177
32523.745,6556.225,0.17
32541.245,6549.978,0.179
32558.745,6571.765,0.203
32576.245,6570.245,0.175
32593.745,6571.727,0.185
32611.245,6586.484,0.18
32628.745,6577.918,0.2
32646.245,6574.148,0.195
32663.745,6580.639,0.179
32681.245,6601.274,0.191
32698.745,6557.06,0.198
32716.245,6593.722,0.186
32733.745,6602.612,0.205
32751.245,6577.534,0.182
32768.745,6595.299,0.18
32786.245,6590.957,0.194
32803.745,6592.128,0.203
32821.245,6597.928,0.193
32838.745,6595.825,0.197
32856.245,6599.158,0.194
32873.745,6603.581,0.201
32891.245,6606.889,0.182
32908.745,6582.361,0.203
32926.245,6585.934,0.207
32943.745,6601.089,0.188
32961.245,6590.274,0.167
32978.745,6568.131,0.177
32996.245,6582.266,0.181
33013.745,6592.128,0.175
33031.245,6599.074,0.162
33048.745,6599.117,0.182
33066.245,6595.926,0.159
33083.745,6605.218,0.191
33101.245,6589.449,0.176
33118.745,6592.535,0.164
33136.245,6573.546,0.184
33153.745,6595.357,0.171
33171.245,6604.321,0.169
33188.745,6610.853,0.171
33206.245,6600.371,0.181
33223.745,6588.915,0.208
33241.245,6580.619,0.188
33258.745,6598.508,0.172
33276.245,6609.278,0.172
33293.745,6613.336,0.185
33311.245,6620.327,0.187
33328.745,6620.794,0.215
33346.245,6621.24,0.21
33363.745,6611.24,0.183
33381.245,6615.155,0.163
33398.745,6618.258,0.165
33416.245,6586.552,0.164
33433.745,6611.826,0.17
33451.245,6612.034,0.161
33468.745,6599.419,0.156
33486.245,6633.816,0.18
33503.745,6581.589,0.173
33521.245,6609.903,0.17
33538.745,6619.706,0.177
33556.245,6610.306,0.174
33573.745,6635.76,0.184
33591.245,6609.623,0.183
33608.745,6615.237,0.182
33626.245,6626.826,0.156
33643.745,6621.28,0.167
33661.245,6612.289,0.164
33678.745,6618.112,0.184
33696.245,6615.473,0.164
33713.745,6620.665,0.164
33731.245,6612.2,0.168
33748.745,6613.501,0.164
33766.245,6631.86,0.168
33783.745,6630.953,0.174
33801.245,6625.487,0.17
33818.745,6643.65,0.194
33836.245,6628.977,0.165
33853.745,6630.979,0.17
33871.245,6611.486,0.178
33888.745,6633.976,0.171
33906.245,6628.309,0.178
33923.745,6643.506,0.183
33941.245,6634.382,0.168
33958.745,6637.485,0.173
33976.245,6625.586,0.165
33993.745,6631.302,0.161
34011.245,6646.103,0.168
34028.745,6640.592,0.166
34046.245,6632.884,0.167
34063.745,6635.305,0.177
34081.245,6636.468,0.167
34098.745,6620.696,0.175
34116.245,6650.109,0.161
34133.745,6622.319,0.168
34151.245,6635.01,0.171
34168.745,6644.368,0.162
34186.245,6634.947,0.164
34203.745,6632.428,0.154
34221.245,6648.898,0.147
34238.745,6625.065,0.17
34256.245,6641.552,0.162
34273.745,6643.313,0.164
34291.245,6646.921,0.163
34308.745,6647.825,0.188
34326.245,6649.184,0.177
34343.745,6646.124,0.157
34361.245,6649.916,0.17
34378.745,6621.428,0.162
34396.245,6634.562,0.177
34413.745,6643.278,0.169
34431.245,6637.47,0.168
34448.745,6659.144,0.161
34466.245,6668.127,0.175
34483.745,6669.976,0.188
34501.245,6669.695,0.19
34518.745,6653.205,0.184
34536.245,6648.581,0.178
34553.745,6648.678,0.173
34571.245,6663.297,0.178
34588.745,6663.96,0.165
34606.245,6661.119,0.169
34623.745,6653.836,0.167
34641.245,6661.529,0.191
34658.745,6681.51,0.202
34676.245,6653.517,0.201
34693.745,6652.5,0.174
34711.245,6666.716,0.176
34728.745,6670.715,0.178
34746.245,6671.746,0.183
34763.745,6676.564,0.184
34781.245,6662.556,0.163
34798.745,6675.209,0.188
34816.245,6674.258,0.2
34833.745,6682.139,0.177
34851.245,6670.737,0.185
34868.745,6651.664,0.168
34886.245,6664.783,0.162
34903.745,6655.308,0.172
34921.245,6654.883,0.169
34938.745,6672.232,0.16
34956.245,6637.789,0.152
34973.745,6659.858,0.164
34991.245,6669.718,0.152
35008.745,6664.138,0.163
