Time_s,WheatstoneBasic2_Value
16.27876834,16.24962873757
16.36141488,14.11196496338
16.44403282,12.48234789819
16.52666252,8.94513912499
16.60927968,7.505289278924
16.69192536,3.276021452621
16.77453518,-1.69430708047
16.85716552,-4.421768710017
16.93981484,-4.956665914506
17.0224505,-7.716138847172
17.1050992,-13.26514501125
17.187715,-16.49998500943
17.27036332,-16.53602905571
17.35299554,-16.60223864019
17.43561712,-18.18090118468
17.51825042,-22.7285195142
17.6008877,-21.63614332676
17.6835114,-26.17223933339
17.76616142,-33.3776473999
17.84877444,-37.33739256859
17.93143542,-42.84505546093
18.01405354,-45.62735557556
18.09666414,-52.87316814065
18.17930722,-58.46637859941
18.26193354,-58.57462435961
18.34458764,-61.68012320995
18.42721096,-62.52297013998
18.5098403,-64.97925519943
18.59249392,-67.47476011515
18.67512382,-68.65534931421
18.75776342,-70.54307311773
18.84042616,-73.99396598339
18.92306666,-74.04047995806
19.0056825,-75.10726898909
19.08833566,-75.76652616262
19.17095734,-77.82007008791
19.25359418,-80.62276244164
19.33622796,-82.2890624404
19.4188793,-86.23538166285
19.50151512,-88.00803124905
19.58415492,-90.17599374056
19.66680506,-92.48347580433
19.74945376,-93.69041770697
19.83207876,-93.32943707705
19.9147035,-95.83012759686
19.99735422,-96.49183601141
20.0799806,-97.90949523449
20.16260494,-100.379563868
20.2452432,-101.7028093338
20.32786034,-103.4892499447
20.41048432,-104.1648760438
20.4931225,-105.5637523532
20.57576168,-108.6924001575
20.65838584,-111.6935014725
20.74104576,-114.3903583288
20.82366484,-112.8409951925
20.90628506,-113.4647727013
20.9889339,-116.6841164231
21.0715659,-120.5620244145
21.15419312,-123.4330832958
21.23681082,-125.6903856993
21.3194401,-127.5891363621
21.40205544,-128.9627254009
21.48468766,-133.2529336214
21.5673233,-135.5381309986
21.64996136,-136.8702054024
21.73259144,-140.857219696
21.81520884,-142.4404382706
21.89783988,-146.342009306
21.9804978,-148.1979340315
22.0631228,-150.4955142736
22.14575276,-152.7362167835
22.22840322,-153.1215310097
22.311018,-153.4028947353
22.39364408,-153.5469591618
22.47628832,-152.8243720531
22.55893,-152.9367417097
22.6415567,-154.4333845377
22.72418744,-154.4778048992
22.80684014,-155.0872772932
22.88946466,-154.5976102352
22.97211078,-154.3077528477
23.05473148,-154.9890339375
23.13736082,-155.2555710077
23.2199738,-154.5177102089
23.30260732,-154.4723212719
23.38524154,-153.9510339499
23.46787924,-153.5166800022
23.55050262,-153.8878679276
23.63315128,-153.9767384529
23.71579886,-153.9464741945
23.79841932,-154.5523107052
23.88104616,-154.3878465891
23.9636899,-154.5198112726
24.04634028,-154.2508006096
24.12896908,-153.7711918354
24.21160032,-153.8652032614
24.29422344,-153.7925004959
24.37685116,-153.6498218775
24.4594743,-154.0783047676
24.5421061,-154.1041731834
24.62474598,-154.4654816389
24.70737874,-154.070019722
24.79,-154.0561765432
24.87265296,-154.3522328138
24.95527818,-154.498398304
25.0379069,-155.1293581724
25.12055308,-155.3814262152
25.2031707,-155.5330306292
25.28579524,-154.9602001905
25.36842404,-154.7361016273
25.45104172,-154.291883111
25.53365394,-154.5765995979
25.616264,-155.2856713533
25.69889246,-154.8839509487
25.7815047,-154.842659831
