Time_s,Sensor_negDegPLA,Sensor_negDegTPU,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
1876.23020888,NaN,116.69990625,NaN,NaN,NaN,NaN
1894.30943526,NaN,116.6759375,NaN,NaN,NaN,NaN
1912,NaN,NaN,25.027,25,29.979,30
1930.46799416,NaN,116.642796875,NaN,NaN,NaN,NaN
1948,NaN,NaN,25.023,25,30.001,30
1964.04370006,NaN,116.6314765625,NaN,NaN,NaN,NaN
1982.12294972,NaN,116.58675,NaN,NaN,NaN,NaN
2000.20216702,NaN,116.58328125,NaN,NaN,NaN,NaN
2016.8025027,77.1978125,NaN,NaN,NaN,NaN,NaN
2034,NaN,NaN,25.038,25,29.94,30
2052.96103442,77.207046875,NaN,NaN,NaN,NaN,NaN
2070,NaN,NaN,25.032,25,30.009,30
2086.5367874,77.1994453125,NaN,NaN,NaN,NaN,NaN
2104.61604324,77.21034375,NaN,NaN,NaN,NaN,NaN
2122.69532586,77.195640625,NaN,NaN,NaN,NaN,NaN
2139.6705099,NaN,116.5062421875,NaN,NaN,NaN,NaN
2157,NaN,NaN,25.03,25,30.1,30
2175.8290297,NaN,116.471578125,NaN,NaN,NaN,NaN
2192.42952426,77.2046015625,NaN,NaN,NaN,NaN,NaN
2210.5087551,77.1965390625,NaN,NaN,NaN,NaN,NaN
2228,NaN,NaN,25.011,25,30.141,30
2246.6672828,77.190890625,NaN,NaN,NaN,NaN,NaN
2263.64248188,NaN,116.3972421875,NaN,NaN,NaN,NaN
2280.24301304,77.1919140625,NaN,NaN,NaN,NaN,NaN
2299,NaN,NaN,25.009,25,30.016,30
2315.29744254,NaN,116.3716953125,NaN,NaN,NaN,NaN
2333.37669728,NaN,116.345296875,NaN,NaN,NaN,NaN
2350,NaN,NaN,25.013,25,30.128,30
2369.5351765,NaN,116.34475,NaN,NaN,NaN,NaN
2385.03165316,NaN,116.3102578125,NaN,NaN,NaN,NaN
2403.11085308,NaN,116.3014765625,NaN,NaN,NaN,NaN
2421.19005884,NaN,116.2883359375,NaN,NaN,NaN,NaN
2437.79074198,77.17240625,NaN,NaN,NaN,NaN,NaN
2455.87001114,77.1764921875,NaN,NaN,NaN,NaN,NaN
2473,NaN,NaN,25.001,25,30.192,30
2492.02844832,77.1715390625,NaN,NaN,NaN,NaN,NaN
2509.0033553,NaN,116.2210859375,NaN,NaN,NaN,NaN
2527.08258566,NaN,116.246125,NaN,NaN,NaN,NaN
2545.1617805,NaN,116.2372890625,NaN,NaN,NaN,NaN
2561.76269684,77.16815625,NaN,NaN,NaN,NaN,NaN
