T_amb_C,T_MCU_C
25.000,27.600
25.000,28.850
25.000,29.600
25.000,29.350
25.000,28.600
24.999,28.850
24.998,28.600
24.998,28.350
24.998,28.850
24.997,30.100
24.997,28.350
24.996,28.850
24.996,27.600
24.997,29.850
24.997,28.100
24.997,28.600
24.998,28.350
24.998,29.600
24.999,30.100
24.999,28.850
24.999,28.350
24.998,27.600
24.998,28.600
24.998,29.100
24.998,28.350
24.997,28.600
24.998,28.850
24.999,28.350
25.000,29.850
25.000,28.850
25.001,28.350
25.004,28.850
25.012,28.100
25.014,28.600
25.016,29.850
25.018,28.350
25.021,28.850
25.022,28.350
25.024,29.600
25.025,28.350
25.029,28.600
25.029,28.350
25.027,27.600
25.024,28.600
25.021,28.850
25.013,27.600
25.014,28.600
25.015,28.350
25.015,28.600
25.014,27.850
25.014,28.600
25.014,28.350
25.013,29.850
25.013,28.850
25.013,27.600
25.013,28.850
25.013,28.600
25.012,27.100
25.012,28.350
25.008,27.350
25.008,29.350
25.008,28.600
25.008,28.350
25.008,28.600
25.008,29.100
25.008,27.600
25.007,28.850
25.007,28.350
25.007,27.600
25.007,29.850
25.007,28.350
25.007,27.600
25.007,28.350
25.004,28.850
25.002,28.350
25.000,28.600
25.001,27.600
25.001,28.350
25.002,27.850
25.003,28.350
25.003,27.100
25.003,28.600
25.003,28.350
25.003,28.850
25.002,27.600
25.002,28.350
25.002,28.850
25.012,27.600
25.034,28.850
25.078,27.600
25.164,29.100
25.213,27.600
25.291,28.350
25.460,28.600
25.578,28.850
26.053,27.850
26.192,29.600
26.340,27.600
26.489,28.350
26.614,27.600
26.737,28.350
26.860,28.850
26.983,29.600
27.229,28.850
27.351,29.100
27.474,29.850
27.578,29.350
27.658,29.600
27.818,30.100
27.897,29.850
27.977,30.850
28.044,29.600
28.100,30.100
28.150,29.600
28.203,31.350
28.256,30.600
28.363,29.600
28.421,29.350
28.480,31.350
28.538,30.850
28.654,31.100
28.712,31.600
28.771,30.850
28.829,31.100
28.887,32.100
28.945,30.850
29.062,32.100
29.120,30.350
29.178,31.600
29.236,31.100
29.294,32.100
29.353,30.600
29.411,31.350
29.473,32.100
29.598,31.850
29.667,30.850
29.736,32.100
29.805,30.850
29.874,31.100
29.943,31.850
30.086,32.100
30.158,30.850
30.229,32.100
30.301,31.850
30.373,32.350
30.446,32.100
30.519,32.350
30.666,33.100
30.813,32.100
30.886,31.850
30.959,32.100
31.033,33.350
31.103,32.350
31.168,32.600
31.232,33.100
31.361,33.350
31.490,33.100
31.554,31.850
31.618,34.350
31.682,33.350
31.746,33.850
31.810,33.350
31.874,34.600
31.938,33.350
32.068,33.600
32.145,33.100
32.222,34.600
32.300,32.850
32.377,34.100
32.599,32.850
32.670,35.100
32.746,34.100
33.061,34.600
33.136,33.850
33.196,34.600
33.255,35.350
33.317,34.600
33.386,35.850
33.454,34.600
33.592,35.350
33.660,35.850
33.729,34.600
33.797,35.600
33.866,34.100
33.935,36.100
34.004,34.100
34.073,36.600
34.142,34.100
34.211,36.850
34.279,35.350
34.349,34.600
34.421,35.350
34.492,36.850
34.562,36.600
34.626,35.100
34.691,35.850
34.756,36.100
34.823,34.600
34.900,36.350
35.055,36.600
35.133,37.350
35.210,36.350
35.281,36.600
35.417,35.850
35.486,36.600
35.555,36.350
35.624,36.600
35.693,36.350
35.762,37.850
35.830,37.350
35.968,36.350
36.106,37.600
36.175,36.600
36.246,37.350
36.390,39.100
36.462,37.850
36.534,38.600
36.606,37.350
36.678,38.600
36.750,37.850
36.823,37.600
36.967,37.350
37.039,37.100
37.111,38.600
37.184,37.600
37.256,37.850
37.328,38.600
37.544,38.850
37.617,39.100
37.689,38.850
37.761,38.600
