Time_s,Sawtooth_center_Value
40.24147962,-92.13346242905
40.32411662,-91.37858450413
40.40675778,-90.60522913933
40.4893858,-89.88849818707
40.57200786,-89.67063575983
40.65464136,-88.60460668802
40.73726072,-86.66504919529
40.8198786,-84.41883325577
40.9025102,-83.78457278013
40.98513456,-82.05769211054
41.06775676,-80.17934858799
41.1503969,-80.55813610554
41.23302886,-75.94486325979
41.3156599,-72.15541601181
41.3982904,-69.49614733458
41.4809312,-64.95715677738
41.56356584,-59.9514618516
41.646187,-55.33360317349
41.72880254,-56.53031170368
41.81143912,-55.1219470799
41.89406404,-50.40124431252
41.97669318,-48.02983254194
42.05933896,-47.58351296186
42.14198594,-44.09154877067
42.22460234,-42.26422309875
42.30723176,-39.11976143718
42.38984774,-38.52140530944
42.47249534,-34.37949717045
42.5551175,-33.2117266953
42.63776796,-28.84180098772
42.72041596,-28.07279117405
42.80305582,-24.89034458995
42.88567322,-21.51110954583
42.9683116,-20.32419107854
43.0509414,-17.16777123511
43.13355672,-13.02021369338
43.21618974,-11.09446585178
43.29883812,-8.29342007637
43.38147362,-4.285885952413
43.46409662,-0.6310753524303
43.54672704,6.62657758221
43.62935076,7.282128091902
43.71197622,9.528268128633
43.7945883,13.30659911036
43.87723658,16.49743318558
43.95988552,18.68485659361
44.04251068,23.5546939075
44.12515688,26.60689875484
44.20778468,29.90771457553
44.29043278,27.99702435732
44.3730589,31.73217177391
44.455717,35.75889393687
44.5383333,38.92646357417
44.62096764,41.14163294435
44.70361534,43.23807731271
44.78624354,47.66459390521
44.86885594,50.98062381148
44.95147852,53.00899222493
45.03412218,55.48103153706
45.11674086,57.57691338658
45.19937088,63.34551423788
45.28199596,70.3935995698
45.36462942,72.5366845727
45.44726302,76.2040168047
45.52988202,77.08984613419
45.61252368,83.14426988363
45.69514392,87.64849603176
45.7777777,89.98792618513
45.86040998,93.29790621996
45.94306044,97.50922769308
46.02569654,99.9825373292
46.10832938,102.6373878121
46.19098034,104.9659997225
46.27361682,107.8832447529
46.35626436,112.3440265656
46.43890912,114.9659901857
46.52154898,118.0977597833
46.60418902,120.4085126519
46.68680232,120.7293197513
46.76943378,122.4143505096
46.8520735,122.7951794863
46.93471658,123.9545941353
47.01734624,124.3143156171
47.09997724,124.1580843925
47.18258818,124.8850151896
47.26522608,125.4217624664
47.34786568,125.1939982176
47.43051564,124.8888447881
47.51315608,125.1044869423
47.59577118,124.1775751114
47.67840378,124.2752745748
47.76103516,123.4472692013
47.84366848,122.8371933103
47.9262957,121.7259392142
48.00891512,120.7595840096
48.09153268,119.5195689797
48.17415128,118.5179948807
48.25676646,117.4269393086
48.33941694,116.79392308
48.42205042,115.1873245835
48.5046739,114.8444339633
48.58730802,114.1934916377
48.66994688,112.7786114812
48.75256862,111.0841706395
48.83518756,109.8161414266
48.91784598,106.4986437559
49.00046702,105.0358638167
49.08308158,104.1626855731
49.16572782,101.0600700974
49.24834656,99.53347593546
49.33099866,98.15166145563
49.41363084,96.43866121769
49.49628304,95.70629894733
49.57892108,94.8980897665
49.66154796,93.50027889013
49.74417006,91.56595170498
49.82679712,87.81754225492
49.90942806,84.75245535374
49.99205364,81.83275163174
50.07469676,80.12613654137
50.15731602,78.42107862234
50.23994022,74.91096109152
50.32256868,73.09710234404
50.40521324,71.60092890263
50.48784656,69.90590691566
50.57046914,66.87203794718
50.65311878,64.8443326354
50.73575392,61.58164143562
50.81837654,59.88420546055
50.9010075,57.21372365952
50.98363862,53.35178971291
51.06627536,48.80227893591
51.14890102,45.3909188509
51.23152826,43.68922486901
51.31414836,40.21095484495
51.39676988,37.53761574626
51.47941686,34.03921425343
51.56205432,32.96646848321
51.64468792,29.34968844056
51.72733324,24.95875395834
51.80995714,23.31092953682
51.89260458,22.25696109235
51.97523544,17.67728850245
52.0578601,13.73796071857
52.14049038,11.32554654032
52.22312472,7.061964832246
52.30574494,4.365470260382
52.38835922,3.643124131486
52.47099898,2.474801149219
52.5536384,0.200105656404
52.63625452,-1.665403135121
52.718884,-2.869355725124
52.8015281,-4.874218255281
52.88414672,-7.160518784076
52.9667715,-8.929425850511
53.04939152,-11.05381920934
53.13201974,-17.16373674572
53.21467566,-17.6976043731
53.29729646,-20.48401720822
53.37992414,-20.55771835148
53.4625708,-23.75018596649
53.54518662,-29.14025820792
53.62781202,-36.87575086951
53.71045016,-41.32109880447
53.79307,-50.78611150384
53.87571928,-52.78406664729
53.95833386,-54.99285832047
54.04095284,-56.1225451529
54.12357612,-57.52813443542
54.20620248,-59.34989824891
54.28881436,-61.77704036236
54.37144314,-63.97420167923
54.4540743,-65.15545397997
54.53669406,-65.57808071375
54.61930298,-65.92828780413
54.7019272,-66.63684546947
54.78455128,-70.74777036905
54.86716556,-72.35915213823
54.9498204,-75.91309398413
55.0324662,-74.8532563448
55.11509552,-78.42470705509
55.19773344,-80.35396039486
55.28035298,-81.20232075453
55.36299896,-83.08430761099
55.44563324,-86.180947721
55.52825956,-85.85136383772
55.61091286,-86.08647435904
55.69353496,-86.50072664022
55.77616036,-86.32440119982
55.85880102,-86.22033149004
55.94145544,-86.50203049183
56.02408136,-85.708104074
56.10670678,-83.62023532391
56.18932094,-82.7915892005
56.27196616,-82.2821110487
56.35460622,-81.74779266119
56.43723952,-79.95736598969
56.51990016,-79.30650562048
56.60251564,-80.11923730373
56.68512936,-78.87764275074
56.76775876,-78.75555753708
56.85040226,-77.79423892498
56.9330296,-77.35470682383
57.01566006,-76.94555073977
57.09828566,-77.21121609211
57.18091854,-74.25748556852
57.26354026,-73.19378107786
57.34616864,-73.61756265163
57.42879812,-72.77680188417
57.51143686,-71.76343351603
57.59405264,-71.38618826866
57.67669508,-70.48404216766
57.75931066,-70.82307338715
57.84195304,-69.90768760443
57.92456788,-68.11818480492
58.00720858,-68.50911676884
58.08984886,-68.66954267025
58.17246128,-65.02175331116
58.25510788,-65.59573858976
58.33773508,-65.30077010393
58.4203612,-63.64309042692
58.50298402,-64.34995681047
58.58562216,-62.37109750509
58.66825738,-60.53538620472
58.75088864,-57.19600990415
58.833521,-54.57737669349
58.91617974,-53.28035354614
58.99879752,-50.26167631149
59.08142622,-50.50880089402
59.16406422,-45.46752199531
59.24669946,-40.24808853865
59.32931564,-37.87356242537
59.41198286,-39.33397307992
59.49460076,-37.99908980727
59.5772137,-33.86316075921
59.65986268,-32.25765377283
59.74247804,-33.73983502388
59.82512246,-32.63859450817
59.90776738,-30.86428157985
59.99040526,-29.94764223695
60.07303304,-26.07759833336
60.15566338,-25.77335201204
60.23827968,-24.1076387465
60.32091602,-23.68685603142
60.4035653,-19.69934999943
60.48617974,-18.47732067108
60.56883624,-19.20269057155
60.6514692,-14.75042104721
60.73410116,-13.55373114347
60.81672446,-9.907097555697
60.89935952,-7.423305884004
60.98199214,-4.706897772849
61.06461368,-3.537721000612
61.1472553,2.927230205387
61.22987978,5.126961506903
61.31250502,11.30527909845
61.39513516,13.50627932698
61.47777022,15.92676527798
61.56041042,17.72426627576
61.64304248,21.48797921836
61.72566338,23.55505153537
61.80831404,26.38017199934
61.89093126,30.36625124514
61.97356782,30.54576739669
62.0562125,35.90822219849
62.13882668,38.71678188443
62.22147474,40.49309715629
62.30410478,43.71352866292
62.38672418,47.41127416492
62.46934606,49.97762665153
62.55196298,53.68915945292
62.6345933,57.20704048872
62.71721632,59.11349505186
62.79983416,62.88952380419
62.8824676,71.20757550001
62.96510042,73.19840043783
63.04771072,76.77893340588
63.13033268,76.89199596643
63.21297476,78.66764813662
63.29560564,78.49781215191
63.37826164,79.19894903898
63.46089628,79.52205091715
63.5435297,78.46606522799
63.62614704,77.18734443188
63.7087983,76.37257128954
63.79142124,75.49168914557
63.87404704,74.93544369936
63.95666542,74.58994537592
64.0392956,72.82053679228
64.12192042,71.8684643507
64.20455484,70.37805765867
64.28718832,67.50857830048
64.36982166,66.61476939917
64.45246284,66.04111194611
64.53510646,64.96052443981
64.61772792,63.48185241222
64.70034046,62.20886856318
64.7829903,60.93000248075
64.86560884,60.08467450738
64.94824868,58.50407108665
65.0308621,55.84169179201
65.11350362,54.57340925932
65.19612262,52.21591517329
65.2787486,49.92916062474
65.3614047,48.09159040451
65.4440268,46.55581340194
65.5266492,45.99950090051
65.60927772,42.7417755127
65.69192942,40.13980180025
65.77456922,39.30601105094
65.85718884,36.65005043149
65.93983088,35.3702493012
66.02245702,32.98915177584
66.10510072,29.86533753574
66.18771372,27.10045687854
66.27036062,24.51576292515
66.3530065,22.28057198226
66.43563696,20.09638026357
66.5182879,18.75152811408
66.60091714,17.38606765866
66.68354522,15.41099790484
66.76616488,13.39216530323
66.84879096,11.91293355078
66.93141626,10.39236411452
67.01404832,10.86736377329
67.09668624,10.20673848689
67.1793197,9.402527473867
67.2619443,7.961401715875
67.34458562,5.095063708723
67.42720242,3.023496596143
67.50983406,1.965027069673
67.59246556,1.03356980253
67.67508244,1.105078612454
67.7577136,1.080321031623
67.8403474,1.829954562709
67.9229826,0.4000081389677
68.00561922,-1.171846291982
68.08823596,-2.563502872363
68.17088606,-3.422103589401
68.25351272,-6.063200067729
68.33615584,-8.015663363039
68.41879062,-10.77709905803
68.50142612,-11.9743719697
68.58403974,-12.71701231599
68.66668916,-16.24755933881
68.74930798,-20.83559706807
68.83193658,-22.32272364199
68.91459954,-27.3359157145
68.9972269,-29.86519411206
69.07984516,-36.51311993599
69.16247926,-44.78948190808
69.2451207,-51.4614880085
69.3277359,-51.69339850545
69.41037784,-53.59876528382
69.49300748,-54.07379940152
69.57563202,-53.6737293005
69.658265,-53.78783866763
69.74089054,-54.18722331524
69.82352442,-53.44526469707
69.906158,-53.23084816337
69.98878852,-52.01698839664
70.071423,-51.453422755
70.15403814,-50.01364648342
70.23665512,-48.9254295826
70.31928278,-47.8178486228
70.40192914,-46.52385041118
70.4845647,-45.16213387251
70.5671835,-44.09070312977
70.6498119,-43.18360239267
70.7324529,-42.20792278647
70.8150807,-41.07558354735
70.89769592,-40.22424295545
70.98033552,-38.17906975746
71.06297186,-36.77325323224
71.14560282,-35.84463149309
71.22823464,-35.45057028532
71.31087246,-34.12616997957
71.39348594,-32.6769426465
71.47612498,-31.33007884026
71.55875826,-28.81059795618
71.64140184,-28.68126519024
71.72402374,-28.2120089978
71.80665482,-26.49905532598
71.88929964,-25.88331885636
71.97191898,-23.72507750988
72.05455384,-21.65090851486
72.13719158,-20.80727741122
72.21981624,-19.51188966632
72.30243084,-16.99447259307
72.38506598,-15.36950841546
72.46770392,-13.5032935068
72.55033006,-12.68545724452
72.63295418,-12.8184594214
72.71557632,-13.29324766994
72.79820926,-12.50673644245
72.8808356,-9.525583125651
72.96346978,-6.729489658028
73.04609626,-5.814576987177
73.1287288,-3.716440172866
73.2113603,-1.867962069809
73.29400464,-0.1249659981113
73.37662668,2.68460647203
73.45926106,5.020332057029
73.54189494,7.518879137933
73.62452486,10.70430502295
73.70715422,9.452958591282
73.7897771,12.1866427362
73.87239804,14.30496852845
73.95502172,14.94866143912
74.03763602,20.15084773302
74.12025988,24.49572831392
74.20288,26.71548910439
74.28552308,27.68322825432
74.36815066,29.02197651565
74.45079772,29.48810346425
74.53344866,30.06465919316
74.61609444,30.42393922806
74.69872572,29.27253954113
74.78136354,28.24319526553
74.86398338,26.60056762397
74.94661188,26.47021971643
