Time_s,Voltage_mV,CmdDisp_um,CmdStrain_pct
0,189.7237896919,0,0
0.08263436,189.5740479231,0,0
0.16526952,189.7718310356,0,0
0.2479133,189.7097229958,0,0
0.33054052,189.7347569466,0,0
0.4131552,189.7134184837,0,0
0.49581008,189.8065805435,0,0
0.57845346,189.7316873074,0,0
0.66108828,189.799323678,0,0
0.74370688,189.6770298481,0,0
0.82633002,189.6711885929,0,0
0.90897208,189.536511898,0,0
0.99162468,189.6936446428,0,0
1.07426816,189.6737962961,-0.145055,-0.000483516666666666
1.15688756,189.6538585424,-0.306421015625,-0.00102140338541667
1.23951764,189.6803230047,-0.467807890625,-0.00155935963541667
1.32213482,189.8269951344,-0.6291695703125,-0.00209723190104167
1.40476022,189.7849589586,-0.7905473046875,-0.00263515768229167
1.4873906,189.5404607058,-0.951934765625,-0.00317311588541667
1.57004112,189.4358098507,-1.1133615625,-0.00371120520833333
1.65266404,189.6437704563,-1.274734453125,-0.00424911484375
1.73530122,189.0597939491,-1.4361351953125,-0.00478711731770833
1.81794118,188.7796521187,-1.5975413671875,-0.005325137890625
1.90055838,188.3775293827,-1.7589030859375,-0.00586301028645833
1.98317568,188.1715655327,-1.920265,-0.00640088333333333
2.0658227,188.03191185,-2.0816849609375,-0.00693894986979167
2.14848144,187.5305324793,-2.2431278125,-0.00747709270833333
2.23109326,187.0543062687,-2.4044790234375,-0.008014930078125
2.31371882,186.5732818842,-2.5658570703125,-0.00855285690104167
2.3963599,185.9335005283,-2.7272654296875,-0.009090884765625
2.47899214,185.4749172926,-2.8886565234375,-0.009628855078125
2.56162098,184.7335845232,-3.0500409765625,-0.0101668032552083
2.6442645,183.7751865387,-3.2114541015625,-0.0107048470052083
2.726885,183.3649724722,-3.372822265625,-0.0112427408854167
2.80953266,182.5586259365,-3.5342434765625,-0.0117808115885417
2.89218246,181.7855238914,-3.6956688671875,-0.0123188962239583
2.97483782,181.2564581633,-3.8571051171875,-0.0128570170572917
3.0574689,180.1945865154,-4.0184939453125,-0.0133949798177083
3.14010398,179.3717741966,-4.1798905859375,-0.0139329686197917
3.22274946,178.4089207649,-4.3413075390625,-0.0144710251302083
3.3053987,177.1623343229,-4.5027318359375,-0.0150091061197917
3.38804412,176.7198741436,-4.664148671875,-0.0155471622395833
3.4706623,175.3263622522,-4.8255123046875,-0.016085041015625
3.55329992,174.492970109,-4.98691390625,-0.0166230463541667
3.63593188,172.9826629162,-5.148304453125,-0.01716101484375
3.7185687,171.856418252,-5.3097044921875,-0.0176990149739583
3.8012005,170.7394421101,-5.4710947265625,-0.018236982421875
3.88383418,169.3980395794,-5.6324886328125,-0.018774962109375
3.96646436,167.9268181324,-5.793875703125,-0.0193129190104167
4.04909166,166.4516180754,-5.9552571484375,-0.0198508571614583
4.131721,164.5187139511,-6.116642578125,-0.02038880859375
4.21435022,162.2816622257,-6.2780277734375,-0.0209267592447917
4.2969998,161.3904982805,-6.439452734375,-0.0214648424479167
4.37961722,160.16484797,-6.6008148828125,-0.0220027162760417
4.46223678,157.7556431293,-6.7621812109375,-0.0225406040364583
4.54486936,155.6402891874,-6.92357296875,-0.0230785765625
4.62749916,153.8017988205,-7.084959296875,-0.0236165309895833
4.71012324,151.978880167,-7.246334453125,-0.0241544481770833
4.7927425,149.7577428818,-7.4077001953125,-0.024692333984375
4.87538862,147.2399383783,-7.5691183984375,-0.0252303946614583
4.95803244,146.5105116367,-7.730532109375,-0.0257684403645833
5.04065172,144.0711468458,-7.891897890625,-0.0263063263020833
5.12328302,142.2834694386,-8.0532871484375,-0.0268442904947917
5.20590696,139.9346441031,-8.21466203125,-0.0273822067708333
5.2885265,137.6745402813,-8.3760283203125,-0.0279200944010417
5.37116302,135.0365132093,-8.5374277734375,-0.028458092578125
5.4537887,132.3373913765,-8.6988060546875,-0.0289960201822917
5.53642612,129.1268318892,-8.860207265625,-0.02953402421875
5.61905332,126.2228935957,-9.021588515625,-0.03007196171875
5.70167832,124.6684268117,-9.18296546875,-0.0306098848958333
5.78429556,121.9670698047,-9.344327265625,-0.0311477575520833
5.86692018,117.3302978277,-9.5057034765625,-0.0316856782552083
5.94953568,110.8539775014,-9.667061875,-0.0322235395833333
6.03218084,105.7398766279,-9.828478203125,-0.0327615940104167
6.11480966,100.5607172847,-9.9898626171875,-0.0332995420572917
6.19744134,97.47548401356,-10.1512526171875,-0.0338375087239583
6.2800656,93.80601346493,-10.312628125,-0.0343754270833333
6.36271646,86.60562336445,-10.4740555859375,-0.0349135186197917
6.44535632,80.49629628658,-10.6354615625,-0.0354515385416667
6.52798482,72.31023907661,-10.7968453515625,-0.0359894845052083
6.61063956,63.27766925097,-10.958280390625,-0.0365276013020833
6.69326886,58.60993266106,-11.1196657421875,-0.0370655524739583
6.77590272,54.38270047307,-11.28106,-0.0376035333333333
6.85854086,49.23317208886,-11.4424626171875,-0.0381415420572917
6.94117424,46.1883507669,-11.6038559375,-0.0386795197916667
7.02380554,43.4523448348,-11.7652451953125,-0.039217483984375
7.10642968,41.58874228597,-11.92662046875,-0.0397554015625
7.18904756,38.7214794755,-12.087983515625,-0.0402932783854167
7.2716998,36.63494065404,-12.249413671875,-0.04083137890625
7.35436018,32.48271346092,-12.4108597265625,-0.041369532421875
7.43697912,28.36225926876,-12.57222484375,-0.0419074161458333
7.51959558,26.68370865285,-12.7335851171875,-0.0424452837239583
7.60223568,19.27430927753,-12.8949915625,-0.0429833052083333
7.68485354,19.61135305464,-13.0563545703125,-0.0435211819010417
7.76748496,16.47176221013,-13.2177440625,-0.044059146875
7.85010096,13.54059204459,-13.3791034375,-0.0445970114583333
7.93272816,12.2037967667,-13.5404846875,-0.0451349489583333
8.01538654,10.39869152009,-13.7019268359375,-0.045673089453125
8.09802896,6.785824429244,-13.8633378125,-0.0462111260416667
8.18064572,3.700235625729,-14.024698671875,-0.0467489955729167
8.26327164,2.493109088391,-14.186077421875,-0.0472869247395833
8.34590804,0.3182505606674,-14.347476640625,-0.0478249221354167
8.42852606,-1.968032447621,-14.5088399609375,-0.0483627998697917
8.51117404,-7.610542699695,-14.670261796875,-0.04890087265625
8.5937962,-9.376915171742,-14.831633203125,-0.04943877734375
8.6764424,-11.87038142234,-14.9930515625,-0.0499768385416667
8.75907356,-15.98351076245,-15.154440546875,-0.0505148018229167
