Time_s,ja3_Raw,ja3_DeltaPct,ja2_Raw,ja2_DeltaPct,PLA_efter70_1_Raw,PLA_efter70_1_DeltaPct
1.9830805,NaN,NaN,NaN,NaN,37.12340234375,0.0336196476841916
2.06543668,37.17156640625,0.0681743758148502,NaN,NaN,NaN,NaN
2.0655443,NaN,NaN,37.3454296875,0.207428432474141,NaN,NaN
2.06571056,NaN,NaN,NaN,NaN,37.11765625,0.018136084207849
2.14805516,37.17915234375,0.0885961925404979,NaN,NaN,NaN,NaN
2.14819244,NaN,NaN,37.3348671875,0.179086518304864,NaN,NaN
2.14833468,NaN,NaN,NaN,NaN,37.142671875,0.0855437935909266
2.23066586,37.102703125,-0.117209870867244,NaN,NaN,NaN,NaN
2.23079842,NaN,NaN,37.25298046875,-0.0406366868469892,NaN,NaN
2.23095936,NaN,NaN,NaN,NaN,37.07284375,-0.102616764331023
2.31327426,37.1785703125,0.0870293281264344,NaN,NaN,NaN,NaN
2.31341736,NaN,NaN,37.32313671875,0.147610642472628,NaN,NaN
2.31357848,NaN,NaN,NaN,NaN,37.0775859375,-0.089838350965772
2.39588852,37.06294140625,-0.224250896845857,NaN,NaN,NaN,NaN
2.39602586,NaN,NaN,37.22166015625,-0.12467717050427,NaN,NaN
2.3962187,NaN,NaN,NaN,NaN,37.1599375,0.1320681651514
2.4785308,37.13839453125,-0.0211263799185611,NaN,NaN,NaN,NaN
2.47864772,NaN,NaN,37.2335859375,-0.0926772208153618,NaN,NaN
2.47885454,NaN,NaN,NaN,NaN,37.0494609375,-0.165624657580105
2.56117556,37.10947265625,-0.0989858706687027,NaN,NaN,NaN,NaN
2.56125892,NaN,NaN,37.3033359375,0.0944800348823667,NaN,NaN
2.56147366,NaN,NaN,NaN,NaN,37.12396484375,0.0351353738164809
2.64379002,37.06689453125,-0.213608837872439,NaN,NaN,NaN,NaN
2.643909,NaN,NaN,37.24360546875,-0.0657922319676672,NaN,NaN
2.64409454,NaN,NaN,NaN,NaN,37.10816796875,-0.00743126839857462
2.72640294,37.19005859375,0.11795649753435,NaN,NaN,NaN,NaN
2.72652608,NaN,NaN,37.32349609375,0.148574938368926,NaN,NaN
2.72673834,NaN,NaN,NaN,NaN,37.1149140625,0.0107469193129384
2.80901022,37.07891015625,-0.181262026210182,NaN,NaN,NaN,NaN
2.8091545,NaN,NaN,37.21834765625,-0.133565463113571,NaN,NaN
2.8093743,NaN,NaN,NaN,NaN,37.05636328125,-0.147025434831837
2.89161934,37.1862265625,0.107640430486016,NaN,NaN,NaN,NaN
2.8917857,NaN,NaN,37.2481875,-0.0534974592899361,NaN,NaN
2.89199248,NaN,NaN,NaN,NaN,37.135890625,0.0672708729961455
2.974235,37.10669140625,-0.106473169076869,NaN,NaN,NaN,NaN
2.97441298,NaN,NaN,37.32716015625,0.158406563920253,NaN,NaN
2.97463276,NaN,NaN,NaN,NaN,37.061328125,-0.133647046539214
3.0568631,37.12241015625,-0.064157314028448,NaN,NaN,NaN,NaN
3.05703756,NaN,NaN,37.3063828125,0.10265558704657,NaN,NaN
3.05727466,NaN,NaN,NaN,NaN,37.14647265625,0.0957854708597814
3.13948642,38.183453125,2.79223651282021,NaN,NaN,NaN,NaN
3.13967054,NaN,NaN,38.464078125,3.20905096513442,NaN,NaN
3.13993536,NaN,NaN,NaN,NaN,39.055265625,5.23926526438841
3.2220915,43.53108203125,17.1883869477881,NaN,NaN,NaN,NaN
3.22226694,NaN,NaN,43.85909375,17.6852705898137,NaN,NaN
3.22256292,NaN,NaN,NaN,NaN,43.6426796875,17.6006223739913
3.3046874,47.3915,27.5808728128834,NaN,NaN,NaN,NaN
3.30491918,NaN,NaN,47.89794921875,28.5225624276778,NaN,NaN
3.30520068,NaN,NaN,NaN,NaN,47.03148046875,26.7321670873333
3.38731862,50.1882265625,35.1098350922526,NaN,NaN,NaN,NaN
3.38756894,NaN,NaN,50.8493125,36.4418319944993,NaN,NaN
3.38782392,NaN,NaN,NaN,NaN,50.28091796875,35.4881801255253
3.46991762,50.32498046875,35.4779851343476,NaN,NaN,NaN,NaN
3.47017376,NaN,NaN,50.65969921875,35.9330506129568,NaN,NaN
3.47047934,NaN,NaN,NaN,NaN,50.2533828125,35.4139832261746
3.55253764,50.20945703125,35.1669888378262,NaN,NaN,NaN,NaN
3.5527858,NaN,NaN,50.6818515625,35.9924910697815,NaN,NaN
3.55312082,NaN,NaN,NaN,NaN,50.0632421875,34.901625689958
