Time_s,DeltaT_C
20709.350,5.8793
20722.002,5.4506
20734.658,5.7723
20747.315,5.0947
20759.970,6.1671
20772.621,5.7394
20810.583,6.2064
20823.236,6.0287
20835.891,5.1007
20848.544,6.6672
20861.199,5.2337
20873.853,5.8002
20886.511,5.6167
20899.160,5.1831
20937.125,5.8826
20962.444,5.7715
20975.100,4.5915
20987.756,6.4115
21000.410,5.9814
21013.063,6.3014
21025.732,4.1214
21038.386,5.9414
21051.039,5.5110
21063.687,5.8298
21076.341,5.3987
21088.990,6.4675
21114.313,5.3554
21126.956,5.6742
21152.202,5.5616
21164.822,5.3803
21190.062,5.2768
21202.684,6.3457
21215.308,5.6646
21253.178,6.1200
21265.805,5.9377
21278.428,5.5054
21291.053,6.3231
21303.676,5.6408
21316.298,5.4584
21328.924,5.2761
21341.550,5.8438
21354.177,6.4115
21366.800,5.4792
21379.422,5.7969
21392.045,5.3662
21404.673,6.9357
21417.297,5.2551
21429.920,6.3246
21455.163,5.2134
21467.784,5.7828
21480.408,5.3524
21493.031,6.4220
21505.652,5.4916
21530.903,6.6308
21543.527,6.2004
21568.776,5.8396
21581.401,6.9092
21594.024,5.9788
21606.648,5.7984
21631.897,4.9376
21644.524,5.5072
21657.145,5.8268
21669.770,6.1464
21682.392,5.2160
21695.018,4.5357
21707.638,6.6066
21745.506,5.5691
21758.134,6.1400
21770.759,6.9609
21783.385,5.2817
21796.010,6.1026
21808.632,5.9235
21833.890,6.5652
21859.143,6.2070
21871.769,6.7779
21884.400,5.3488
21897.024,6.1696
21909.656,6.4916
21922.283,7.3163
21934.908,6.3909
21947.532,5.9656
21960.161,6.7903
21972.787,5.6149
22023.304,6.1553
22035.932,4.7277
22048.559,6.5502
22061.187,5.1227
22073.812,5.4452
22086.441,6.2677
22099.068,5.3398
22111.697,6.4080
22136.956,5.0449
22149.587,5.8648
22162.221,6.9347
22174.851,6.0047
22187.480,5.8246
22200.113,5.3945
22212.741,6.9634
22225.374,5.7818
22250.630,6.4187
22288.512,5.3739
22301.144,6.4438
22313.777,5.2629
22326.405,6.3295
22339.033,5.6461
22351.665,3.7128
22364.293,6.5311
22376.923,5.6041
22389.558,5.4272
22402.193,6.7469
22414.823,5.8131
22427.458,5.6292
22440.091,5.4497
22452.722,7.5226
22465.351,6.3455
22490.613,5.2368
22515.874,6.6282
22528.510,5.9490
22541.141,5.0198
22553.773,6.5906
22579.040,5.7322
22591.672,6.3028
22604.306,5.8726
22616.940,5.6925
22629.578,5.5123
22642.214,5.8322
22654.847,5.4020
22667.479,4.9716
22680.115,5.2910
22692.748,6.3604
22705.380,5.9298
22718.014,5.2492
22730.646,7.0687
22743.281,5.3921
22755.914,6.7154
22768.552,5.2887
22781.185,5.8620
22806.454,7.0050
22819.084,5.8206
22844.357,5.7116
22856.990,6.2820
22869.624,4.8525
22882.258,6.9230
22894.888,6.7414
22907.519,6.5580
22920.156,5.3747
22932.790,6.4445
22945.422,6.7656
22958.055,7.5867
22970.692,5.9078
22995.963,5.5499
23008.599,4.8703
23021.234,6.1907
23046.505,5.8314
23059.143,6.4018
23071.780,4.7222
23084.417,6.5413
23097.052,6.1080
23109.691,5.4247
23122.326,6.4947
23134.964,5.5680
23147.602,6.3913
23160.241,5.4618
23172.876,5.7812
23185.514,5.3506
23198.154,7.4201
23210.787,5.9895
23223.425,7.3089
23236.059,6.1283
23248.696,5.6982
23261.334,6.0182
23273.972,5.3382
23286.610,6.4082
23324.516,5.3681
23337.153,6.6881
23349.789,5.2578
23362.429,5.8272
23375.065,6.3966
23387.703,5.9661
23400.344,5.5355
23412.981,5.3549
23425.620,5.9237
23450.895,6.3109
23463.534,6.6296
23488.811,5.0168
23501.448,6.0855
23526.728,5.4752
23539.368,5.2952
23552.009,6.6155
23564.647,5.4358
23577.284,6.7561
23602.558,6.3967
23615.198,6.2183
23627.837,5.0409
23640.476,6.3635
23653.115,7.1792
23665.757,6.2471
23678.398,7.3184
23691.038,6.8897
23703.675,6.7110
23716.315,8.0323
23728.954,6.8536
23741.595,6.1750
23754.235,5.2463
23766.874,6.8175
23779.515,7.1387
23792.155,6.7098
23804.798,7.5310
23817.441,5.6022
23842.719,6.2439
23855.361,5.8143
23880.641,6.4549
23893.281,5.2752
23905.920,4.5956
23918.560,6.9149
23931.202,6.2343
23943.841,5.0537
23956.481,6.3731
23969.116,5.6924
23981.761,5.5118
23994.404,5.8315
24019.678,6.9739
24032.318,5.5451
24044.957,6.1163
24057.598,6.6876
24070.237,6.2593
24082.880,6.5813
24095.517,6.1533
24108.158,5.4754
24133.443,6.6194
24146.082,6.9378
24158.720,7.2562
24171.358,6.0747
24184.005,6.3931
24196.649,6.2116
24209.292,5.5300
24221.931,6.5988
24234.567,5.9197
24247.208,7.2405
24272.496,5.1323
24285.136,5.9531
24297.776,6.2731
24310.421,5.5924
24335.705,6.2310
24348.344,6.8003
24360.984,5.3696
24373.631,6.6889
24398.913,6.0774
24411.560,5.6468
24424.202,6.2160
24449.490,7.1047
24462.140,4.6742
24474.786,7.4936
24487.428,6.0631
24500.070,6.6325
24512.718,5.4520
24525.366,6.7731
24550.659,6.4176
24563.305,6.7376
24575.954,5.5570
24588.601,7.1265
24601.248,5.9459
24626.544,7.3373
24639.191,5.4082
24664.487,5.0500
24677.130,6.3709
24702.420,7.5126
24715.067,7.8335
24727.712,5.4043
24740.360,6.7252
24765.651,5.3670
24790.938,6.2582
24803.584,5.3284
24816.230,5.8986
24828.870,6.2188
24841.520,7.2890
24854.170,5.8592
24866.818,6.1794
24904.766,6.8937
24917.415,6.7151
24930.064,5.5365
24942.710,5.8577
24955.362,5.4282
24968.006,6.7486
24980.650,5.5700
25005.944,4.9645
25031.232,5.8576
25043.879,7.1791
25056.527,6.0005
25081.822,4.6434
25094.470,5.2149
25107.115,5.5363
25132.408,6.1792
25145.058,5.7507
25157.708,6.5722
25170.356,6.1433
25183.004,5.9637
25220.949,5.6740
25233.603,6.2438
25258.902,7.3879
25271.554,6.4600
25309.505,5.1631
25322.156,6.7308
25347.457,5.3674
25360.108,6.9379
25372.758,5.7583
25385.407,7.0788
25398.055,5.6492
25423.362,6.5402
25436.013,6.3565
25448.669,6.6708
25461.318,4.9918
25473.972,7.0628
25486.623,6.1339
25511.929,5.7760
25524.582,7.0970
25537.232,5.6681
25549.884,7.2391
25562.538,5.8102
25575.186,6.8812
25587.842,5.7023
25600.494,6.0233
25613.146,7.0944
25625.800,5.9154
25638.451,6.2365
25663.757,5.8792
25676.408,5.4513
25689.063,6.5234
25714.362,5.4176
25727.012,6.2396
25739.672,5.3118
25752.317,5.8838
25764.968,6.2065
25790.269,5.1054
25802.923,4.6750
25815.576,6.9892
25828.229,5.5533
25840.881,6.1175
25866.184,5.4958
25878.834,6.3126
25891.486,5.6298
25904.140,5.1971
25916.793,6.5143
25929.448,6.3316
25942.107,5.1491
25954.759,6.2173
25967.418,7.0355
25980.072,5.6035
26018.037,7.3064
26043.371,6.1918
26055.981,5.2592
26068.595,6.0775
26081.205,5.3965
26093.817,4.9654
26106.430,6.7844
26119.041,5.1034
26144.263,6.2413
26156.875,5.8103
26169.485,6.3792
26182.098,5.9482
26207.323,6.8370
26219.939,7.9082
26232.555,4.9793
26245.171,4.8005
26257.783,6.6225
26270.397,5.9457
26283.011,5.5167
26295.618,6.5874
26320.840,5.4787
26333.451,6.5494
26358.676,5.6909
26371.291,6.0136
26396.509,5.9090
26409.123,6.2318
26421.742,6.0545
26434.344,4.6272
26446.958,4.9499
26459.569,5.2726
26472.181,6.3454
26484.789,4.9181
26497.402,6.7408
26510.011,6.5617
26522.621,5.8825
26535.235,5.7032
26547.844,4.2739
26560.456,5.8466
26573.069,5.4198
26610.906,6.3822
26623.522,7.2015
26636.139,5.0187
26648.753,6.5860
26661.366,6.4056
26699.205,5.8769
26711.816,5.6997
26762.266,4.7413
26787.498,5.8836
26812.733,6.5190
26825.343,6.0867
26837.962,6.6544
26850.577,6.2222
26875.814,6.6122
26888.430,5.6822
26901.047,6.5022
26913.666,5.5722
26926.282,5.3921
26938.903,5.7122
26951.522,5.5322
26964.142,6.1022
26989.386,5.9925
27002.001,5.0626
27014.615,6.1327
27027.235,4.7028
27039.849,6.5229
27052.470,6.3430
27065.093,6.1635
27077.715,5.4847
27090.329,7.3059
27102.948,7.1271
27115.567,5.9483
27128.187,5.5195
27140.809,5.0908
27153.429,6.1616
27166.046,6.9816
27178.666,5.3017
27191.283,6.6218
27203.902,6.1918
27216.520,5.2619
27229.142,6.0820
27241.756,5.1520
27254.374,6.7221
27266.992,5.5438
27279.614,5.8654
27292.233,4.4371
27304.853,5.5087
27330.094,6.6520
27342.713,5.9736
27367.949,5.3669
27380.570,5.6886
27393.195,6.0102
27418.431,5.6522
27431.051,5.4713
27443.671,7.0403
27456.292,5.6126
27468.913,5.9365
27481.530,5.0104
27494.143,5.3464
27506.767,5.6840
27532.013,4.8593
27544.641,6.4469
27557.263,6.0346
27569.890,6.6222
27582.516,5.3317
27595.137,6.5401
27607.759,5.2485
27620.383,4.7069
27633.007,5.1652
27645.628,5.6236
27658.250,4.8320
27670.880,5.7904
27683.504,4.9987
27696.128,5.7071
27708.753,4.6655
27721.374,4.8738
27746.624,3.8189
27759.255,4.2965
27771.881,5.7740
27784.506,4.2516
27797.132,4.7291
27809.760,4.9567
27822.389,5.6843
27835.012,4.6618
27847.636,4.1394
27860.256,5.6170
27872.880,5.0945
27885.507,5.3257
27898.132,5.6418
27910.759,5.4581
27923.385,5.7742
27936.009,4.3404
27948.635,4.9066
27961.266,5.7335
27986.523,4.9089
27999.148,7.2528
28011.777,5.3491
28024.409,4.9455
28037.037,5.5516
28049.662,4.4083
28062.289,5.2651
28074.910,5.8738
28087.539,5.2325
28100.174,5.8447
28112.805,6.4671
28125.429,5.0894
28138.051,6.7117
28150.679,6.5840
28163.306,6.2064
28175.931,6.8287
28188.560,6.2010
28201.184,6.0733
28213.810,5.9456
28226.435,5.5680
28239.056,6.1902
28264.312,4.9290
28276.937,6.5440
28289.568,7.1591
28302.195,6.7877
28314.824,5.4169
28340.082,6.1661
28365.334,5.4090
28377.962,6.5305
28390.588,6.9020
28403.215,6.0235
28415.845,5.6417
28428.472,6.0024
28441.103,7.1131
28453.731,6.4738
28466.362,6.0845
28491.619,6.8059
28504.250,5.4167
28516.884,6.5274
28529.514,6.3881
28542.138,5.7488
28567.389,7.2151
28580.016,6.3214
28592.645,6.1761
28617.912,5.1275
28630.542,6.4760
28643.165,5.3218
28655.794,6.6675
28668.436,5.5134
28681.052,6.3591
28693.684,5.9549
28706.309,5.0506
28718.941,5.8964
28731.572,5.4922
28744.195,5.3379
28756.828,6.9337
28769.456,5.5295
28794.707,6.1931
28807.331,6.0133
28832.589,4.9129
28845.217,5.7407
28857.843,6.0684
28908.364,4.8597
28933.627,6.7414
28946.254,5.5573
28958.889,6.6231
28971.515,5.6889
29022.020,5.2022
29034.642,4.7680
29047.269,6.0836
29059.895,4.8984
29072.522,6.2132
29085.148,5.2780
29097.780,6.3428
29110.405,5.1575
29123.035,5.4723
29135.665,5.7871
29148.298,5.3519
29160.927,5.6667
29198.818,5.6111
29211.447,6.1759
29224.081,5.9907
29236.713,6.8055
29249.342,6.1203
29261.970,5.6851
29274.594,5.9998
29287.228,5.3146
29299.857,5.1294
29337.755,5.5738
29350.389,5.3894
29363.025,5.9558
29388.291,5.0888
29400.924,4.9052
29413.555,5.7217
29426.189,5.0381
29438.825,6.1046
29451.459,4.6711
29464.095,6.4876
29476.732,5.3041
29489.367,6.3705
29502.005,5.6870
29514.644,5.4967
29527.282,5.3064
29539.921,6.3682
29552.559,5.9416
29565.193,6.2650
29577.825,6.0883
29590.459,5.9117
29603.086,5.4851
29615.715,6.3084
29628.344,5.6318
29640.974,5.2052
29653.615,5.7786
29666.251,5.6020
29691.537,4.4989
29704.176,6.0711
29716.808,5.6428
29729.441,5.2145
29742.070,5.5361
29754.704,5.8578
29767.336,4.6795
29779.974,5.0012
29792.610,6.0730
29805.244,5.1447
29855.772,5.9314
29868.408,5.0031
29893.677,4.3958
29918.949,5.5349
29931.585,5.8545
29944.219,5.1741
29956.860,5.9937
29969.491,5.8156
30007.391,5.2837
30020.024,6.6064
30032.655,5.1791
30045.283,6.5018
30057.916,5.3245
30070.557,5.8957
30083.197,4.4644
30095.836,5.7830
30108.476,5.6017
30121.117,4.4203
30133.753,5.4889
30146.390,6.0575
30159.020,5.1279
30171.656,4.9497
30209.561,5.9151
30222.195,4.7369
30234.831,5.3087
30247.474,5.1305
30260.117,5.4520
30285.386,5.0872
30298.018,5.4048
30310.657,5.7224
30323.301,6.0400
30335.947,6.3577
30348.585,4.6753
30361.221,5.2429
30373.856,6.0605
30399.123,5.1957
30411.762,5.7633
30424.406,5.5854
30437.043,6.4096
30449.683,6.9838
30462.320,4.5580
30474.957,4.1323
30487.594,5.9563
30512.865,5.8484
30525.505,5.6695
30538.139,5.9906
30550.777,5.8116
30563.417,5.3827
30576.051,4.9537
30588.699,5.5248
30601.334,5.3459
30639.211,6.5562
30651.812,5.8760
30664.425,5.6958
30689.635,6.0759
30702.241,5.6366
30714.851,4.4538
30727.461,5.2711
30740.072,4.8383
30752.679,5.9055
30765.290,7.4727
30777.899,5.0399
30790.509,4.8572
30803.120,6.1744
30815.731,4.9916
30828.341,5.3088
30840.944,4.1263
30853.548,5.1943
30878.753,5.5802
30891.359,6.3982
30903.969,5.7163
30916.578,5.5292
30929.188,6.3397
30941.794,5.9002
30954.401,4.9848
30967.004,5.3220
30979.604,4.9071
31004.812,5.5497
31017.418,5.8672
31030.022,5.6778
31042.625,5.4884
31055.231,5.8054
31067.834,5.6290
31080.433,5.4525
31093.038,6.2761
31105.638,4.8497
31118.236,6.1733
31130.842,4.9969
31143.447,6.3188
31156.048,6.6396
31168.648,5.9603
31193.857,4.8518
31206.460,5.6725
31219.062,6.2410
31231.669,6.8096
31244.276,5.8781
31256.881,6.6966
31269.490,5.5152
31282.098,6.3359
31294.702,5.6599
31307.306,6.2340
31319.910,6.0580
31332.516,7.1320
31345.120,4.9560
31357.726,6.0300
31370.332,6.5489
31382.937,6.0282
31408.144,5.7368
31420.752,4.9661
31445.973,4.4246
31458.583,5.1539
31471.189,4.8831
31483.794,4.1124
31509.017,3.5710
31521.627,4.5502
31534.244,3.2795
31546.852,5.2588
31559.467,5.7380
31572.078,4.4673
31584.695,5.4465
31597.310,4.9258
31609.919,4.1551
31622.535,3.3843
31635.150,4.6452
31660.380,5.2016
31672.995,3.7298
31685.615,5.5080
31698.221,4.2862
31723.440,5.3426
31748.670,4.1490
31761.290,4.4272
31773.904,3.9554
31786.523,4.9853
31799.137,4.0217
31824.356,4.6003
31836.970,5.6533
31849.580,5.2062
31862.187,4.2571
31874.804,5.0566
31887.421,5.3560
31900.031,5.6462
31912.643,4.4327
31925.249,5.7192
31937.857,5.0057
31950.466,5.2922
31963.080,3.5788
31975.689,5.1153
32000.908,4.6832
32013.525,5.2032
32026.140,6.2233
32038.760,3.7433
32051.380,5.2618
32064.000,4.0260
32076.616,4.2903
32089.235,4.8045
32101.853,5.3187
32114.468,5.5829
32127.086,4.3472
32152.315,5.3756
32164.936,5.1398
32177.555,5.4041
32190.173,5.1683
32215.392,4.4373
32228.011,5.4402
32240.627,4.4430
32265.865,5.6987
32278.485,3.9528
32291.110,5.9619
32303.731,5.2210
32316.356,3.7326
32328.979,5.4988
32341.603,5.7651
32354.225,4.0270
32366.845,4.2857
32379.482,4.7944
32392.087,3.3031
32404.711,5.5618
32417.334,5.0705
32455.186,3.8101
32467.806,4.5565
32480.429,4.3028
32493.050,4.0491
32505.668,4.2954
32543.513,3.2844
32556.126,5.2807
32568.739,3.7770
32581.352,4.5233
32593.966,3.5196
32606.577,4.5160
32631.803,3.7587
32644.418,4.2552
32657.032,3.2517
32669.648,4.5006
32682.264,4.0017
32694.882,4.5027
32707.501,4.7545
32720.118,4.0064
32732.743,5.5084
32745.369,4.5103
32757.992,5.0123
32770.608,4.5136
32783.227,2.7603
32795.846,3.2570
32808.463,4.0037
32821.083,4.5003
32833.703,3.2470
32858.949,3.9904
32871.574,4.9871
32884.197,4.4838
32896.818,3.9805
32909.440,4.4772
32947.307,3.9673
32972.549,4.4606
32985.175,4.2073
32997.799,3.2040
33023.048,4.1974
33035.672,3.9441
33048.295,4.4408
33060.921,3.1875
33073.547,3.6842
33086.167,3.1809
33098.788,4.4276
33111.413,3.9243
33124.035,3.1689
33136.661,4.9091
33149.281,3.1493
33161.906,3.8895
33174.533,4.3798
33187.159,3.6200
33212.404,3.3626
33225.031,4.1100
33237.655,3.1073
33250.276,4.1047
33262.900,4.8521
33275.522,3.8495
33288.146,4.0991
33300.770,3.8493
33326.021,4.0996
33338.633,4.3498
33351.256,3.5999
33363.879,4.3501
33376.504,3.8503
33389.121,5.3504
33401.739,3.8506
33426.973,4.1009
33439.588,3.6015
33452.206,3.1027
33464.825,3.8539
33477.444,4.3552
33490.066,3.3564
33502.684,4.3577
33515.306,3.1089
33527.924,3.8602
33540.550,3.6114
33553.171,4.6127
33565.797,4.1139
33578.418,2.8649
33591.049,3.1138
33603.677,4.3627
33616.306,3.1116
33628.930,4.1105
33641.555,3.3594
33654.171,4.1087
33666.792,2.8583
33679.414,3.3579
33692.034,4.3574
33704.653,4.1070
33717.273,3.1066
33742.520,3.8578
33755.151,4.3605
33793.022,4.1186
33805.649,3.6211
33818.277,4.3720
33843.519,3.8738
33856.145,3.1247
33868.776,2.8756
33881.401,3.8762
33894.043,4.3767
33906.672,3.8771
33919.300,4.8775
33931.924,4.3780
33944.547,3.8784
33957.168,3.3788
33969.792,4.3792
33995.038,3.3798
34007.660,3.1300
34020.284,4.6303
34032.910,4.3806
34045.532,4.6309
34058.153,4.3825
34070.785,4.1345
34083.417,4.3863
34108.683,4.1398
34121.316,3.3915
34133.947,5.6433
34146.575,3.3950
34159.208,4.1467
34171.844,4.6485
34184.472,3.1502
34197.100,5.4020
34209.729,3.9039
34235.011,4.1576
34247.630,4.4094
34260.258,4.6613
34272.885,3.6631
34285.510,4.4150
34310.774,3.4187
34323.407,4.4205
34336.046,4.1724
34348.677,4.4241
34361.310,4.6752
34373.943,3.1762
34386.577,4.6769
34399.212,2.9265
34411.848,4.4262
34437.113,5.1760
34449.745,3.9260
34462.378,4.4307
34500.283,3.9356
34512.920,4.9331
34525.552,3.9306
34538.185,4.1782
34550.822,3.4257
34563.456,4.4232
34588.724,2.6683
34601.358,3.9158
34613.986,3.6633
34626.613,3.9108
34651.871,3.4059
34664.503,3.9034
34677.140,4.6509
34689.775,3.3984
34740.327,4.6385
34752.969,4.3861
34765.601,4.1336
34778.229,3.6311
34790.853,4.6284
34803.482,4.1240
34816.111,4.3697
34841.376,4.6110
34854.007,3.1066
34866.633,4.6023
34879.263,3.8479
34904.538,4.3392
34917.180,3.8371
34929.818,4.3374
34942.456,4.8377
34955.095,4.3380
34980.370,3.8386
34993.010,4.5889
35005.649,4.0895
35030.926,2.8409
35043.567,3.3416
35056.207,4.8423
35068.845,5.3430
35081.483,2.5930
35094.124,3.8430
35119.400,3.3430
35132.039,4.3430
35144.678,5.3430
35157.321,3.3430
35169.963,4.3430
35195.248,4.0930
35207.894,3.8430
35233.175,4.0936
35245.815,4.3439
35258.456,4.0942
35271.096,4.3445
35283.736,3.8448
35309.013,3.0954
35321.647,4.0957
35334.281,4.3462
35346.915,3.8472
35359.548,3.3483
35372.183,3.8501
35384.821,4.1035
35397.455,4.3569
35410.089,3.1103
35422.726,4.3608
35435.367,3.3507
35448.013,3.0906
35460.653,4.3363
35473.291,3.0891
35485.933,4.0920
35498.570,3.5948
35511.208,3.8477
35523.869,2.8505
35536.481,4.3480
35549.087,3.0944
35561.693,4.5910
35574.306,2.8412
35586.915,4.0914
35599.529,4.3416
35637.361,3.5920
35649.973,3.3421
35662.586,4.3421
35675.192,3.3422
35687.801,4.0922
35700.415,3.8423
35713.022,4.3423
35738.249,4.5924
35750.864,3.8425
35763.473,2.5925
35776.087,4.8426
35788.699,2.8426
35801.312,4.5927
35813.926,3.8427
35826.541,4.3428
35851.762,3.8429
35864.371,2.5930
35876.979,3.3428
35889.588,3.0900
35902.198,4.0872
35914.816,4.3356
35927.429,3.8385
35940.042,4.0914
35952.653,5.3428
35965.264,4.0925
35990.486,3.3460
36003.095,4.1026
36015.713,3.3593
36028.332,4.1072
36066.179,3.0947
36078.797,3.8493
36091.414,3.3568
36104.028,3.6144
36129.256,4.1151
36141.870,3.3652
36154.483,4.3653
36167.097,4.8653
36179.712,2.8654
36192.321,3.3655
36204.927,3.1155
36217.539,4.1156
36230.155,3.1156
36242.766,3.6157
36255.378,3.8658
36280.608,4.1159
36293.226,3.6160
36305.844,3.1182
36318.460,3.3717
36331.075,3.1252
36343.694,3.8679
36356.311,4.1074
36368.927,5.3469
36381.541,3.0978
36394.154,4.0998
36406.769,3.8518
36419.384,4.3537
36431.996,3.8488
36444.615,3.3428
36469.844,3.8378
36482.456,4.3388
36495.069,2.8400
36507.678,3.0911
36520.290,3.8423
36532.903,2.8428
36545.510,4.3424
36558.123,3.8420
36570.734,4.3416
36595.953,3.8408
36608.566,3.3404
36621.182,3.0900
36633.805,4.3396
36646.423,3.5892
36659.046,3.3388
36671.669,3.0884
36684.287,3.8380
36696.909,4.3384
36709.533,3.8388
36760.021,4.3404
36772.642,3.0908
36785.264,5.3412
36797.887,3.3416
36810.510,4.3420
36823.132,3.8424
36835.753,3.0928
36848.378,4.3432
36860.999,3.8435
36873.625,4.0939
36898.873,5.1080
36911.495,3.8660
36924.120,4.1157
36936.745,4.3642
36949.369,3.8628
36961.991,4.1113
36974.611,3.3598
36987.236,3.8584
36999.859,3.3569
37012.483,4.3555
37037.721,2.8526
37050.338,4.3512
37062.950,3.5998
37075.568,4.5977
37088.187,3.0948
37100.810,4.0920
37113.431,4.3408
37126.052,4.5904
37138.672,2.5901
37151.293,4.0907
37163.907,3.0916
37176.520,4.0925
37189.133,5.3434
37201.746,4.3443
37214.362,3.8456
37226.979,4.3488
37264.832,4.8585
37277.448,4.6117
37290.068,4.3650
37315.319,2.6133
37327.940,4.3607
37340.564,3.1080
37353.166,3.8553
37378.416,2.6022
37391.037,4.1026
37403.657,3.1029
37416.279,2.8532
37428.894,4.1035
37441.512,3.3538
37454.127,3.8542
37479.366,3.1048
37491.982,3.8551
37529.844,2.6056
37542.466,3.1038
37555.092,5.3520
37567.717,3.3493
37580.337,2.8455
37592.958,3.8417
37605.582,4.8379
37618.205,4.0841
37630.825,3.0804
37643.453,2.5845
37656.080,4.3394
37668.702,3.8441
37681.326,4.3451
37706.571,3.8473
37719.193,4.8483
37731.821,4.0994
37744.445,3.3492
37757.070,3.0973
37769.694,5.3454
37782.315,4.5935
37794.939,3.5916
37807.563,4.3398
37820.183,4.8379
37832.810,3.3386
37858.056,2.8447
37870.679,3.3477
37883.300,2.8507
37895.937,3.3537
37908.559,4.3540
37933.809,3.1040
37946.434,4.1040
37959.055,4.8540
37971.680,3.8540
37996.923,2.6040
38009.549,3.1040
38022.168,4.1061
38034.791,2.6126
38047.411,4.6190
38060.039,3.1255
38072.669,3.3820
38085.299,4.3884
38097.936,3.1449
38110.561,3.3964
38123.187,3.8932
38135.807,4.3900
38148.433,3.8856
38161.054,3.6305
38173.676,4.6254
38186.302,3.1204
38198.927,4.3653
38211.556,4.1102
38224.181,3.8577
38236.807,5.1053
38249.431,3.8529
38262.058,2.8505
38274.684,4.3481
38287.312,3.8457
38299.937,3.3433
38312.564,3.8408
38325.192,4.3397
38350.457,3.3388
38363.093,3.0883
38388.360,4.3374
38400.988,4.0870
38413.625,4.5865
38426.254,5.0861
38438.886,3.8356
38451.521,4.3352
38476.787,2.8343
38489.421,4.8338
38502.054,3.8333
38514.687,4.5829
38527.318,3.8324
38539.954,4.5820
38552.588,3.0815
38565.223,4.0811
38577.857,4.3306
38590.494,3.3302
38615.766,4.0990
38628.401,3.8495
38641.038,3.3500
38653.675,3.8505
38666.310,3.1005
38678.954,2.5790
38691.595,4.0575
38704.231,3.2860
38716.865,3.0145
38729.505,3.4930
38742.140,4.7215
38754.778,3.9396
38780.049,4.9984
38792.688,4.1528
38805.324,3.0573
38817.963,3.4617
38830.599,3.1296
38843.237,2.3099
38855.874,3.4902
38868.513,3.6685
38881.147,3.3462
38893.784,3.0239
38919.062,4.3792
38931.697,4.5569
38944.334,4.2345
38956.974,2.4183
38969.612,3.8530
38994.896,3.4684
39007.538,4.6493
39020.176,3.3307
39032.816,3.0150
39045.453,3.4492
39058.093,3.6342
39070.726,3.0704
39083.352,3.2565
39095.991,4.6947
39108.628,2.8842
39121.269,3.0737
39146.535,3.4527
39159.168,2.6422
39171.800,3.8333
39184.433,3.2743
39197.067,3.4653
39209.706,3.6563
39234.974,3.0384
39247.615,3.7294
39260.257,4.1704
39285.546,2.8023
39298.186,3.2433
39310.829,3.4343
39323.470,2.8753
39336.113,3.0663
39348.755,1.2573
39361.398,4.1983
39374.040,2.8893
39399.324,2.5212
39411.967,3.4622
39437.252,3.0942
39449.893,3.2852
39462.534,4.2262
39475.177,3.1672
39487.821,4.3579
39500.467,2.5348
39513.103,2.9573
39525.751,3.3812
39551.036,3.9789
39563.681,2.9027
39576.325,2.5765
39588.971,2.2504
39601.609,2.4248
39614.256,2.1003
39626.898,2.5259
39639.538,3.7032
39652.177,1.8821
39664.822,3.3109
39677.467,3.4891
39690.113,2.6671
39702.758,1.5951
39715.401,2.7706
39728.045,3.1958
39740.686,2.6216
39765.967,2.2306
39778.606,3.6601
39791.249,2.5896
39803.898,2.7690
39816.542,2.4468
39841.836,1.7992
39854.482,2.9753
39867.124,2.4015
39879.768,1.5777
39892.413,2.2539
39905.059,2.6801
39917.707,1.8563
39930.350,2.7825
39942.995,3.7087
39955.641,3.1348
39968.285,2.0610
39980.922,3.7373
39993.562,3.9135
40006.202,3.5897
40018.843,2.7659
40031.486,3.4408
40056.770,3.5410
40069.412,2.7181
40094.687,2.3222
40107.329,3.7492
40119.970,3.9263
40132.618,1.8524
40145.264,2.5281
40157.907,1.9539
40170.552,3.8796
40183.195,2.0553
40195.837,2.4808
40208.478,2.9026
40221.122,3.5743
40246.415,2.6677
40284.362,3.1828
40297.017,1.8544
40309.670,2.2761
40322.315,2.6978
40334.968,2.1195
40360.262,2.4629
40372.910,3.1346
40385.555,1.8063
40398.205,2.2290
40410.855,2.4022
40423.507,1.8253
40436.153,2.9984
40448.801,3.1689
40461.476,2.8382
40474.083,3.5078
40499.301,3.1089
40511.911,2.2848
40524.519,3.2134
40537.124,1.8920
40549.735,2.0701
40562.340,3.2470
40574.947,1.9239
40587.557,2.8518
40600.164,1.7811
40625.382,2.6397
40637.995,3.5689
40650.610,2.9982
40663.220,3.6774
40675.829,2.8577
40688.437,3.7888
40701.044,2.7199
40713.651,1.9010
40726.259,2.0821
40738.863,2.5132
40751.469,2.9448
40764.072,3.1264
40776.680,2.3079
40789.284,1.7395
40827.107,2.7843
40839.712,2.2159
40852.322,2.3975
40864.931,3.8290
40877.539,2.0106
40890.152,3.1922
40902.760,3.3742
40915.368,3.5569
40927.974,1.9895
40940.581,2.1701
40953.192,3.0997
40965.797,1.7793
40978.405,2.7101
40991.013,3.8912
41003.621,2.8223
41016.233,3.7534
41028.843,1.4345
41041.448,2.1150
41054.060,3.0429
41066.666,2.4708
41079.271,2.1487
41091.879,2.5766
41104.483,1.5045
41117.090,3.6853
41129.693,2.1182
41154.899,2.9841
41180.115,1.0999
41192.724,3.5328
41205.332,2.7132
41217.945,2.8924
41230.550,2.5716
41243.154,1.7508
41255.762,2.1800
41268.375,0.8592
41280.981,3.5384
41293.592,2.4675
41306.208,2.8967
41331.431,2.0050
41344.034,0.6843
