Time_s,DeltaT_C
4831.351,3.6028
4843.987,4.8539
4869.265,3.8560
4881.907,3.6062
4919.830,3.3567
4932.471,2.8569
4945.110,4.6069
4957.748,3.3567
4970.387,3.8566
4995.667,3.3562
5020.943,3.8554
5033.578,3.3546
5046.219,3.8539
5058.856,2.8532
5071.493,3.8525
5084.127,3.3517
5096.763,4.6010
5109.404,1.6003
5122.041,3.8496
5134.677,4.8494
5147.318,2.3512
5159.958,3.3530
5172.596,2.6027
5185.237,3.3498
5210.519,4.5961
5223.155,3.8462
5235.795,4.5964
5261.076,3.3466
5286.359,4.5969
5298.999,3.8470
5311.640,3.5971
5324.285,3.8473
5336.923,2.5974
5349.564,3.5975
5362.209,4.5977
5374.851,3.8478
5387.487,3.3479
5400.131,2.3485
5412.773,3.3496
5425.413,4.6007
5438.051,3.3517
5450.693,3.8528
5488.624,3.1013
5501.266,3.8499
5526.549,3.5970
5539.192,4.5957
5551.832,4.3446
5564.478,5.3436
5577.126,3.3426
5589.773,3.5915
5602.416,3.3405
5615.063,3.8395
5640.355,3.3398
5653.002,3.5904
5665.649,4.0909
5678.301,3.8414
5703.599,3.5912
5741.538,3.8385
5766.835,3.3369
5779.482,4.3368
5792.128,5.0866
5804.775,4.5865
5817.417,3.3364
5830.068,2.8362
5842.716,4.3361
5855.366,4.8365
5868.013,3.3374
5880.657,3.0883
5893.306,3.3392
5905.955,4.0901
5918.603,2.5910
5931.252,3.8442
5943.896,3.3474
5969.196,2.6000
5981.843,3.8500
5994.496,4.6001
6007.144,4.3503
6019.793,3.6004
6032.438,3.8507
6057.739,3.6016
6070.387,3.3520
6083.034,3.8524
6095.681,5.1028
6108.326,3.3533
6120.974,3.8537
6133.621,2.6039
6146.266,4.8535
6158.913,3.1030
6171.563,3.6026
6184.209,3.3521
6196.854,4.6017
6209.502,5.1013
6222.152,3.8511
6247.453,3.3515
6260.101,2.6017
6272.747,3.6019
6285.393,4.1021
6298.044,3.3523
6335.997,3.6030
6348.644,3.8525
6373.946,3.3510
6386.599,4.8503
6399.248,3.8496
6411.898,3.3486
6424.543,3.8457
6462.491,3.0880
6475.141,3.5859
6487.789,4.8338
6500.443,3.3316
6513.093,3.8295
6525.745,3.3279
6538.397,4.5764
6551.053,3.3250
6576.347,3.5714
6588.973,3.3207
6601.597,2.5735
6614.221,3.5763
6626.839,3.8292
6664.703,2.5867
6677.340,3.5862
6702.587,3.3352
6715.213,3.5854
6727.832,2.8360
6740.455,3.5862
6753.075,3.3364
6765.698,4.8366
6778.321,3.8368
6790.941,2.5870
6803.563,3.8372
6816.191,3.5874
6828.814,2.0877
6841.437,3.3379
6866.689,2.3419
6879.316,4.3421
6891.936,3.5921
6904.558,3.3422
6917.184,3.5923
6929.813,4.0924
6942.441,2.5924
6955.065,3.8425
6967.686,3.3426
6980.314,2.5926
6992.938,4.8427
7005.559,3.3428
7030.810,2.5929
7043.434,3.3433
7056.055,3.8458
7068.671,3.3483
7081.292,3.5998
7093.911,2.5993
7106.536,3.3488
7131.775,2.8477
7144.397,3.3472
7157.016,2.0971
7169.638,3.5971
7194.887,3.3473
7207.505,3.8474
7220.125,2.5975
7232.743,3.3476
7257.980,3.8478
7295.839,2.5875
7308.460,3.8156
7321.079,2.5223
7346.321,3.9356
7358.942,2.3870
7371.562,3.0588
7396.816,3.1402
7409.443,3.2715
7459.935,1.7972
7472.561,3.4082
7485.192,1.2595
7497.814,1.8610
7510.441,0.9857
7523.069,1.6128
7535.692,1.9900
7548.321,2.6172
7573.573,1.6215
7586.202,1.7486
7598.830,2.3758
7611.463,1.7715
7624.091,1.9418
7649.346,2.2823
7661.976,1.9526
7674.602,2.8728
7687.232,1.5557
7699.866,2.0004
7712.495,1.4505
7725.126,3.1471
7737.756,2.3437
7763.023,1.2369
7775.656,0.9287
7788.290,2.8705
7800.925,2.3122
7826.190,2.4458
7838.817,2.8876
7851.446,2.0794
7864.079,2.2712
7876.710,3.2130
7889.344,1.9048
7914.613,3.0384
7927.246,1.2302
7939.878,2.4220
7952.511,1.8637
7965.149,2.8055
7977.787,1.2473
7990.419,1.9390
8003.056,2.6272
8028.318,2.2519
8040.948,1.1828
8053.585,2.3638
8066.221,1.0447
8078.856,1.2257
8091.491,1.9066
8116.765,2.0141
8129.396,0.6924
8142.032,1.8707
8154.664,1.5490
8167.299,1.9773
8179.934,1.6539
8192.572,1.8306
8217.858,2.4339
8243.132,1.2872
8255.764,0.9639
8268.403,1.1405
8281.043,2.3172
8293.681,1.2471
8306.313,1.4325
8318.949,1.8679
8344.225,1.9887
8369.498,1.6099
8382.138,0.2959
8394.773,2.7319
8407.411,1.6678
8420.050,2.1038
8432.690,1.5398
8445.329,2.7258
8457.970,1.4117
8483.244,1.5324
8495.882,0.9549
8508.520,2.3775
8521.160,0.5501
8533.799,1.7226
8571.709,0.2508
8584.351,2.4303
8596.986,1.3540
8647.534,1.5392
8660.175,0.7138
8672.812,1.4045
8685.450,2.0951
8698.085,1.2828
8710.721,2.4642
8723.364,1.1456
8748.641,1.7584
8761.276,2.1898
8773.919,0.8712
8786.561,1.8025
8799.201,0.2339
8811.840,2.1650
8824.481,0.0962
8837.123,2.5273
8849.780,-0.0417
8862.424,2.6394
8875.065,1.0706
8887.712,0.2513
8900.353,0.9294
8912.995,2.3575
8925.637,2.0383
8938.280,0.4736
8950.923,1.1590
8963.568,1.3443
8976.209,-0.2225
8988.854,1.4499
9014.146,1.5449
9026.788,2.2174
9039.433,1.1399
9052.078,1.3191
9077.365,0.4328
9090.009,1.1140
9102.649,0.7952
9115.297,0.9763
9127.948,0.6574
9140.604,2.0885
9153.250,1.5196
9178.539,0.3818
9203.831,1.4941
9216.479,0.4252
9229.124,1.1041
9254.417,2.7103
9267.061,1.3882
9279.706,2.0660
9292.348,0.7438
9304.990,1.9217
9317.638,1.0995
9330.287,0.7773
9355.578,0.3830
9368.225,0.0608
9380.870,1.4886
9393.515,0.4165
9406.163,0.5943
9418.805,1.2721
9456.743,1.3056
9469.390,1.4834
9482.033,1.1613
9494.677,0.8391
9519.969,1.9453
9532.615,0.6263
9545.260,1.3074
9557.908,1.9885
9570.558,-0.0805
9583.205,1.6006
9595.853,0.2818
9621.150,0.3945
9633.803,0.0783
9646.453,1.5129
9659.098,0.9476
9684.401,0.3168
9697.050,1.0007
9709.702,1.1806
9722.356,0.8606
9735.005,-0.2094
9747.656,0.4705
9772.957,1.8305
9798.255,0.6905
9810.904,0.3705
9823.554,1.3004
9836.209,0.2304
9848.857,1.4104
9874.162,0.0136
9886.811,1.1897
9899.459,0.8659
9912.109,1.0420
9937.409,0.6443
9962.724,1.0108
9975.378,0.6946
10000.683,0.3122
10013.336,1.4960
10038.643,0.3608
10051.297,1.5409
10076.604,0.1512
10101.911,1.2614
10114.565,-0.3084
10127.219,2.1217
10139.876,1.0518
10165.188,-0.3379
10177.842,0.5913
10203.156,1.9482
10215.813,0.1267
10228.471,1.5552
10241.125,0.4836
10253.789,0.1613
10266.438,1.5892
10279.102,0.0169
10291.760,0.1947
10329.738,1.2276
10342.400,0.6520
10355.054,0.8264
10367.711,-0.4991
10380.366,0.6753
10405.688,0.7782
10418.348,0.2094
10431.002,1.8906
10443.658,0.3218
10456.316,1.5029
10468.972,0.9341
10481.631,0.3653
10494.290,1.0456
10506.946,0.7255
10532.262,1.0854
10544.922,0.5153
10557.581,1.1953
10570.242,-0.1245
10582.902,0.5557
10595.563,0.9860
10608.227,1.6667
10620.888,1.3475
10633.552,-0.7218
10646.211,0.2089
10658.872,0.6396
10671.534,0.3178
10684.194,-1.0045
10696.862,-0.0769
10709.523,0.8508
10722.188,1.2785
10734.849,2.7061
10747.511,0.8838
10760.172,0.5619
10772.829,0.7401
10785.490,0.9182
10798.151,-0.4037
10810.811,1.0245
10836.138,-0.3677
10848.800,1.3116
10874.125,-0.0798
10886.785,1.0995
10899.448,0.2788
10912.111,0.9581
10924.776,0.1374
10937.439,1.0667
10975.433,0.1046
10988.098,1.2839
11000.761,0.7132
11013.426,1.6438
11026.106,-0.6702
11038.774,0.2660
11064.108,0.8882
11076.776,0.3243
11089.443,0.5054
11102.110,-0.5671
11114.774,-0.1395
11127.441,1.0374
11152.768,1.1408
11165.437,0.3175
11178.106,0.9942
11190.775,0.4219
11203.444,-0.6471
11216.113,0.7839
11228.779,0.4649
11254.116,0.5769
11266.798,1.5079
11279.442,1.1890
11292.109,0.3700
11304.776,1.5511
11330.119,-0.8370
11342.792,-0.1560
11355.461,1.2713
11368.130,0.9478
11380.801,-0.1256
11393.473,1.3009
11406.146,-0.7726
11418.814,0.9059
11431.484,0.3393
11444.159,0.7726
11456.827,1.7059
11469.525,-0.1109
11482.153,1.5727
11494.780,0.5062
11507.408,1.1871
11520.034,0.3628
11532.660,1.0385
11545.290,1.4642
11570.544,1.0656
11583.172,0.7592
11595.799,1.4553
11608.426,1.1513
11621.056,-0.1527
11633.682,0.5433
11646.310,0.7394
11658.941,0.4354
11671.575,-0.1186
11684.207,0.8274
11696.836,0.2734
11709.464,1.4694
11722.091,-0.3346
11734.717,-0.1386
11747.348,0.0575
11759.975,1.5035
11772.606,0.0041
11785.237,0.5407
11797.865,-0.4227
11810.494,0.3639
11823.120,-0.3495
11835.748,0.9361
11848.379,1.2048
11861.007,0.7235
11873.637,1.2421
11886.270,2.2608
11898.897,1.5295
11911.529,1.7965
11924.157,1.5609
11936.786,1.3057
11962.047,1.5451
11999.938,2.0293
12012.567,1.5240
12025.199,2.0188
12037.826,2.2635
12050.457,2.0082
12063.085,1.2529
12075.717,0.4859
12088.348,2.2190
12100.980,2.9520
12113.611,0.6850
12126.244,1.1681
12138.876,0.8964
12151.508,2.6194
12164.143,1.8424
12176.773,1.3356
12189.405,0.8413
12202.039,2.3471
12214.673,2.8370
12227.307,1.8240
12239.939,1.5610
12252.570,2.2981
12265.201,1.2851
12290.469,0.7511
12303.100,2.4816
12328.365,1.1927
12340.999,0.9232
12353.632,1.1635
12378.904,2.6532
12391.541,1.1481
12404.173,1.6429
12429.433,2.1326
12442.069,2.6332
12454.707,2.1346
12467.340,0.6361
12479.974,3.1393
12492.608,2.3926
12505.240,0.8961
12517.878,1.9004
12530.531,1.1546
12543.148,1.4089
12555.782,2.1632
12568.418,1.4175
12581.056,0.9217
12593.690,2.6760
12606.328,1.6803
12618.966,1.4345
12644.235,2.4431
12669.501,3.2016
12682.136,2.2059
12694.774,1.9602
12707.406,2.2145
12720.037,2.7187
12732.670,2.4730
12745.305,2.2273
12757.942,1.4815
12770.575,2.9858
12783.212,3.7395
12795.848,1.9914
12808.487,0.9949
12821.117,2.9993
12833.752,2.0036
12846.389,2.2580
12859.022,2.0124
12871.658,0.7667
12884.293,1.5211
12896.927,2.2736
12909.564,2.7755
12922.199,2.0275
12960.109,2.2843
12985.386,3.2952
12998.025,2.2977
13010.658,2.0469
13035.941,1.7955
13061.222,2.7941
13073.855,2.2972
13086.488,2.0509
13111.765,2.3083
13149.680,3.0693
13174.954,1.5751
13187.590,2.5754
13200.227,3.0757
13212.868,2.8260
13225.507,2.3263
13238.141,2.0766
13263.423,3.0793
13276.066,2.3329
13288.704,2.0864
13301.344,2.3284
13326.624,2.0684
13339.265,3.8158
13351.910,2.5632
13364.552,3.5606
13377.191,2.0580
13402.470,2.3038
13415.110,3.0526
13427.752,2.8060
13440.393,2.0594
13453.032,2.5629
13465.673,3.8163
13478.316,3.0697
13490.956,2.5717
13503.597,2.3229
13516.238,2.5741
13528.879,2.0752
13541.520,3.3264
13554.161,3.5776
13566.805,2.8287
13579.447,1.0799
13592.086,3.8311
13604.721,3.3322
13617.364,2.0834
13630.001,2.3339
13642.645,2.0838
13655.289,3.5837
13667.930,3.3336
13680.572,2.5835
13718.497,3.3331
13731.137,3.5824
13743.781,2.5761
13756.424,3.0736
13781.703,1.0703
13794.346,2.3187
13806.988,2.5670
13819.630,2.8154
13844.911,3.5621
13857.555,3.0604
13870.195,3.3088
13882.844,3.5571
13895.483,2.8055
13908.131,3.5538
13920.776,2.5522
13933.424,3.7986
13958.662,2.2912
13971.314,3.0374
13983.957,2.0337
13996.601,2.2810
14009.253,1.7810
14021.899,1.5310
14034.545,3.2810
14047.191,2.0310
14059.838,2.7810
14072.481,1.2810
14085.133,2.7810
14097.779,2.0310
14110.423,2.5310
14123.068,3.2810
14135.716,3.5310
14148.363,4.0310
14161.011,2.0320
14173.658,2.7831
14186.303,3.0341
14198.950,2.2852
14211.597,3.7862
14224.243,3.0373
14249.531,2.5394
14262.178,3.5404
14274.822,2.5415
14287.469,3.7925
14300.116,2.7936
14338.055,2.0468
14350.703,3.5478
14363.351,3.0489
14376.014,2.0499
14388.660,3.2993
14413.956,2.5479
14426.604,3.5472
14451.905,2.2962
14464.550,3.2968
14477.197,2.7974
14489.843,3.2979
14502.490,2.2985
14515.139,2.5491
14527.787,3.7997
14540.437,2.7996
14553.085,3.2989
14565.723,2.5482
14578.367,3.2975
14603.668,2.0461
14616.315,3.7966
14628.967,4.0474
14641.620,3.7981
14654.269,2.7988
14666.916,2.5495
14679.568,1.8033
14692.217,2.3124
14717.509,2.8119
14730.158,2.5614
14755.458,3.8102
14768.107,2.3123
14780.759,2.0664
14793.405,3.3205
14806.056,3.5746
14818.703,2.8287
14831.352,2.5828
14844.002,3.5823
14856.654,2.0816
14881.949,2.8366
14894.603,2.5913
14907.257,3.3422
14919.909,4.5880
14932.561,2.8338
14945.214,3.5837
14957.869,3.3368
14970.521,4.5898
14983.173,1.8429
15008.478,3.5990
15021.127,2.3521
15033.775,2.8553
15046.423,3.8585
15059.075,3.3618
15071.727,3.6150
15084.380,2.1183
15097.033,3.1192
15109.685,2.3579
15122.334,0.8566
15134.985,2.8580
15147.634,2.3581
15160.283,3.6082
15172.933,3.3584
15185.582,2.6085
15198.230,3.3586
15210.882,3.8587
15223.530,2.3588
15236.183,3.1089
15248.836,2.1090
15261.484,3.3561
15274.133,3.8521
15286.780,3.3482
15299.431,3.0943
15312.084,2.5904
