Time_s,Voltage_mV
0,13.08378856629
49.07237912,13.7681234628
87.81384464,13.75255361199
188.54190164,14.00202978402
253.11103564,14.61231335998
276.35595812,14.92159999907
328.01130104,14.90429136902
441.6532618,14.97815549374
516.55364416,15.19416645169
581.12300524,15.4350316152
606.950775,15.48094861209
681.85129892,15.54229762405
720.5929956,15.67206345499
834.23536912,15.83666913211
847.14928436,15.76332189143
947.87779046,15.85909351707
1022.77797044,16.30239002407
1087.34716424,16.50779694319
1100.26097442,16.49028621614
1226.8165872,16.811510548
1288.80306392,17.21152476966
1327.5446159,17.43005588651
1366.28625728,17.33274757862
1428.27281442,17.31153950095
1529.00094644,17.75448396802
1606.48417446,18.36786605418
1668.47070254,18.39375682175
1743.37119346,18.5750965029
1756.28508086,18.5548234731
1844.09946196,18.52716132998
1934.49662544,18.69122497737
1996.48334954,18.8618414104
2058.4700589,19.15938779712
2071.38396382,19.19968985021
2161.78130266,19.55605112016
2249.59586988,19.79358121753
2311.58269704,20.23319527507
2363.23839772,20.21141536534
2425.2250019,20.45920677483
2489.79413174,20.66138572991
2564.69425896,20.86275815964
2590.5219773,20.64709924161
2665.4221811,20.42103931308
2766.15008198,20.52224054933
2830.71926346,20.54998651147
2905.6194715,20.657164976
2944.36102576,21.16519398987
2980.51986296,21.05810306966
3081.24779912,21.65604755282
3158.73090392,21.95333875716
3220.71737358,22.15956151485
3285.28669314,22.17740379274
3295.61775322,22.14412204921
3373.10087536,21.32782526314
3486.74280438,21.7663012445
3535.81555992,21.70675061643
3574.55716198,21.92621678114
3675.28534426,21.74057066441
3688.1991946,21.79666981101
3763.09954186,21.48702181876
3866.41057924,21.5140748769
3889.65557084,21.73170261085
3967.13899116,21.51614055037
4067.86720698,21.54261060059
4116.93995882,21.97013795376
4168.59552436,21.85338363051
4243.4960028,21.69988676906
4320.97928854,21.59360609949
4382.96589418,21.79752290249
4421.70753496,21.71334996819
4483.6941187,21.8277964741
4584.4224774,22.7245464921
4648.9918451,22.91936613619
4674.81963134,23.1351479888
4762.63404666,23.34401570261
4811.70682664,23.48876185715
4902.10409524,23.62530864775
4915.0179928,23.77406693995
4977.00462414,23.72385561466
5090.64690602,23.78408797085
5165.54756822,24.02036264539
5230.11706982,23.98258447647
5255.94487864,24.11833591759
5356.67310994,24.09864403307
5382.50093792,24.39341694117
5470.31534484,24.35459941626
5532.30205188,24.77132156491
5558.12982572,24.73551407456
5671.77199674,24.83809739351
5723.42757198,24.75276961923
5749.2552838,24.55806545913
5824.15585428,24.53594654799
5888.72523706,24.31820146739
5963.62577986,24.60836060345
6051.44029596,24.69389885664
6077.26808708,25.03474056721
6177.99648078,24.73962306976
6255.4798753,24.76470544934
6304.55272752,24.79499392211
6343.29446674,25.06626956165
6431.1089934,24.947443977
6495.67848474,24.94582906365
6531.83737948,24.56319890916
6645.47952726,24.15062300861
6710.04900604,24.30066466331
6772.0357348,24.54545348883
6836.60528254,24.76721815765
6885.6781253,25.15906095505
6973.49263094,25.021340698
7025.14832374,25.58749727905
7100.04900382,25.32241865993
7164.61858678,25.93432180583
7213.69148994,26.227934286
7265.34711484,26.70325897634
7353.16162442,27.31155790389
7415.14845382,27.70387195051
7440.97627638,28.10871787369
7554.6188997,28.76008860767
7619.1884963,29.74377572536
7681.1753355,30.69476224482
7694.0892861,30.77398613095
7807.73173506,29.89254146814
7846.47345162,31.67659416795
7934.28812298,32.63989090919
7996.27495088,33.35056826472
8060.84447718,33.8547937572
8135.74515744,34.72113236785
8187.4007841,35.81157699227
8262.30157924,36.50451824069
8326.87120378,37.54299879074
8375.94410634,37.9244685173
8440.51366124,38.3599512279
8502.50042186,40.50038009882
8567.06998916,42.23896190524
8641.97072218,43.26490685344
