cycle,t_h,peak_mVpV,valley_mVpV,amp_mVpV,peak_pct,valley_pct
1,2.0,46.38551423947222,-86.73210938772222,133.11762362719443,100.0,100.0
2,6.0,42.05368045303333,-88.92919454311111,130.98287499614443,90.66123582445341,102.53318542682636
3,10.0,40.951491230066665,-90.82133571305555,131.7728269431222,88.28508619878268,104.71477789967392
4,14.0,40.95837059948333,-91.76128440433332,132.71965500381665,88.2999170560653,105.79851574245585
5,18.0,41.27621650695555,-92.41556955711111,133.69178606406666,88.98514371073014,106.55289051484023
6,22.0,42.04375462399444,-93.542618884,135.58637350799444,90.63983727104372,107.85235081258371
7,26.0,43.229092326427775,-92.84868008561111,136.07777241203888,93.19524216817142,107.05225635703812
8,30.0,44.57275072733333,-92.64832569494445,137.22107642227778,96.09196202335878,106.82125264678473
9,34.0,44.44005174769444,-92.73587001694443,137.17592176463887,95.80588353136706,106.9221891080538
10,38.0,44.97908883624445,-93.50048998988888,138.47957882613332,96.96796418820132,107.80377722846528
11,42.0,44.63394069009444,-93.58016153177776,138.2141022218722,96.22387812640166,107.89563656689405
12,46.0,45.517322917777776,-93.79890229966666,139.31622521744444,98.12831368600922,108.14783932021467
13,50.0,46.22571170329999,-93.60362258222221,139.8293342855222,99.65549042887135,107.9226865840216
14,54.0,46.97709861728889,-93.61442592411112,140.59152454140002,101.27536449151458,107.93514257288797
15,58.0,47.38341189093334,-93.24313037927777,140.6265422702111,102.15131311536037,107.50704789439523
16,62.0,47.9861555828,-93.41734151044446,141.40349709324445,103.45073536333828,107.70790906610719
17,66.0,48.29545815785555,-93.22044750055557,141.5159056584111,104.11754391365147,107.48089509022346
