Time_s,Sawtooth_baseline_Value
14.46081478,-165.5592173338
14.5434306,-164.811834693
14.62606546,-164.4455194473
14.70869414,-164.5414978266
14.79133464,-164.0160381794
14.87395648,-163.3161902428
14.95659424,-162.6640856266
15.03922788,-162.091717124
15.1218626,-161.60389781
15.20448546,-160.7761383057
15.28712492,-160.4273021221
15.36976786,-159.0951830149
15.4523885,-157.99947083
15.53500874,-157.5009673834
15.6176461,-157.1999341249
15.70027062,-156.7685008049
15.78292148,-156.283557415
15.86554656,-155.5863916874
15.94819714,-154.677554965
16.03083656,-154.062628746
16.11345934,-153.4431129694
16.19608124,-152.5513678789
16.27872138,-151.5586078167
16.36134104,-150.5821943283
16.44397966,-148.6461013556
16.5266347,-147.0832526684
16.60925244,-146.2972611189
16.69187942,-144.7919309139
16.77452726,-143.6863988638
16.85716456,-143.4022188187
16.93977908,-142.4289494753
17.02241836,-141.8392956257
17.10506408,-139.4129991531
17.18767664,-136.3888382912
17.27030644,-135.8164250851
17.35292736,-134.2072486877
17.43553868,-132.6753646135
17.51815994,-129.6374499798
17.6008092,-128.6384314299
17.68345562,-129.2395591736
17.7660867,-127.6599615812
17.84872962,-125.0356882811
17.93134216,-122.4184557796
18.0139949,-121.1367696524
18.09662938,-120.3018948436
18.17925294,-119.7930201888
18.26188808,-119.4021627307
18.34450662,-118.4459626675
18.42715072,-116.3299456239
18.50977694,-113.7883067131
18.59239892,-112.0493486524
18.675044,-108.8424772024
18.75767868,-108.1458255649
18.84029752,-103.3822000027
18.92293684,-98.17641973495
19.00558144,-94.5160612464
19.08821614,-91.53837710619
19.170839,-88.73078227043
19.25346594,-82.98201858997
19.3361182,-81.25536888838
19.4187501,-79.07419651747
19.50138152,-73.36081564426
19.58403566,-72.63696938753
19.66666968,-71.37800008059
19.74929464,-66.06204807758
19.83192096,-62.19521537423
19.91456666,-59.11527946591
19.99720994,-56.84247612953
20.07983358,-51.96931958199
20.1624596,-50.61139911413
20.24511986,-45.82240059972
20.32775592,-47.08611220121
20.41037714,-43.33297535777
20.49303196,-37.80135512352
20.57568234,-36.77187860012
20.6583017,-35.77923774719
20.7409162,-31.61542862654
20.82354384,-28.73929403722
20.9061639,-22.86774478853
20.98879248,-18.80263350904
21.07141508,-14.37363401055
21.15403534,-13.18902801722
21.2366569,-12.52492610365
21.31930512,-8.203826844692
21.40192444,-4.091157112271
21.48455918,-3.636061213911
21.5671792,1.124078058638
21.64982226,2.727902494371
21.73244978,7.456582039595
21.81508522,11.08695007861
21.89771108,13.58826179057
21.98035762,15.5086396262
22.06298706,16.38447865844
22.1456064,18.69394816458
22.22824752,22.73528650403
22.31087962,24.68997426331
22.39352848,26.5804156661
22.47614778,31.46892413497
22.55879062,36.70692071319
22.6414366,40.19897058606
22.72405954,42.72999614477
22.80668668,44.73777860403
22.88932418,49.59439113736
22.97195246,52.8721883893
23.05456182,59.64937806129
23.13721844,64.02327865362
23.21983658,69.2545697093
23.30246858,72.91051000357
23.38510788,77.17294991016
23.46775024,80.06727695465
23.550407,84.10252630711
23.63302474,89.74609524012
23.71565832,92.0203179121
23.79830184,95.67242115736
23.88095408,98.59589487314
23.96360936,101.3078987598
24.04624442,105.6791320443
24.12889346,109.8035350442
24.21150786,113.2717654109
24.29413004,114.9423792958
24.3767484,116.4807081223
24.459376,119.1156953573
24.542003,122.6914748549
24.62463818,124.7707381845
24.70727828,127.9552578926
24.78990754,131.2940865755
24.87253618,133.8069140911
24.95518176,136.587485671
25.03781612,138.7080848217
25.12042868,141.1828547716
25.20303846,143.7536478043
25.28568342,146.3000774384
25.36832488,147.6238518953
25.45094424,148.9914655685
25.5335697,150.7735103369
25.61620646,152.8688520193
25.6988291,154.7352820635
25.7814544,156.2218666077
25.86409386,157.7489823103
25.9467479,160.4228168726
26.02939012,162.8305315971
26.1120037,163.2945388556
26.1946225,164.3850505352
26.2772539,164.6316945553
26.35987254,165.7019853592
26.44251662,166.1677211523
26.5251627,166.2875264883
26.60779596,166.5415018797
26.69041436,166.6884422302
26.77306782,166.7818427086
26.85569156,166.318371892
