T_amb,T_MCU
38.587,38.585
38.760,38.646
38.933,38.814
39.107,39.063
39.281,39.309
39.455,39.559
39.629,39.596
39.801,39.793
39.973,39.999
40.143,40.159
40.311,40.327
40.480,40.616
40.650,40.955
40.819,41.157
40.987,41.223
41.155,41.340
41.322,41.433
41.491,41.591
41.661,41.700
41.830,41.898
42.000,42.126
42.172,42.315
42.343,42.428
42.515,42.530
42.687,42.713
42.858,42.861
43.029,43.116
43.200,43.329
43.369,43.478
43.535,43.665
43.701,43.842
43.868,44.034
44.034,44.225
44.199,44.423
44.364,44.621
44.528,44.736
44.692,44.814
44.855,44.981
45.018,45.213
45.181,45.447
45.345,45.625
45.509,45.677
45.672,45.739
45.835,45.874
45.998,45.970
46.161,46.074
46.326,46.246
46.492,46.566
46.658,46.679
46.823,46.815
46.989,47.017
47.155,47.210
47.321,47.385
47.488,47.627
47.656,47.761
47.825,48.020
47.994,48.153
48.163,48.305
48.332,48.463
48.500,48.617
48.667,48.645
48.833,48.822
48.998,48.994
49.162,49.162
49.318,49.291
49.454,49.509
49.570,49.629
49.663,49.783
49.730,49.855
49.772,50.060
49.793,50.191
49.801,50.329
49.797,50.449
49.781,50.595
49.753,50.765
49.723,50.838
49.703,50.956
49.695,51.025
49.703,51.097
49.724,51.210
49.758,51.252
49.804,51.336
49.852,51.474
49.899,51.488
49.946,51.489
49.992,51.528
50.031,51.518
50.062,51.470
50.086,51.600
50.104,51.593
50.117,51.676
50.125,51.733
50.128,51.740
50.129,51.768
50.128,51.790
50.123,51.871
50.118,51.898
50.113,52.050
50.108,52.144
50.101,52.124
50.095,52.211
50.088,52.203
50.081,52.216
50.075,52.174
50.069,52.219
50.063,52.281
50.058,52.205
50.053,52.121
50.048,52.014
50.044,52.057
50.042,52.035
50.041,52.081
50.040,52.195
50.039,52.152
50.038,52.347
50.036,52.317
50.033,52.278
50.032,52.334
50.033,52.497
50.032,52.718
50.029,52.706
50.027,52.717
50.023,52.748
50.020,52.637
50.018,52.715
50.017,52.611
50.018,52.645
50.019,52.666
50.019,52.706
50.018,52.602
50.018,52.465
50.019,52.480
50.021,52.518
50.022,52.496
50.023,52.589
50.024,52.473
50.025,52.459
50.025,52.429
50.025,52.464
50.027,52.395
50.031,52.452
50.034,52.413
50.038,52.409
50.042,52.387
50.045,52.391
50.048,52.288
50.049,52.321
50.049,52.310
50.050,52.401
50.050,52.447
50.048,52.534
50.045,52.465
50.040,52.439
50.035,52.518
50.031,52.408
50.027,52.455
50.024,52.533
50.022,52.612
50.021,52.669
50.020,52.612
50.020,52.592
50.021,52.555
50.022,52.694
50.024,52.723
50.028,52.647
50.031,52.779
50.034,52.842
50.037,52.852
50.041,52.764
50.044,52.788
50.047,52.799
50.049,52.759
50.050,52.779
50.050,52.705
50.049,52.764
50.048,52.753
50.047,52.694
50.047,52.604
50.045,52.557
50.043,52.628
50.040,52.554
50.038,52.558
50.036,52.591
50.034,52.571
50.033,52.581
50.034,52.555
50.035,52.633
50.036,52.684
50.036,52.746
50.035,52.736
50.035,52.761
50.033,52.812
50.030,52.817
50.028,52.849
50.026,52.890
50.025,52.933
50.021,52.964
50.018,52.985
50.015,52.894
50.012,52.904
50.011,52.917
50.009,52.904
50.008,52.871
50.009,52.884
50.010,52.892
50.011,52.914
50.012,52.935
50.013,52.941
50.014,52.811
50.015,53.018
50.017,53.030
50.019,53.106
50.020,53.143
50.021,53.160
50.022,53.227
50.023,53.126
50.024,53.027
50.026,52.976
50.028,52.936
50.031,53.090
50.033,53.017
50.034,52.987
50.034,52.925
50.036,52.920
50.037,53.057
50.037,53.011
50.036,53.028
50.035,53.082
50.034,53.131
50.032,53.111
50.031,53.064
50.029,53.093
50.028,52.987
50.025,52.993
50.021,53.056
50.019,52.954
50.018,52.844
50.018,52.845
50.017,52.908
50.016,52.874
50.016,52.950
50.015,52.900
50.014,52.805
50.013,52.879
50.013,52.994
50.014,52.918
50.015,52.939
50.015,53.034
50.016,53.050
50.016,52.925
50.017,52.988
50.019,52.936
50.021,52.959
50.020,53.041
50.019,53.001
50.019,52.899
50.020,52.873
50.020,52.896
50.021,52.901
50.022,52.976
50.023,53.095
50.023,52.921
50.022,52.950
50.022,52.925
50.025,52.945
50.029,52.975
50.031,53.024
50.032,53.073
50.034,53.006
50.034,52.918
50.033,52.903
50.032,52.825
50.031,52.877
50.029,52.893
50.027,52.928
50.025,52.917
50.024,52.932
50.023,52.808
50.023,52.808
50.023,52.883
50.025,52.890
50.026,52.879
50.027,52.959
50.027,52.989
50.028,52.979
50.028,53.001
50.028,52.936
50.026,52.900
50.024,52.957
50.022,52.848
50.020,52.763
50.017,52.809
50.015,52.854
50.014,52.792
50.013,52.768
50.014,52.741
50.015,52.720
50.014,52.696
50.014,52.680
50.013,52.712
50.014,52.760
50.009,52.792
49.995,52.798
49.971,52.736
49.939,52.694
49.899,52.692
49.847,52.760
49.788,52.801
49.720,52.837
49.639,52.918
49.541,52.904
49.423,52.946
49.296,52.907
49.161,52.869
49.020,52.735
48.873,52.768
48.719,52.838
48.559,52.764
48.394,52.644
48.221,52.575
48.048,52.512
47.876,52.494
47.705,52.408
47.537,52.266
47.372,52.106
47.208,52.076
47.045,51.942
46.883,51.784
46.722,51.655
46.561,51.560
46.400,51.389
46.241,51.247
46.082,51.129
45.925,50.883
45.766,50.780
45.606,50.718
45.445,50.489
45.283,50.269
45.120,50.090
44.958,50.011
44.795,49.850
44.631,49.756
44.465,49.577
44.299,49.366
44.131,49.323
43.963,49.150
43.795,48.977
43.626,48.883
43.457,48.822
43.287,48.768
43.117,48.537
42.946,48.373
42.776,48.222
42.608,48.126
42.440,47.955
42.271,47.817
42.102,47.775
41.933,47.672
41.764,47.599
41.596,47.482
41.428,47.315
41.260,47.200
41.092,47.064
40.922,46.897
40.753,46.740
40.583,46.483
40.414,46.173
40.247,45.976
40.080,45.801
39.915,45.685
39.750,45.468
39.586,45.252
39.422,45.143
39.258,44.965
39.093,44.884
38.929,44.681
38.764,44.665
38.598,44.518
38.432,44.347
38.266,44.187
38.098,43.966
37.930,43.837
37.761,43.605
37.592,43.388
37.423,43.168
37.253,42.926
37.084,42.754
36.916,42.597
36.748,42.456
36.581,42.238
36.414,42.208
36.247,42.013
36.079,41.760
35.910,41.761
35.742,41.604
35.574,41.537
35.408,41.349
35.242,41.232
35.076,41.015
34.910,40.882
34.743,40.794
34.576,40.538
34.407,40.422
34.239,40.341
34.072,40.116
33.907,39.946
33.741,39.766
33.574,39.693
33.407,39.562
33.239,39.425
33.071,39.303
32.903,39.163
32.734,38.934
32.567,38.819
32.399,38.667
32.230,38.422
32.061,38.147
31.891,37.970
31.722,37.853
31.553,37.608
31.385,37.396
31.217,37.307
31.049,37.110
30.881,37.027
30.714,36.732
30.547,36.499
30.381,36.460
30.215,36.349
30.049,36.170
29.883,35.824
29.718,35.692
29.552,35.551
29.387,35.294
29.222,35.149
29.057,34.989
28.892,34.901
28.727,34.834
28.563,34.731
28.398,34.591
28.234,34.445
28.069,34.472
27.905,34.364
27.740,34.272
27.575,34.156
27.408,34.011
27.241,33.817
27.073,33.622
26.905,33.374
26.737,33.000
26.569,32.874
26.400,32.718
26.232,32.459
26.064,32.261
25.904,32.049
25.755,31.871
25.619,31.721
25.496,31.595
25.383,31.444
25.283,31.378
25.195,31.303
25.126,31.153
25.077,31.028
25.047,30.866
25.036,30.725
25.038,30.658
25.048,30.578
25.065,30.447
25.089,30.336
25.119,30.281
25.152,30.157
25.183,30.160
25.209,30.118
25.226,30.145
25.235,30.256
25.237,30.216
25.231,30.169
25.217,30.115
25.195,30.056
25.169,29.961
25.141,29.966
25.112,29.986
25.086,29.927
25.062,29.851
25.040,29.778
25.020,29.652
25.002,29.663
24.986,29.628
24.972,29.546
24.960,29.581
24.949,29.679
24.938,29.619
24.927,29.486
24.916,29.425
24.905,29.363
24.895,29.227
24.885,29.257
24.876,29.128
24.867,29.180
24.859,29.101
24.852,29.080
24.846,29.099
24.841,29.071
24.836,29.144
24.831,29.218
24.827,29.240
24.826,29.300
24.825,29.249
24.827,29.278
24.829,29.236
24.833,29.272
24.839,29.236
24.847,29.136
24.856,29.175
24.867,29.223
24.880,29.158
24.895,29.173
24.909,29.142
24.923,29.084
24.936,29.075
24.950,29.008
24.963,29.073
24.976,29.109
24.986,29.136
24.995,29.086
25.001,28.995
25.005,28.944
25.008,28.968
25.009,29.060
25.010,29.056
25.010,29.072
25.010,29.140
25.010,29.158
25.010,29.094
25.010,29.036
25.011,29.011
25.011,29.002
25.011,29.051
25.010,29.002
25.011,28.899
25.012,28.990
25.013,29.055
25.014,29.006
25.014,28.939
25.013,29.002
25.012,28.978
25.011,28.987
25.011,28.957
25.011,28.914
25.011,28.916
25.011,28.956
25.010,28.945
25.009,28.846
25.007,28.848
25.006,28.863
25.005,28.789
25.004,28.830
25.002,28.878
25.001,28.914
24.999,28.859
24.998,28.816
24.997,28.866
24.996,28.884
24.996,28.904
24.995,28.839
24.995,28.891
24.995,28.865
24.996,28.815
24.997,28.772
24.997,28.762
24.997,28.824
24.998,28.911
24.999,28.794
24.999,28.642
25.000,28.597
25.000,28.587
25.001,28.496
25.003,28.475
25.005,28.575
25.005,28.576
25.005,28.575
25.004,28.636
25.003,28.658
25.002,28.682
25.001,28.729
25.000,28.843
25.000,28.961
25.000,28.921
25.000,29.046
24.999,29.038
24.999,29.139
25.001,29.253
25.003,29.226
25.006,29.257
25.008,29.254
25.009,29.197
25.009,29.056
25.009,28.974
25.007,29.042
25.005,28.970
25.004,28.996
25.002,28.917
25.001,28.798
25.000,28.770
24.998,28.684
24.996,28.666
24.996,28.678
24.995,28.826
24.996,28.822
24.997,28.908
24.997,28.888
24.998,28.795
24.999,28.770
25.000,28.680
25.001,28.675
25.003,28.757
25.004,28.740
25.005,28.809
25.006,28.704
25.006,28.714
25.006,28.608
25.005,28.671
25.004,28.695
25.002,28.726
25.000,28.834
24.997,28.761
24.993,28.664
24.990,28.759
24.986,28.791
24.983,28.796
24.980,28.784
24.977,28.780
24.975,28.727
24.974,28.760
24.973,28.706
24.972,28.690
24.971,28.769
24.970,28.806
24.970,28.658
24.970,28.690
24.970,28.689
24.971,28.757
24.973,28.752
24.974,28.805
24.975,28.777
24.976,28.819
24.976,28.792
24.977,28.795
24.978,28.662
24.980,28.761
24.982,28.687
24.983,28.715
24.985,28.639
24.987,28.567
24.990,28.511
24.995,28.601
25.001,28.579
25.008,28.595
25.016,28.625
25.024,28.718
25.032,28.778
25.039,28.670
25.045,28.651
25.049,28.671
25.053,28.846
25.055,28.897
25.056,28.782
25.054,28.860
