T_amb,T_MCU
50.088,52.284
50.081,52.244
50.074,52.258
50.068,52.137
50.062,52.280
50.055,52.250
50.050,52.439
50.045,52.420
50.041,52.493
50.036,52.473
50.034,52.399
50.032,52.470
50.031,52.444
50.031,52.496
50.031,52.477
50.031,52.539
50.031,52.587
50.031,52.507
50.031,52.597
50.031,52.637
50.031,52.639
50.030,52.712
50.028,52.698
50.025,52.794
50.023,52.803
50.022,52.795
50.022,52.692
50.023,52.759
50.024,52.844
50.026,52.837
50.029,52.770
50.032,52.835
50.037,52.784
50.042,52.711
50.046,52.678
50.051,52.564
50.054,52.578
50.058,52.671
50.061,52.590
50.063,52.565
50.065,52.582
50.066,52.579
50.066,52.602
50.065,52.624
50.064,52.669
50.062,52.647
50.060,52.772
50.059,52.885
50.057,52.840
50.056,52.938
50.055,52.956
50.054,52.945
50.053,53.002
50.052,52.990
50.052,53.101
50.052,53.109
50.051,53.103
50.050,53.065
50.048,53.054
50.046,53.057
50.043,53.010
50.040,52.993
50.037,52.953
50.033,52.985
50.030,53.013
50.026,53.074
50.022,53.128
50.018,53.146
50.013,53.216
50.008,53.146
50.005,52.975
50.002,52.953
50.000,52.956
49.997,53.049
49.996,52.975
49.994,53.011
49.994,52.877
49.994,52.803
49.996,52.880
49.998,52.871
50.001,52.933
50.003,53.196
50.005,53.181
50.006,53.195
50.008,53.040
50.012,53.012
50.015,52.910
50.018,52.941
50.021,53.024
50.024,52.958
50.029,52.893
50.035,52.842
50.040,52.800
50.046,52.854
50.051,52.825
50.056,52.897
50.060,52.849
50.062,52.930
50.064,52.942
50.064,52.914
50.063,52.982
50.060,53.092
50.057,53.141
50.054,53.077
50.051,53.027
50.047,53.011
50.043,53.080
50.039,53.193
50.036,53.089
50.033,52.978
50.031,52.882
50.030,52.754
50.028,52.667
50.027,52.665
50.025,52.700
50.022,52.771
50.020,52.837
50.018,52.763
50.015,52.666
50.013,52.784
50.012,52.821
50.011,52.971
50.009,53.103
50.007,53.073
50.006,53.174
50.005,53.138
50.004,53.166
50.004,53.068
50.004,53.011
50.005,53.100
50.006,52.976
50.007,53.044
50.008,53.035
50.010,53.057
50.012,53.093
50.015,53.001
50.018,53.029
50.021,52.973
50.023,52.970
50.025,53.059
50.028,53.021
50.029,53.121
50.030,53.064
50.031,53.110
50.031,53.098
50.030,53.049
50.028,53.008
50.025,52.958
50.023,52.993
50.019,53.060
50.016,53.090
50.013,53.153
50.010,53.110
50.008,53.170
50.007,53.114
50.006,52.994
50.007,53.066
50.008,53.085
50.010,53.177
50.013,53.128
50.016,53.099
50.019,53.074
50.021,53.096
50.021,53.083
50.022,53.177
50.023,53.199
50.023,53.276
50.022,53.353
50.021,53.344
50.020,53.254
50.018,53.288
50.017,53.244
50.016,53.229
50.017,53.202
50.019,53.301
50.019,53.235
50.019,53.258
50.019,53.278
50.018,53.257
50.018,53.345
50.018,53.302
50.017,53.352
50.016,53.395
50.015,53.375
50.014,53.236
50.011,53.070
50.010,53.033
50.010,53.099
50.011,53.128
50.012,53.066
50.014,52.966
50.015,53.090
50.017,53.032
50.019,53.131
50.021,53.168
50.021,53.211
50.018,53.244
50.006,53.250
49.986,53.100
49.953,52.928
49.903,52.925
49.835,52.889
49.747,52.900
49.642,52.850
49.520,52.668
49.381,52.708
49.226,52.841
49.058,52.841
48.883,52.725
48.701,52.697
48.517,52.738
48.335,52.663
48.156,52.658
47.984,52.483
47.815,52.353
47.650,52.321
47.489,52.069
47.331,51.799
47.175,51.603
47.021,51.547
46.866,51.447
46.712,51.340
46.558,51.229
46.404,51.005
46.248,50.935
46.090,50.920
45.931,50.826
45.770,50.716
45.607,50.641
45.442,50.604
45.275,50.454
45.108,50.291
44.940,50.065
44.771,49.860
44.601,49.720
44.430,49.572
44.259,49.282
44.089,49.089
43.920,49.040
43.750,48.853
43.580,48.661
43.410,48.478
43.239,48.422
43.069,48.333
42.898,48.334
42.727,48.288
42.556,48.083
42.384,48.090
42.212,48.023
42.042,47.727
41.871,47.627
41.702,47.485
41.533,47.358
41.364,47.125
41.195,46.934
41.027,46.617
40.860,46.490
40.694,46.347
40.527,46.169
40.359,45.988
40.190,45.940
40.021,45.837
39.853,45.713
39.686,45.504
39.520,45.339
39.354,45.157
39.189,45.075
39.023,44.761
38.858,44.603
38.694,44.462
38.531,44.258
38.368,44.049
38.205,43.779
38.041,43.636
37.877,43.525
37.712,43.353
37.548,43.259
37.384,43.034
37.220,42.984
37.057,42.793
36.894,42.545
36.730,42.376
36.566,42.194
36.403,42.064
36.240,41.934
36.076,41.769
35.913,41.614
35.748,41.374
35.584,41.262
35.419,40.990
35.253,40.900
35.087,40.760
34.921,40.620
34.755,40.508
34.588,40.413
34.421,40.280
34.254,40.140
34.086,40.050
33.916,40.043
33.746,39.863
33.575,39.812
33.404,39.652
33.233,39.487
33.061,39.364
32.890,39.128
32.720,38.947
32.549,38.658
32.379,38.456
32.210,38.234
32.043,37.950
31.876,37.783
31.711,37.422
31.546,37.182
31.382,37.047
31.218,36.809
31.054,36.726
30.889,36.506
30.724,36.381
30.559,36.260
30.393,36.100
30.227,35.948
30.060,35.761
29.894,35.714
29.727,35.558
29.560,35.360
29.392,35.184
29.224,35.068
29.056,34.902
28.889,34.744
28.722,34.616
28.555,34.373
28.389,34.335
28.222,34.188
28.055,33.996
27.888,33.851
27.720,33.605
27.554,33.493
27.389,33.256
27.223,33.063
27.057,32.910
26.891,32.757
26.724,32.621
26.558,32.345
26.392,32.178
26.226,32.134
26.060,31.991
25.895,31.879
25.729,31.717
25.563,31.606
25.398,31.409
25.234,31.203
25.069,30.989
24.904,30.913
24.738,30.788
24.573,30.672
24.408,30.529
24.242,30.417
24.076,30.365
23.909,30.196
23.742,30.051
23.575,29.934
23.407,29.798
23.239,29.633
23.071,29.341
22.904,29.093
22.737,28.869
22.569,28.654
22.402,28.399
22.234,28.215
22.067,28.081
21.899,27.843
21.731,27.800
21.564,27.660
21.398,27.416
21.231,27.354
21.064,27.180
20.897,27.056
20.730,26.890
20.564,26.693
20.398,26.499
20.232,26.305
20.067,26.230
19.902,26.053
19.737,25.835
19.572,25.758
19.406,25.558
19.240,25.458
19.075,25.352
18.909,25.098
18.742,25.066
18.576,24.953
18.409,24.802
18.242,24.532
18.074,24.248
17.907,24.212
17.739,24.015
17.572,23.911
17.404,23.695
17.236,23.446
17.068,23.299
16.900,22.995
16.731,22.801
16.563,22.500
16.394,22.307
16.225,22.166
16.056,21.905
15.887,21.699
15.718,21.465
15.549,21.456
15.380,21.280
15.213,21.214
15.046,21.067
14.879,20.892
14.712,20.846
14.546,20.757
14.381,20.636
14.216,20.452
14.050,20.346
13.885,20.181
13.719,19.875
13.553,19.766
13.387,19.564
13.220,19.403
13.052,19.153
12.884,18.918
12.715,18.706
12.545,18.387
12.376,18.190
12.209,17.947
12.043,17.746
11.878,17.646
11.714,17.423
11.550,17.217
11.387,17.163
11.225,17.067
11.064,16.968
10.904,16.795
10.745,16.711
10.584,16.579
10.423,16.470
10.260,16.506
10.097,16.255
9.932,16.073
9.767,15.939
9.602,15.717
9.435,15.518
9.268,15.350
9.099,15.114
8.930,14.919
8.760,14.723
8.589,14.534
8.419,14.059
8.247,13.897
8.077,13.793
7.907,13.582
7.737,13.408
7.566,13.227
7.396,12.998
7.225,12.797
7.055,12.685
6.886,12.570
6.718,12.422
6.549,12.414
6.382,12.268
6.215,12.041
6.047,11.926
5.879,11.660
5.712,11.424
5.546,11.338
5.380,11.396
5.214,11.217
5.047,11.014
4.880,10.774
4.712,10.555
4.545,10.337
4.378,10.163
4.210,9.906
4.041,9.868
3.873,9.741
3.704,9.544
3.535,9.228
3.367,9.107
3.198,8.870
3.025,8.710
2.849,8.545
2.669,8.486
2.513,8.368
2.382,8.233
2.275,7.974
2.193,7.873
2.135,7.718
2.099,7.528
2.082,7.372
2.086,7.363
2.114,7.288
2.165,7.280
2.231,7.255
2.273,7.205
2.291,7.277
2.281,7.321
2.242,7.256
2.171,7.147
2.070,7.198
1.940,7.208
1.779,7.203
1.586,7.199
1.363,7.055
1.117,6.821
0.860,6.575
0.593,6.444
0.316,6.169
0.035,5.959
-0.251,5.870
-0.539,5.600
-0.827,5.375
-1.112,5.044
-1.394,4.702
-1.674,4.447
-1.952,4.265
-2.226,4.087
-2.497,3.653
-2.761,3.433
-3.019,3.213
-3.271,2.843
-3.518,2.556
-3.762,2.179
-3.999,1.936
-4.228,1.629
-4.450,1.375
-4.664,1.026
-4.870,0.777
-5.069,0.626
-5.260,0.394
-5.446,0.120
-5.625,-0.056
-5.797,-0.177
-5.962,-0.289
-6.125,-0.494
-6.285,-0.598
-6.443,-0.792
-6.598,-0.880
-6.753,-1.001
-6.907,-1.170
-7.062,-1.357
-7.216,-1.491
-7.370,-1.610
-7.525,-1.859
-7.680,-2.084
-7.835,-2.216
-7.990,-2.309
-8.146,-2.483
-8.301,-2.640
-8.458,-2.801
-8.617,-2.939
-8.777,-3.100
-8.940,-3.272
-9.104,-3.451
-9.269,-3.588
-9.436,-3.754
-9.603,-3.926
-9.772,-4.182
-9.942,-4.314
-10.114,-4.605
-10.286,-4.860
-10.456,-5.079
-10.626,-5.197
-10.796,-5.372
-10.965,-5.548
-11.135,-5.701
-11.305,-5.887
-11.473,-6.177
-11.642,-6.307
-11.810,-6.536
-11.978,-6.600
-12.146,-6.759
-12.315,-6.936
-12.482,-7.136
-12.649,-7.228
-12.815,-7.420
-12.980,-7.577
-13.144,-7.698
-13.309,-7.646
-13.476,-7.897
-13.643,-8.001
-13.810,-8.159
-13.976,-8.332
-14.143,-8.494
-14.310,-8.588
-14.478,-8.797
-14.645,-8.884
-14.812,-9.117
-14.979,-9.280
-15.144,-9.619
-15.307,-9.722
-15.470,-10.034
-15.632,-10.243
-15.793,-10.335
-15.953,-10.408
-16.114,-10.671
-16.277,-10.888
-16.441,-11.073
-16.604,-11.156
-16.768,-11.340
-16.934,-11.479
-17.101,-11.607
-17.269,-11.622
-17.437,-11.808
-17.606,-11.903
-17.776,-12.065
-17.945,-12.163
-18.113,-12.250
-18.281,-12.460
-18.441,-12.576
-18.580,-12.701
-18.699,-12.888
-18.798,-13.082
-18.877,-13.355
-18.936,-13.555
-18.976,-13.690
-18.996,-13.817
-18.997,-14.034
-18.985,-14.121
-18.963,-14.159
-18.943,-14.264
-18.934,-14.351
-18.935,-14.393
-18.948,-14.484
-18.974,-14.392
-19.016,-14.369
-19.073,-14.450
-19.143,-14.524
-19.225,-14.448
-19.311,-14.528
-19.397,-14.583
-19.482,-14.749
-19.564,-14.868
-19.643,-14.843
-19.719,-14.879
-19.788,-14.934
-19.849,-14.927
-19.901,-15.035
-19.945,-15.104
-19.983,-15.241
-20.014,-15.323
-20.043,-15.291
-20.070,-15.270
-20.095,-15.244
-20.118,-15.320
-20.136,-15.373
-20.152,-15.490
-20.163,-15.616
