Time_s,Voltage_mV,CmdDisp_um,CmdStrain_pct
0,178.1263798475,0,0
0.082646,178.7343621254,-0.160136873759921,-0.000533789579199735
0.16529798,178.4897893667,-0.320285334511409,-0.0010676177817047
0.24794738,178.1710386276,-0.480428796192956,-0.00160142932064319
0.3306072,177.8394728899,-0.640592447916667,-0.00213530815972222
0.41322978,177.7970939875,-0.800683942522321,-0.0026689464750744
0.49587514,177.8285056353,-0.960819576202877,-0.00320273192067626
0.57849448,178.0604571104,-1.12090479290675,-0.00373634930968915
0.66115016,177.721992135,-1.28106042286706,-0.00427020140955688
0.74378808,177.1745979786,-1.441181640625,-0.00480393880208333
0.82643448,176.1410534382,-1.60131928943452,-0.00533773096478175
0.90905786,175.3100454807,-1.76141233413938,-0.00587137444713128
0.9917152,174.6054589748,-1.92157118055556,-0.00640523726851852
1.07432602,174.7068017721,-2.08163988870288,-0.00693879962900959
1.15694036,174.7356206179,-2.24171541728671,-0.00747238472428902
1.23959082,174.0350872278,-2.4018609328497,-0.00800620310949901
1.32224654,173.2137799263,-2.56201664031498,-0.0085400554677166
1.404858,172.4956184626,-2.72208658854167,-0.00907362196180555
1.48751082,171.4757829905,-2.88223667689732,-0.00960745558965774
1.57013912,170.7025319338,-3.0423392547123,-0.010141130849041
1.65277542,170.077085495,-3.20245733351935,-0.0106748577783978
1.73539986,168.7016040087,-3.36255243210565,-0.0112085081070188
1.8180503,168.3736741543,-3.52269790891617,-0.0117423263630539
1.90068148,167.7438765764,-3.68280606708829,-0.0122760202236276
1.98331576,167.1645790339,-3.84292023189484,-0.0128097341063161
2.06592904,165.4486060143,-4.00299370659722,-0.0133433123553241
2.1485642,164.2413139343,-4.1631095765129,-0.0138770319217097
2.23118404,162.870451808,-4.32319576202877,-0.0144106525400959
2.31383454,162.0180159807,-4.48334135509673,-0.0149444711836558
2.39646864,161.4777296782,-4.64345517113095,-0.0154781839037698
2.47910288,160.701751709,-4.80356925843254,-0.0160118975281085
2.56173976,158.7201207876,-4.96368846106151,-0.0165456282035384
2.64435556,157.1606844664,-5.12376681857639,-0.017079222728588
2.72696656,155.1025062799,-5.28383587549603,-0.0176127862516534
2.80960476,153.3881127834,-5.44395763578869,-0.018146525452629
2.892232,152.3955464363,-5.60405815972222,-0.0186801938657407
2.97485928,151.9136577845,-5.76415876116071,-0.0192138625372024
3.05748294,150.6648510695,-5.9242523484003,-0.019747507828001
3.14011664,148.7655043602,-6.08436538938492,-0.0202812179646164
3.22275042,146.6286629438,-6.24447858537946,-0.0208149286179315
3.30537726,144.8530256748,-6.40457833426339,-0.0213485944475446
3.38801524,143.3899998665,-6.56469966827877,-0.0218823322275959
3.47065812,140.8282369375,-6.72483049665179,-0.022416101655506
3.55329088,138.8079226017,-6.88494171626984,-0.0229498057208995
3.6359434,136.9490623474,-7.04509122333829,-0.0234836374111276
3.71858754,135.7138454914,-7.20522449311756,-0.0240174149770585
3.8012236,132.8536868095,-7.36534210689484,-0.0245511403563161
3.88385458,130.926027894,-7.52544987754216,-0.0250848329251405
3.96647618,128.827303648,-7.68553947327629,-0.025618464910921
4.04909742,126.5515983105,-7.84562837146577,-0.0261520945715526
4.13172652,123.9878982306,-8.00573249937996,-0.0266857749979332
4.2143667,122.0194846392,-8.16585809616815,-0.0272195269872272
4.29700608,119.8925897479,-8.32598214285714,-0.0277532738095238
4.37964498,118.4758096933,-8.48610525948661,-0.028287017531622
4.46229948,115.6053468585,-8.6462586030506,-0.0288208620101687
4.54492672,111.9691058993,-8.80635912698413,-0.0293545304232804
4.62756238,109.4689443707,-8.9664759657118,-0.0298882532190393
4.71019056,106.0544550419,-9.12657831101191,-0.030421927703373
4.7928301,103.2618433237,-9.28670266772073,-0.0309556755590691
