Time_s,Voltage_mV
10483.4804281,176.7420619726
10610.03521774,176.472902298
10736.59019848,176.3122975826
10927.71397226,176.167473197
11002.61372648,176.1624664068
11142.08249842,176.2009561062
11242.80969436,176.255851984
11382.27832954,176.1849373579
11570.8191534,175.9715378284
11635.38792046,175.9408414364
11811.01516488,175.7198572159
11937.57015636,175.7962405682
12128.69387392,175.8593767881
12229.42134666,175.9326010942
12330.14829722,175.9075969458
12469.61654582,176.1325001717
12621.99878878,176.2953698635
12683.98472482,176.0776042938
12911.26653388,175.9264320135
12962.92135916,176.0932654142
13115.30336824,175.8204698563
13203.11660228,175.7019609213
13316.75712882,175.6766587496
13469.1389782,175.5704283714
13631.85278062,175.623357296
13719.66725546,175.8036017418
13946.95183396,175.7692992687
14024.4353164,175.9518384933
14138.07758692,175.7420897484
14313.70645404,176.0627925396
14375.69311122,175.7334917784
14515.16309264,175.7247596979
14602.97746868,175.8487820625
14742.44753874,175.1051992178
14982.64593134,175.3279268742
15034.30157548,175.4147857428
15122.11605544,175.305634737
15349.40081638,175.3780245781
15388.14253942,175.408616662
15525.02981474,175.0855743885
15638.6721749,174.9203950167
15855.62580844,174.6385395527
15943.4401544,174.779728055
16069.9963185,174.7638434172
16232.71137514,174.091771245
16385.09527356,174.2495298386
16524.56514104,174.4495332241
16586.55179058,174.4351834059
16689.86288718,174.4062751532
16891.3194109,174.1813570261
17043.70319446,174.1823703051
17170.25921948,174.1832494736
17232.24595072,174.3841767311
17384.62975672,174.3240505457
17472.44405214,174.2377579212
17650.6552981,173.7745553255
17699.72796964,173.8044917583
17890.85314886,173.8164722919
18066.4817397,173.9381104708
18180.12384292,174.0687191486
18255.02425324,174.0412265062
18469.39429518,174.345523119
18595.9501346,174.7924536467
18709.59217816,175.0583350658
18735.41989294,174.9951839447
18911.04847538,174.4741350412
19050.51820654,174.113959074
19151.24648084,174.0270555019
19329.45785026,174.1475909948
19404.35840984,174.5206862688
19621.31182702,174.582913518
19660.05342556,174.5406985283
19861.5099145,174.3612885475
20013.8936495,174.2051690817
20037.1386339,174.3207573891
20264.42281508,174.1764396429
20316.07830008,174.3471473455
20504.62094828,174.3304878473
20657.00473962,174.4221299887
20669.91865342,174.403861165
20809.3885562,174.443796277
21010.84500458,174.4702160358
21075.41439984,174.4047552347
21189.05646502,174.2452532053
21429.25485596,173.9795953035
21529.98311294,173.9371865988
21692.69819382,173.91076684
21770.18150188,174.0760654211
21932.89642602,174.2558479309
22085.28037542,173.8568693399
22124.02205208,174.0183979273
22237.6644139,174.1206645966
22452.03512696,174.081236124
22477.86289218,174.1741597652
22730.97530762,174.3053495884
22769.7170626,174.5350807905
22893.69064366,174.2962449789
23120.97524218,174.1239726543
23185.54467408,174.2572039366
23335.34568634,174.1849929094
23487.72956342,174.1408705711
23513.55734158,174.016803503
23640.11344774,173.7860888243
23779.58333078,173.6372262239
23942.298336,173.4373420477
24120.5100266,173.472225666
24283.22502816,173.2979863882
24296.13890386,173.3875572681
24523.42323462,173.576310277
