t_s,t_h,V
10289.603,2.858223,0.165340751
10352.880,2.875800,0.163864657
10413.328,2.892591,0.162384197
10472.239,2.908955,0.161700547
10531.150,2.925319,0.160945028
10589.815,2.941615,0.158577621
10650.129,2.958369,0.156024039
10710.466,2.975129,0.153856084
10769.377,2.991494,0.152831793
10828.288,3.007858,0.151124746
10888.680,3.024633,0.148732781
10948.938,3.041372,0.147616640
11007.604,3.057668,0.146775395
11069.589,3.074886,0.144590467
11132.866,3.092463,0.142885223
11193.315,3.109254,0.140035644
11252.226,3.125618,0.136785671
11311.137,3.141982,0.132776812
11370.048,3.158347,0.129233494
11430.351,3.175097,0.122884545
11490.452,3.191792,0.118670262
11549.363,3.208157,0.113096096
11608.275,3.224521,0.107671715
11668.667,3.241296,0.105416242
11728.925,3.258035,0.100899212
11787.836,3.274399,0.096273229
11849.576,3.291549,0.090519547
11911.562,3.308767,0.085851654
11973.301,3.325917,0.082441233
12032.212,3.342281,0.079627216
12091.123,3.358645,0.077224351
12150.034,3.375010,0.074829862
12210.337,3.391760,0.071659479
12270.685,3.408524,0.068648718
12329.350,3.424819,0.065117173
12388.261,3.441184,0.062172327
12448.654,3.457959,0.059232788
12508.912,3.474698,0.056687266
12567.823,3.491062,0.053443734
12628.271,3.507853,0.049350200
12691.548,3.525430,0.046043158
12753.534,3.542648,0.044878509
12812.199,3.558944,0.042198177
12871.110,3.575308,0.040271606
12930.021,3.591672,0.038419105
12990.324,3.608423,0.036108634
13050.671,3.625186,0.034360465
13109.951,3.641653,0.030736359
13169.354,3.658154,0.028092351
13230.048,3.675013,0.026466751
13290.743,3.691873,0.023824172
13350.145,3.708374,0.021473341
13409.548,3.724875,0.019270279
13470.243,3.741734,0.015133792
13530.937,3.758594,0.013125096
13590.340,3.775094,0.011758919
13649.743,3.791595,0.009618193
13709.145,3.808096,0.008925426
13769.840,3.824955,0.007060447
13830.534,3.841815,0.005633446
13889.937,3.858316,0.004724958
13949.340,3.874817,-0.000180658
14010.034,3.891676,-0.006310727
14070.728,3.908536,-0.018789234
14127.794,3.924387,-0.027612915
14188.243,3.941179,-0.039876096
14251.520,3.958755,-0.046611357
14313.505,3.975974,-0.060121439
14372.416,3.992338,-0.067429163
14431.327,4.008702,-0.075372837
14490.238,4.025066,-0.077965409
14550.530,4.041814,-0.077516820
14610.643,4.058512,-0.077059507
14669.554,4.074876,-0.078057200
14728.465,4.091240,-0.078961119
