Time_s,Sensor_negDegTPU,TempActual_C
158.710957,120.974781,24.158708
210.365587,120.008961,24.143697
228.444715,119.731172,24.138443
264.603030,119.471258,24.127936
280.099446,119.264172,24.123433
298.178584,119.204039,24.118179
367.912332,118.777461,24.311144
437.646134,118.603391,24.768828
473.804393,118.577031,25.043571
491.883524,118.556070,25.180943
561.617278,118.735016,25.342847
579.696397,118.773664,25.353790
631.351017,118.736398,25.385055
649.430160,118.699344,25.395997
701.084863,118.508734,25.427262
719.163992,118.481352,25.438205
788.897751,118.162891,25.283097
806.976853,118.177375,25.225304
876.710569,118.002656,25.040530
894.789671,117.971516,25.021676
946.444295,117.823445,24.974480
964.523359,117.814805,24.962541
1034.257052,117.683555,24.926373
1140.149044,117.514484,24.878407
1158.228193,117.574914,24.875109
1227.961938,117.351734,24.862391
1297.695735,117.248141,24.863577
1315.774821,117.219336,24.867526
1333.853973,117.207305,24.871474
1367.429533,117.170359,24.884372
1385.508663,117.147352,24.894094
1403.587783,117.152773,24.903816
1561.134928,116.970156,24.968045
1594.710647,116.958367,24.979990
1612.789864,116.939758,24.986884
1630.869090,116.907031,24.993777
1648.948318,116.895375,25.000671
1770.337528,116.759836,25.027000
1788.416778,116.807570,25.027000
1806.496014,116.742664,25.027000
1824.575238,116.771875,25.027000
1840.071718,116.723328,25.027000
1858.150978,116.679438,25.027000
1876.230209,116.699906,25.027000
1894.309435,116.675938,25.027000
1930.467994,116.642797,25.024948
1964.043700,116.631477,25.025798
1982.122950,116.586750,25.028952
2000.202167,116.583281,25.032105
2139.670510,116.506242,25.030398
2175.829030,116.471578,25.024961
2263.642482,116.397242,25.009996
2315.297443,116.371695,25.010278
2333.376697,116.345297,25.011696
2369.535177,116.344750,25.011094
2385.031653,116.310258,25.009582
2403.110853,116.301477,25.007818
2421.190059,116.288336,25.006055
2509.003355,116.221086,24.995792
2527.082586,116.246125,24.993177
2545.161781,116.237289,24.990562
2596.816630,116.160016,24.983089
2614.895831,116.103172,24.980474
2720.788285,116.057688,24.980325
2738.867440,116.039195,24.979066
2808.601507,115.971711,24.974211
2878.335586,115.924437,24.973000
2896.414778,115.949719,24.973000
2914.493982,115.917625,24.973000
2932.573158,115.924109,24.973000
3020.386493,115.866945,24.973000
3038.465691,115.870773,24.973000
3108.199861,115.820898,24.964418
3126.279068,115.798406,24.962756
3196.013126,115.758141,24.957500
3265.747211,115.707906,24.954476
3301.905623,115.677641,24.952712
3319.984794,115.663844,24.951830
3389.718790,115.652727,24.948428
3513.690450,115.611211,24.941562
3583.424571,115.583828,24.935892
3601.503766,115.578602,24.934422
3725.475421,115.486805,24.922474
3759.051058,115.469367,24.921348
3777.130244,115.418937,24.920613
3795.209417,115.434000,24.919878
3813.288585,115.435516,24.919143
3883.022693,115.385984,24.917730
3901.101903,115.381602,24.918504
3919.181085,115.368391,24.919279
3988.915171,115.346570,24.930195
4058.649221,115.331937,24.940283
4094.807661,115.313516,24.945513
4128.383327,115.299148,24.949789
4146.462540,115.290531,24.951762
4164.541763,115.296602,24.953736
4198.117414,115.276570,24.957401
4234.275825,115.255109,24.961349
4322.089060,115.247930,24.970935
4427.981399,115.190883,24.992499
4479.636182,115.204898,25.000519
4497.715340,115.161859,25.006900
4533.873634,115.159898,25.017075
4567.449204,115.178969,25.024324
4673.341534,115.179367,25.021489
4709.499869,115.149836,25.017917
4743.075483,115.117922,25.016519
4761.154669,115.122992,25.016010
4779.233806,115.104586,25.015500
