Time_s,sensor1_Raw,sensor1_dR_R0,sensor2_Raw,sensor2_dR_R0,sensor3_Raw,sensor3_dR_R0,sensor4_Raw,sensor4_dR_R0,sensor5_Raw,sensor5_dR_R0
0.0,117.607265625,0.0,130.0,0.0,132.1,0.0,134.54,0.0,112.14,0.0
0.08259676,117.60585193527687,-1.2020428462603787e-05,129.88873066813392,-0.0008559179374315141,132.13905435651787,0.0002956423657675439,134.55876736111108,0.0001394927985066755,112.13434524110752,-5.042588632497416e-05
0.08259746,117.60585192329597,-1.2020530334637554e-05,129.88872972513647,-0.0008559251912578894,132.1390546875,0.0002956448713096019,134.55876736140533,0.00013949280069377166,112.13434519318395,-5.042631367975693e-05
0.08261854,117.60585156249999,-1.2023598138168732e-05,129.88870132744248,-0.000856143635057877,132.1390572996433,0.00029566464529376076,134.5587673702665,0.0001394928665566102,112.13434375000001,-5.043918316378669e-05
0.16518888,117.60434022885752,-2.4874280742103622e-05,129.82784691247963,-0.0013242545193874744,132.1492890625,0.0003731193224830329,134.55880207952484,0.0001397508512326293,112.12829841543014,-0.0001043479986612235
0.16519794,117.60434006302701,-2.487569077849673e-05,129.82784023525147,-0.001324305882681025,132.14928333199458,0.0003730759424268331,134.5588020833333,0.0001397508795399024,112.12829775210803,-0.0001043539137860541
0.16520992,117.60433984375,-2.4877555263705284e-05,129.82783140598067,-0.0013243738001486568,132.1492757545713,0.0003730185811604671,134.55880321902893,0.00013975932086318724,112.128296875,-0.00010436173533080807
0.24779202,117.59983360822862,-6.319351727014642e-05,129.69879442206263,-0.002316965984133659,132.09704207113023,-2.2391588718859493e-05,134.56663194444442,0.00019794815255263912,112.1102719329145,-0.0002650977981585603
0.24782092,117.59983203125,-6.320692612390512e-05,129.6987492649543,-0.0023173133465053735,132.09702379170344,-2.2529964394817233e-05,134.56663709440986,0.0001979864308745756,112.110265625,-0.00026515404851082456
0.24782148,117.59983181516132,-6.320876349919133e-05,129.69874576008755,-0.002317340307018811,132.0970234375,-2.2532645722794307e-05,134.56663719420158,0.00019798717259984495,112.11026476064526,-0.0002651617563290282
0.33040854,117.56796372756159,-0.0003341791617170725,129.18185890239016,-0.006293393058537301,132.11741929671754,0.00013186447174519812,134.58135416666664,0.00030737451067823973,111.9827924102464,-0.0014018868356839515
0.33041898,117.56795969905114,-0.0003342134156420505,129.18179356166007,-0.006293895679537805,132.11742187500002,0.00013188398940215754,134.58135351291028,0.00030736965148132444,111.98277629620459,-0.001402030531437602
0.33044614,117.56794921875,-0.0003343025283434302,129.18162357562287,-0.0062952032644395,132.11741027257787,0.00013179615880297703,134.58135181214183,0.00030735701012229966,111.98273437500002,-0.0014024043606204702
