Time_s,Bridge_BridgeSidsteTest,TempActual_C,TempTarget_C
8646.40802922,-96.26220911741,NaN,NaN
8700.6459045,-95.85030376911,NaN,NaN
8754.88380548,-3.967524971813,NaN,NaN
8806.53894652,-95.29495239258,NaN,NaN
8862,NaN,23.779,23.776
8915.01477452,-94.34672445059,NaN,NaN
8969.25265992,-94.47441250086,NaN,NaN
9024,NaN,23.766,23.753
9079,NaN,23.756,23.746
9134,NaN,23.748,23.738
9186.20438764,-0.4621324478649,NaN,NaN
9240,NaN,23.715,23.723
9297,NaN,23.711,23.716
9348.91822402,-89.74402397871,NaN,NaN
9403,NaN,23.71,23.701
9457.39423744,-88.294506073,NaN,NaN
9509.04949034,-87.56726235151,NaN,NaN
9565,NaN,23.675,23.678
9620,NaN,23.666,23.671
9671.76331122,-85.41817218065,NaN,NaN
9726.00114214,-82.89086073637,NaN,NaN
9782.82175288,-76.80234313011,NaN,NaN
9834.47687422,-3.116324311122,NaN,NaN
9888.71475012,-2.495737746358,NaN,NaN
9942.95265716,-61.42585724592,NaN,NaN
9995,NaN,23.639,23.619
10048.84562348,-43.47599297762,NaN,NaN
10105.66626488,-37.01919689775,NaN,NaN
10157.32135606,-33.9585877955,NaN,NaN
10214.141994,-31.19943849742,NaN,NaN
10268.37982964,-28.12927961349,NaN,NaN
10323,NaN,23.568,23.573
10379,NaN,23.562,23.565
10431.09335276,-24.53600615263,NaN,NaN
10485,NaN,23.547,23.551
10539.56902176,-0.9710201411508,NaN,NaN
10592,NaN,23.536,23.536
10647,NaN,23.524,23.528
10702.28257764,-17.61378906667,NaN,NaN
10753.93766608,-0.6201141513884,NaN,NaN
10810,NaN,23.527,23.505
10864.995963,-13.11615947634,NaN,NaN
10916.65104472,-11.74862403423,NaN,NaN
10970.888754,-9.859481826425,NaN,NaN
11025.1265217,-8.227075450122,NaN,NaN
11077,NaN,23.481,23.468
11131.01928966,-6.959214340895,NaN,NaN
11187.8398154,-5.738318432122,NaN,NaN
11239.49487646,-4.374106414616,NaN,NaN
11295,NaN,23.442,23.438
11350,NaN,23.432,23.43
11402.20821234,-0.7607967127115,NaN,NaN
11456.44603156,0.09887668420561,NaN,NaN
11510.6839542,1.257405150682,NaN,NaN
11563,NaN,23.405,23.401
11619,NaN,23.4,23.393
11670.81460142,5.506145767868,NaN,NaN
11725.05240954,7.08555849269,NaN,NaN
11781.8729546,8.721108548343,NaN,NaN
11836,NaN,23.373,23.363
11887.76579764,-0.2892564516515,NaN,NaN
11942.00359612,11.73261273652,NaN,NaN
11996.24137402,13.17605003715,NaN,NaN
12048,NaN,23.346,23.333
12104,NaN,23.33,23.326
12156.37183512,0.04617982631316,NaN,NaN
12210.60953074,17.8043153137,NaN,NaN
12265,NaN,23.313,23.303
12319.08493784,19.99202370644,NaN,NaN
12371,NaN,23.287,23.289
12426,NaN,23.278,23.281
12479.21532498,5.981788039207,NaN,NaN
12533.45304306,0.5881547695026,NaN,NaN
12588,NaN,23.272,23.258
12641.92850178,28.47919240594,NaN,NaN
12694,NaN,23.248,23.244
12750.40393524,31.67168051004,NaN,NaN
12804.64164096,33.21981430054,NaN,NaN
12856.29665456,37.28652745485,NaN,NaN
12912,NaN,23.23,23.213
12964.7720905,2.237220294774,NaN,NaN
13021.59253266,2.450756728649,NaN,NaN
13074,NaN,23.206,23.191
13127.48532554,73.95178824663,NaN,NaN
13181.72306012,75.17705112696,NaN,NaN
13235,NaN,23.185,23.168
13290.1985723,3.410868346691,NaN,NaN
13344.43631844,44.93978619576,NaN,NaN
13397,NaN,23.156,23.146
13450.32901348,101.9970923662,NaN,NaN
13504.56673936,108.3931028843,NaN,NaN
13558,NaN,23.121,23.124
13613.0422086,115.3370738029,NaN,NaN
13667.27990114,-0.4450610722415,NaN,NaN
13721.51764488,4.82474360615,NaN,NaN
13775.75533106,4.769411869347,NaN,NaN
13831,NaN,23.088,23.086
13884.23081466,129.4211447239,NaN,NaN
13938,NaN,23.074,23.071
13992.70627806,134.4234347343,NaN,NaN
14044.36129818,135.4296803474,NaN,NaN
14098.59900886,136.6237699986,NaN,NaN
14155,NaN,23.048,23.041
14207.07446414,140.39324224,NaN,NaN
14261.3122016,5.258228629827,NaN,NaN
14317,NaN,23.017,23.018
14372,NaN,23.019,23.011
14427,NaN,23.029,23.003
14480.84589798,139.7831439972,NaN,NaN
14534,NaN,22.995,22.988
14589,NaN,22.997,22.981
14640.97647982,138.9349848032,NaN,NaN
14695,NaN,23.005,22.966
14749.45206022,137.8693431616,NaN,NaN
14801.1070779,137.191966176,NaN,NaN
14856,NaN,22.965,22.943
14912.16520972,135.4025900364,NaN,NaN
14966.40294072,134.7498297691,NaN,NaN
15020.6407321,5.757584236562,NaN,NaN
15075,NaN,22.919,22.913
15129.11631006,5.317109636962,NaN,NaN
15181,NaN,22.897,22.898
15237,NaN,22.895,22.891
15289.24667948,126.4836937189,NaN,NaN
15343.4844457,124.9259114265,NaN,NaN
15399,NaN,22.877,22.868
15454.54274984,3.580752760172,NaN,NaN
15506.1977468,118.6091080308,NaN,NaN
15560.4355224,115.401647985,NaN,NaN
15614.67324846,112.1717393398,NaN,NaN
15668.91099998,4.1747353971,NaN,NaN
15722,NaN,22.843,22.823
15774.80377272,101.1900082231,NaN,NaN
15829.04142842,89.80213850737,NaN,NaN
15883,NaN,22.817,22.801
15937.51687412,2.331840340048,NaN,NaN
15994.33733438,65.65617769957,NaN,NaN
16046,NaN,22.785,22.778
16100.23007746,64.35982137918,NaN,NaN
16154.467767,60.95380708575,NaN,NaN
16208,NaN,22.75,22.756
16260.36051704,54.40439283848,NaN,NaN
16314.59823226,53.06371673942,NaN,NaN
16368.83596156,48.72370511293,NaN,NaN
16423.07364796,44.04079541564,NaN,NaN
16479.8940805,40.83590582013,NaN,NaN
16531.54900172,39.00917619467,NaN,NaN
16585.78658892,38.49378600717,NaN,NaN
16640.02421654,0.9052495588548,NaN,NaN
16692,NaN,22.706,22.688
16745.91680844,35.79194098711,NaN,NaN
16800.15457224,34.67693179846,NaN,NaN
16853,NaN,22.69,22.666
16906.04718316,31.59520030022,NaN,NaN
16961,NaN,22.656,22.651
17015,NaN,22.653,22.644
17070,NaN,22.642,22.636
17122.99778786,24.0914169699,NaN,NaN
17175,NaN,22.645,22.621
17231,NaN,22.64,22.614
17283.12791842,18.53858307004,NaN,NaN
17336,NaN,22.616,22.599
17392,NaN,22.616,22.591
17445.84080246,13.08814063668,NaN,NaN
17500.078378,10.42638905346,NaN,NaN
17556.89873564,7.680892013013,NaN,NaN
17609,NaN,22.572,22.561
17662.79126992,-0.4413945134729,NaN,NaN
17717.02885898,-0.3430999931879,NaN,NaN
17770,NaN,22.539,22.539
17822.92129276,-5.774501245469,NaN,NaN
17877.1588349,-8.247442543507,NaN,NaN
17931,NaN,22.512,22.516
17984,NaN,22.505,22.509
18039.87158642,-12.36802153289,NaN,NaN
18093,NaN,22.494,22.494
18145.76399378,-0.7876016316004,NaN,NaN
18200.00147202,-19.56813409925,NaN,NaN
18254,NaN,22.48,22.472
18308.47652794,-26.35263092816,NaN,NaN
18365,NaN,22.471,22.456
18416.9518313,-54.12091314793,NaN,NaN
18473.77218546,-72.33853638172,NaN,NaN
18527,NaN,22.429,22.434
18582,NaN,22.428,22.426
18636.48485086,-3.099126042798,NaN,NaN
18688.13970498,-77.73131877184,NaN,NaN
18742.3771603,-78.18640768528,NaN,NaN
18796.61483614,-78.77349108458,NaN,NaN
18850,NaN,22.403,22.389
18902.50719568,-81.45638555288,NaN,NaN
18956.7447377,-82.29050785303,NaN,NaN
19010.98224108,-83.02720636129,NaN,NaN
19065.21970692,-3.47225414589,NaN,NaN
19122,NaN,22.361,22.351
19176.27750558,-85.8960300684,NaN,NaN
19228,NaN,22.33,22.336
19284,NaN,22.336,22.328
19336.40755144,-3.4396040719,NaN,NaN
19390,NaN,22.321,22.314
19444.88259154,-89.75924551487,NaN,NaN
19496.53734688,-90.58219194412,NaN,NaN
19550.77489248,-3.818115917966,NaN,NaN
19607.59514974,-7.912567816675,NaN,NaN
19661.8324904,-3.770572599024,NaN,NaN
19716.06995772,-94.43375468254,NaN,NaN
19769,NaN,22.257,22.261
19821.9622504,-96.42498940229,NaN,NaN
19876.19981874,-97.73958474398,NaN,NaN
19930.43740786,-99.05864298344,NaN,NaN
19982.09214538,-4.265138413757,NaN,NaN
20037,NaN,22.219,22.224
20090.56730298,-103.4170389175,NaN,NaN
20144.80481438,-105.0411611795,NaN,NaN
20199.0424206,-107.2593703866,NaN,NaN
20254,NaN,22.204,22.194
20307.517597,-4.701159428805,NaN,NaN
20364.33793274,-5.00520830974,NaN,NaN
20415.99263732,-118.9949661493,NaN,NaN
20471,NaN,22.169,22.164
20527,NaN,22.156,22.156
20578.70501002,-7.535773795098,NaN,NaN
20632.94251974,-178.2226711512,NaN,NaN
20689,NaN,22.142,22.133
20741.41742322,-201.805755496,NaN,NaN
20795,NaN,22.127,22.119
20849.8923293,-203.7240415812,NaN,NaN
20901.54716834,-204.9250006676,NaN,NaN
20955.78469898,-207.2734087706,NaN,NaN
21010.0221799,-208.9444994926,NaN,NaN
21062,NaN,22.085,22.082
21117,NaN,22.079,22.074
21172.73467358,-9.740171022713,NaN,NaN
21224.38937084,-214.1191661358,NaN,NaN
21279,NaN,22.061,22.052
21334,NaN,22.042,22.044
21387.10172464,-219.9564576149,NaN,NaN
21443.92189314,-235.2013587952,NaN,NaN
21496,NaN,22.021,22.021
21549.81408402,-235.2672070265,NaN,NaN
21604.05161458,-11.39571517706,NaN,NaN
21658,NaN,22.004,21.999
21712.52655162,-235.2847456932,NaN,NaN
21766.76415174,-235.2808266878,NaN,NaN
21819,NaN,21.987,21.976
21872.6563751,-11.08777057379,NaN,NaN
21926.89374962,-10.34999638796,NaN,NaN
21981.13119252,-234.0842634439,NaN,NaN
22035.36865586,-234.7701489925,NaN,NaN
22089.60622316,-234.3549728394,NaN,NaN
22142,NaN,21.938,21.932
22198,NaN,21.926,21.924
22252.31835518,-233.6468696594,NaN,NaN
22306.55580942,-233.0622375011,NaN,NaN
22360,NaN,21.901,21.901
22415.03065876,-232.9763323069,NaN,NaN
22466.68516472,-10.12900006026,NaN,NaN
22522,NaN,21.885,21.879
22575.16013128,-232.3576807976,NaN,NaN
22628,NaN,21.873,21.864
22683,NaN,21.868,21.856
22737.87254572,-231.6458672285,NaN,NaN
22789.52712568,-231.3656806946,NaN,NaN
22845,NaN,21.841,21.834
22900.58478314,-229.9416363239,NaN,NaN
22952.23931542,-9.348260238767,NaN,NaN
23008,NaN,21.816,21.811
23060.71424568,-229.5225858688,NaN,NaN
23114,NaN,21.797,21.797
23169.18882122,-228.9242744446,NaN,NaN
23223.4260644,-9.916028007865,NaN,NaN
23277.6632626,-227.3354679346,NaN,NaN
23332,NaN,21.759,21.766
23386.13805162,-223.1756448746,NaN,NaN
23440.37548562,-221.3646024466,NaN,NaN
23494.61299744,-219.599634409,NaN,NaN
23548.85046284,-8.739698678255,NaN,NaN
23600.50519006,-216.6113555431,NaN,NaN
23655,NaN,21.729,21.721
23708.97999828,-211.7695212364,NaN,NaN
23763,NaN,21.746,21.706
23817.45471048,-202.9466927052,NaN,NaN
23871.6920268,-199.5958536863,NaN,NaN
23925.9293671,-194.5237070322,NaN,NaN
23980.16665206,-8.201031014323,NaN,NaN
24034.40403992,-186.9945973158,NaN,NaN
24088.641423,-184.8464161158,NaN,NaN
24141,NaN,21.655,21.654
24194.53330722,-7.795135956258,NaN,NaN
24248.77066668,-179.2505830526,NaN,NaN
24303.00801634,-178.4555464983,NaN,NaN
24357.24548012,-176.4337867498,NaN,NaN
24411.48285238,-175.685942173,NaN,NaN
24464,NaN,21.627,21.609
24519.95765434,-0.3452760865912,NaN,NaN
24574.19510584,-6.574936211109,NaN,NaN
24627,NaN,21.589,21.586
24680.08694,-168.7720865011,NaN,NaN
24734.32425608,-167.4235314131,NaN,NaN
24787,NaN,21.586,21.564
24842.79882812,-165.3794795275,NaN,NaN
24897.03613298,-164.091989398,NaN,NaN
24949,NaN,21.57,21.542
25002.92797292,-5.680660251528,NaN,NaN
25057.1652732,-160.4362726212,NaN,NaN
25111,NaN,21.518,21.519
25165.64000556,-156.3747823238,NaN,NaN
25217.2946684,-153.1095504761,NaN,NaN
25271.53212906,-148.3388841152,NaN,NaN
25326,NaN,21.487,21.489
25380.0070386,-5.136952269822,NaN,NaN
25434,NaN,21.478,21.474
25488.48186996,-111.541852355,NaN,NaN
25540.13668724,-106.2720268965,NaN,NaN
