0,233883.921875
242.78060716,233804.9375
485.56125788,233776.703125
728.34199632,233689.484375
973.70535206,233649.65625
1216.48602556,233595.1875
1459.26667088,233505.265625
1702.047214,233546.46875
1944.82795528,233523.96875
2187.60869038,233446.1875
2430.38928672,233343.796875
2673.17010776,233344.578125
2918.53368148,233288.25
3161.31458244,233298.546875
3404.0955072,233276.578125
3646.87623552,233203.1875
3889.65690774,233156.4375
4132.43765544,233106.375
4375.2180899,233078.5625
4617.99870436,233008.96875
4863.36195568,232997.921875
5106.14235838,232972.0625
5348.92271796,232968.96875
5591.70331254,232902.5625
5834.48389796,232880.328125
6077.2646851,232826.546875
6320.04533592,232840.09375
6565.40878152,232839.4375
6808.18943396,232794.640625
7050.969938,232756.78125
7293.75055408,232729.9375
7536.53112806,232653.09375
7779.31174644,232717.078125
8022.09227538,232684.171875
8264.87287976,232648.328125
8510.2361854,232645.953125
8753.01687136,232593.984375
8995.79725426,232592.46875
9238.57753468,232538.796875
9481.35769104,232496.390625
9724.13819024,232478.21875
9966.91850478,232485.1875
10209.6989349,232488.359375
10455.0619427,232434.96875
10697.84239204,232379.546875
10940.6227928,232371.953125
11183.403115,232369.609375
11426.1838133,232354.609375
11668.96462096,232351.015625
11911.74526328,232286.4375
12157.10867276,232237.046875
12399.88958402,232271.90625
12642.67022606,232225.859375
12885.45090146,232211.828125
13128.23152546,232220.5
13371.0121603,232171.125
13613.7926675,232200.484375
13856.57323702,232172.90625
14101.93704582,232157.78125
14344.71833952,232128.078125
14587.49919016,232080.890625
14830.28033214,232023.4375
15073.06102366,232090.96875
15315.84188324,232047.78125
15558.62244676,232023.796875
15801.40287192,231958.078125
16046.76612462,231951.453125
16289.5464435,231940.25
16532.32683714,231904.03125
16775.10749992,231928.828125
17017.88826804,231887.5625
17260.66875754,231869.375
17503.44932034,231844.671875
17746.22994266,231821.046875
17991.593489,231817.3125
18234.37391248,231789.875
18477.15456744,231826.96875
18719.9352351,231741.453125
18962.7161052,231767.609375
19205.49656108,231787.359375
19448.27706568,231723.125
19693.64027722,231700.609375
19936.4209756,231683.65625
20179.201386,231675.25
20421.98192492,231660.578125
20664.76250684,231673.90625
20907.54276518,231640.890625
21150.32316054,231648.71875
21393.10368408,231590.421875
21638.46702076,231596.546875
21881.24742996,231554.75
22124.0276751,231578.15625
22366.80804466,231556.015625
22609.58850448,231491
22852.36888922,231465.796875
23095.14930676,231484.140625
